작성자,내용,추천수
sinyoungpark7210,만약 판사들이 이 방송을 보고 감형을 해준다면 그냥 이젠 범죄자들이 맘놓고 사고 한번쳐도 되는세상이 되니 판사들이 제발 이방송을 끝까지 보고 선처해주지 말고 무기징역으로 해줬으면 좋겠다,7.6천
Lucas-gz8sy,"그는 전과가 굉장히 많고 이미 강간죄가 있는 자 입니다. 온갖 협박 메시지를 보내는 가해자를 법원이 인지하여, 그가 법이 허용가능한 최대 형량을 받아서 피해자들과 제보자들이 두려움울 겪지 않게 해주세요. 그는 결국엔 살인범이 될 사람입니다. 그걸 방지해야하는 법원의 역할이 있습니다.",5.6천
user-so7bs1xe8m,"무기징역 당해도 싸다고 ㅡㅡ 한 사람의 인생을 비극으로 만들었는데다가 보복 드립을 치고 있는데 ㅡㅡ 다들 남일이라고 생각하지맙시다. 세상에 저런 인간이 한 둘 아닐 것이고, 우리 가족도 당할 수 있다.",203
user-dt3ql6nk1d,미쳤다 반성도안하는데 형량이 과도하다고.. 자기가 한 짓은 더한데 억하심정을 갖고 있다니 법이 더 강화되어야한다,13
user-fk3xy6xz5j,이런 범죄는 감형의 이유가 없어요..12년은 말도 안됩니다.,1.8천
Adapt-wc3on,미친 저런데 12년은 무슨 제발 영원히 감옥에서 썩혀주세요 형량이 너무 적어요 반성도 안하고 보복하겠다는 와중에 제발 풀어주지마세요,44
user-di3cr3le6g,항소심 중에 이런 사실이 알려져서 다행입니다ㅠㅠ 항소심 재판부도 이 소식 알게되어 합당한 판결을 줘야할텐데..,376
user-ru8ig8if1f,형량을 배로 늘려주는 참교육이 필요하다,1천
ULTRAQLO94,이런 법이 있었으면 좋겠다. 판사의 재량권은 유지하되 일정기간 동안에 일정 횟수 이상의 재범이나 2차 가해가 일어난 경우에는 본인들 멋대로 반성한다고 감경해주고 초범이라고 감경해준 판사들에게 큰 패널티가 있었으면 좋겠다. 판사들도 사람인데 실수는 할 수 있지만 그들에게 일반인과 같은 관대함을 줘서는 안된다고 본다. 그만큼 그들은 강력하고 막강한 권력을 가지고 있으니 말이다.,49
user-lu5em6vc7q,피해자는 얼마나 큰 두려움에 살것이며 그 끔찍한일로 인해 얼마나 큰 고통을 받을지...피해자를 위해서라도 가해자의 형량을 더 엄중히 내려주실것을 청원드립니다 재판부의 현명한 판단 기대합니다,135
Unicorn-77,세상밖으로 나오면 안되는놈을 밖으로 다기 나오게 하는 판사 ! 진짜 벌은 당신들도 함께 받아야 한다 !,148
hongofseoul,"사회악이다. 제발 심신미약,초범 등 말도안되는 이유 따위로 형량 조절하지말고 묻지마폭행의 처벌수위를 높여라. 피해자 보호를 위한 방법도 마련하고 판결해라 쫌!",1
taechoclub,한국 판사들은 공감하기 힘든 판결만 계속 내놓는다. 이유가 뭘까?,773
user-vv5xd9sx3k,이건 정말 말도안됩니다… 무기징역으로 가야합니다……. 정말 꼭 부탁드립니다 제발,2
gunhoo8476,가해자가 피해자에게 배로 때려주겠다면서 항소까지... 항소심 재판부는 형량을 배 이상 따따블로 높여주세요,391
user-rj3rl1kj6d,저런 짐승보다 못한것은 제발 사회에서 영원히 격리시켜라!!제발!!이나라 판사라는 사람들아 언제까지 극악범인권만 생각하고 수호천사노릇 그만해라!!@,2
user-ll2ie2tc9w,"법의 무서움을 제발좀 보여주세요 판사님,,,",33
user-tk6wu2tr1y,재판부의 책임이 막중하구나. 판사여 피해자를 두번죽이지 말자.,6.5천
Kim-bs9qs,반성조차 안하고 보복할 생각만 하다니 형량을 더 늘려줘야 할거 같다,54
user-zy9bc2wl6m,정말 형량 좀 높여라. 대한민국 법은 왜 항상 고인물처럼 고여있고 현실을 반영하지 못하는가 저런 사회 쓰레기는 사회와 영원히 격리하라,498
user-sx7ip4dk5d,판사들의 자식이 똑같이 당해야된다! 그래야 제대로된 판결이 나오지!,66
william08364,판사에게는 반성문을 쓰지만 실제로는 나가서 찾아가 또 피해를 주려는..... 판사님들아~ 제발 반성문 받지마~~,12
woo1442,"이 사건 처음 뉴스로 접했을때 진짜 충격적이였는데,,,, 저런 ㄴ은 평생 사회로부터 격리시키고 판사님 형량이 너무 약하기 때문에 감형시키지말고 제발 무기징역 선고해주세요 피해자분은 얼마나 심한 트라우마로 고생하실까,,,",339
user-lh9pg7ug1k,법은 정의가 무엇인지 피해자의 고통많큼은 형량을 다시 내려주길바란다,16
anbayo1,진심은 뉘우치지않고 있다는게 확인되었기때문에 무기징역이 필요하고. 보복범죄 발생시 판사에게 구상권 청구 가능하도록 법개정,1
user-ez4ph1su4e,솜방망이 처벌로 재범우려를 만들고 있는 판사를 돌려차기 하고 싶다!,391
m340i7,고작 12년??? 위대하신 판사님 따님들에게 제발 같은일이 일어나길 간절히 기도할께요,10
hunyoo2800,판사님 제발 피해자를 살려 주세요,2
user-bo9fl9in8m,판사님들 본인 자녀 배우자라고 생각하고 처벌을 내려주세요. 세상에 못나오게 제발,5
user-fp2pi9wm9x,재발범죄!!! 그냥 두고 보면 안됩니다. 지은 죄와 더불어 앞으로 지어질 죄의 가능성까지 판단해서 무겁게 판결하는게 맞다고 봅니다! 법은 항상 피해자 편이어야 합니다!,4
lessisuo7391,판사가 정말 말도 안되는 판결을 내리는 것 같다...,0
user-kr3yq9pe9p,제발 저런 쓰레기들이 길가에 돌아다니지 않게 해주세요 사형 찬성 합니다 저런놈은 적어도 징역 40년은 되어야죠,570
user-rq3yi4lf6b,이런 사건이나 가해자가 나올때마다 일일히 제어하기 힘드니 증거가 확실한 것들한텐 처벌을 아주 무겁게 해야 통제가 된다. 알려진거보다 그렇지 않은 사건들이 많을거고 가해자들에 인권 심신미약 우발적 반성문 등등으로 판결하는 자가 똥딱듯 처벌하는건 아닌지... 한번에 엄벌이 10명 100명에 피해자를 보호하는 법이 안되면 보호받지 못한 피해자는 새로운 가해자가 될까도 무섭다.,12
cylee643,판사 가족이 저런일을 당하길 기도합니다.,1
user-zp2ro8iz1i,판사들 책임이 막중합니다. 상식이하의 사고를 치는 사람은 꼭 다시합니다. 여러번 겪어 봤습니다. 벌써 이런 말을 한다면 사형이 답입니다. 벌써 저지른 행위도 사형이 나와야합니다. 전혀 모르는 상태에서 죽을 수도 있다는걸 알면서 저지른 행동입니다. 죽었어도 반성하지 않고 제범할 가능성도 많은사람입니다. 사형구형 또는 살아서는 나오지 못하게 하는것이 정의 아닐까요?,14
user-ln9vb8qv2h,12년? 쳐돌았냐? 사람 하나 죽일뻔하고 성범죄를 저질렀을 텐데 최소 30년은 때려야지 12년이면 가해자 40대 초반이다 .. 징역살이한 40대 건장한 남성이 또 마음먹으면 무슨 짓을 할지 모른다 이미 전과 18범이라며 제발 나올 생각도 못하게 거기서 시체 썩을 때까지 가둬라;;,2
joshuachoi453,판사님들야!! 범죄자에게 인권을 바라지 마라!! 동물들일뿐이다!! 그냥 형벌 강하게 때려라,0
justifypark2835,무기때려서 20년살고 풀어주지말고 가석방없는 징역 60년까지 선고가 가는하도록 형법을 개정하자,2
user-oq8wu8th9b,무기징역 해라 진짜 피해자 주소도 주민등록번호도 다 안다고 협박하는데 저런 쓰레기는 평생 감빵에서 썩고 안 나오는 게 피해자를 보호하는 조치가,0
user-sg7ts1sq8f,만약 피해자가 잘못된다면 그건 법원 책임 입니다! 직무유기 판사도 같이 강력한처벌을 해야할것입니다!!,2
K-fishingman,형량이 과하구나 판사님들 120년으로 올리시고 어떤일이 있어도 풀어주지 마시길 바랍니다 인간이길 포기한거 같으니,4
user-ib7eu7ro1z,존경하는 판사님 가해자가 법의 존엄성을 엄청나게 느끼게 해주옵소서 간곡히 부탁드리옵니다,0
bluerate4804,가해자님 걱정하지말아요~ 정의로운 판사님이 가해자님을 위해 징역을 최대한 줄일거에요~,12
dddqqq7564,저 말을 듣고도 가만히 있으면 안됩니다 판사님 제발 우리 피해자분을 생각 해주세요,0
user-kv2hy4wr4d,저런 말을 정말로 했다면 법원은 종신형으로 가중처벌 해야할 것이다 왜냐하면 그의 말대로 실행한다면 더 끔찍한 일을 당하고 그전에 피해자의 정신적 고통과 불안함을 이루 말할 수 없이 치명적일 것이기 때문에. 과연 법원은 뻔히 예견되는 사건을 막을 것인가 아니면 방조할 것인가? 만일 종신형이 아니라 다시 나와서 피해가 발생한다면 판결한 판사에게 책임을 물어야 할 것이다.,4
H_H_H_H_H,사법부가 국민들의 신뢰를 받을 수 있는 기회라 생각하고 피해자를 엄벌하는 판결 기대하겠습니다. 온국민이 관심을 가지고 끝까지 지켜보겠습니다.,0
kimsw1406,판사 : 가해자가 깊이 반성하고 있는 점을 참작하여 .... 가해자 : 나가면 배로 때릴거야ㅋㅋ,30
Angry_Human,"무기징역 이던가, 아니면 이나라 범죄자편 훌륭한 판사님들이 기어히 풀어 놓는다면, 나와서 임자만나 오히려 본인이 똑같이 된통 당해서 피똥싸며 사리분별도 못한채 평생 살았음 좋겠다. 몸은 전혀 말을 안듣는데 정신은 말짱하게 또렷히 살아남아 본인이 하고있는 짓거리, 고통을 고대로 느끼면서 평생을 살면 좋겠다. 그렇게 살도록 빌고 빌어 주겠다.",2
Ggongqi,저 판결의 의미는 12년 살고 나가서 피해자에게 보복할 기회를 주려는 재판부의 사려 깊은 배려임. 어차피 이나라는 피해자를 위한 나라가 아님.,15
ggang21,징역살이해도 너무 편하고 처벌이 약하니까 저런 쓰레기들이 설치고 다니는거 같다. 인간이길 포기한것들은 사회에 영원히 발디딜수없게 해야한다. 전과가 10범도 넘어가는것들이 선량한 사람들과 같은 공간에 있다는게 말이되나?,0
sanglee1467,제발 판사와 국회의원 딸에게 저런 범죄를 저질러주세요,2
user-qv4xz8sg2r,어떻게 자랐길래 저런 미친싸패가 되었을까? 무기징역이 답이다 사회와 영원히 격리시켜야 한다,425
user-bg9gn8ur8d,전과18범이 멀쩡하게 밖을 돌아다니다가 저런 사고를 치는 데도 개판사들은 정신못차리지 판사 가족이 저렇게 당해야하는데 진심으로,119
raspdeli2614,판사는 이 사건을 좌고우면하지말고 니 딸이 피해입었다고 생각하고 판결하라 가석방없는 종신형이나 사형이 답이다 왜 피해자가 불안하게 남은 인생을 살고 왜 가해자가 떳떳하게 복수를 다짐하며 사는가.. 이건 재판부의 봐주기식 판결이 빚어낸 결과이다 지금이라도 다시 복수를 표한 협박죄등을 첨부하여 가석방없는 종신형 또는 사형을 집행하여 선량한 국민이 맘편하게 살수있는 세상을 만들자,1
Anonymous.00,판사자녀분들도 제발 저런애들 만나서 돌려차기 힘껏당했으면 좋겠네요,387
judehuppert9422,피해자 보호해주고 가해자한텐 형량 늘려줘야한다. 한국 법원 제발 시민들의 요청 좀 들어주길,0
7die8up,"판사들, 국개들의 자식과 자손이 똑같은 일을 당하길 기도합니다. 그래야 법이 바뀝니다. 매일밤 기도드립니다. 하느님이 계신다면 제발 판새들,국개들의 자식과 자손들에게 똑같은 일이 일어나게 해주세요. 아멘",0
ventpre1792,뜻깊은 판사님은 모든걸 용서하시고 피해자를 죽음으로 인도하실 겁니다,0
hahan6911,아니 온 국민이 이렇게 전고ㅓ 18범 가해자 형량 높혀달라고 판사한테 사정사정해야하는 이유가 뭐냐? 진짜 짜증나서 세금도 내기 싫다,0
user-xv6ew4rx4l,판사가 이 영상을 보고도 사형 또는 무기징역을 선고하지 않는다면 판사또한 가해자로 처벌되어야한다,0
rookie_choi,아무것도 모르고 엘베 기다리는 피해자 뒤에서 인정사정 없이 돌려차기로 쓰러트리고 의식 있는거 확인하고 더 폭행을 이어갔는데 .... 12년이라니 그리고 최소 인간이라면 항소자체를 안해야되는데 인간아님 인증했는데 진짜 더 무거운 형량 안되는건가...,1
user-de1vp6fd9e,전과18범인데 왜 신상공개 안 함? 그것도 반성은 커녕 나오면 복수하겠다는 갱생도 안될 쓰레기를; 신상공개 안할거면 가석방 없는 무기징역을 때리든가 출소 후 24시간 저 쓰레기 옆에 붙어서 감시할 인력을 마련하든가 대책없네 진짜,76
user-nl5lq5ru6f,판사들이 직접 겪어봐야 정신차릴 것 같다.,1
user-pj4lo3em5y,피해자 보호 해주세요 가해자 영원히 나오면 안됩니다 말도안되는 범죄를 저질렀고 초범도 아니고 다른 범죄 저지를 가능성이 높은데 못나오게 해야됩니다 판사님,0
jiminsong7,판사님들 본인 딸이 당했다고 생각하고 판결좀내주세요! 제발 !!,0
user-pi7ld3xe4d,과도하지 않아요 꺼내지 마세요 판사님 감형 해주지 마세요,8
nc-eo6uv,가해자분 나오면 범죄예고하셧으니 범죄 저지르지 못하게 무기징역으로 범죄를 더이상 저지르지 못하도록 법원에서 잘 처리해주시길 바랍니다,0
user-jr4yw9bz9x,재범률이 상당하던데 자꾸 사회로 환원시키는 이유가 국민 잡자는건가 앞으로 판사가 판결의 결과에도 책임을 저야하는 법도 필요할듯,2
happyowl7854,"판사양반아...니들 딸, 아내가 똑 같아 당했다고 생각해 봐라....저런 놈을 그냥 두면 되겠냐...그냥 거세시키고 국적 박탈해서 강제 추방시켜버려라",374
user-qo2ti4zx8h,범죄도 여러번 저질렀는데 왜 형량이 12년인지.. 이해가 안되네요. 저런 사람은 사회에 나와서는 안됩니다. 추가로 저희 나라는 제대로된 피해자 보호가 어렵다고 생각이 드네요.. 그러니 최소 형량을 숟가락 들 힘만 있는 노인이 될때까지 감옥에서 살라고 합시다..,0
