작성자,내용,추천수
user-st7yf2sf4r,제발 항소받은 판사님 뻔뻔함과 반성의 기미 없으니 50년으로 형량을 주세요,1만
user-vq1kf9cm2g,미국:피해자가 용서했지만 판사가 용서안함 한국:피해자는 용서안해줬는데 판사가 용서함 이말이 너무 와닿는다,2.4천
user-sw5ll8tq7y,뭘 잘못했는지 모르는 범죄자는 가중처벌 받아야 합니다. 다리가 무릎 위로 올라가지 못할때까지 사회로부터 격리되어야 합니다. 판사님.,938
hallyang0920,항소 했으므로 형량이 더 높아야 한다고 생각합니다. 반성한다고 깎아주는데 반성 안 하면 형량이 추가 돼야 하는 게 맞죠.,8.4천
user-zg4bh5hl4d,저런 정신병을 가진 인간이 다시 나오면 또 다른 사건들이 생깁니다. 꼭 반성도 없는 쓰레기는 무기징역을 보내야됩니다.,3.2천
user-em7dl8fq2w,매우 화가 납니다 언제부터 우리 사회가 무법천지가 되었을까요. 자식 키우는 처지에 피해자 부모님의 마음이 어땠을지가... 어찌 다 헤아릴 수 있겠습니까 제가 할 수 있는 일은 피해자가 빨리 건강 회복하길 기도하겠습니다 그리고 공소권 변경하라셨던 판사님께 도 감사 인사드리고 싶네요,3.8천
user-ff3ms1xq3g,판사님ㆍ형사님들ᆢ 당신들 ㆍ자녀 라면 어떻게 하실건가요 이게 말이 됩니까????? 제대로 명쾌한 수사ㆍ정확한수사~~~~해주세요 제발ᆢ대한민국 국민으로서 자부심 가지고ㆍ살고 싶습니다 ㆍ 무거운 형량 ᆢ엄벌에 처해주세요,3
mview1979,항소한 자체가 반성이 없는 것으로 보이며 이런 인간은 갱생 없습니다. 사형 판결로 정정 부탁 드립니다.,3.4천
user-rx4vs8vl2d,무섭고 눈물이 납니다 저렇게 건장한 남자가 무방비 상태의 여성을 그것도 뒤에서 발로 돌려차기를 ...이유있는 폭행도 문제지만 묻지마 범죄는 정말로 엄벌하여 피해를 줄여주는것이 국가의 일이라고 생각합니다 왜 선한 사람들이 늘 피해를 당하고 힘들어해야 하는지... 저런 사람을 경미하게 처벌하는것은또 다른 피해자를 만들뿐입니다 재판부의 판결을 존중합니다 마음 같아서는 그 배로 형량을 주었으면 좋겠습니다,993
narheeee_,저게 사람입니까 진짜 영영 사회에서 격리당해야합니다 신상공개하고 형량 쎄게 줘야합니다 저런 사람같지않은 것들이 돌아다니면 국민들 불안해서 어찌 삽니까,14
user-fu2cj4ze8v,이건 신상공개 해야한다고 생각이 드네요. 보는동안 화가나고 짜증이 나네요. 꼭 무기징역 받으시길...,457
joolylee6871,항소해서 정말 2심에 간다면 형량이 더 늘었으면 좋겠네요 심신미약은 더 강력히 처벌해야한다고 봅니다 억울하데요?! 억울? 어디가 억울하죠? 피해자 만큼 억울하고 고통스러울까요? 피해자분 살아계신 것에 감사하세요 그냥 기가막히네요 가해자 얼굴은 왜 항상 보호받는지 ..... 피해자분의 건강이 잘 회복 되셨으면 좋겠어요 기도합니다 힘내시라고 응원을 보내는 것 밖에 없네요,644
user-qo1qk1rp3d,사회악임니다 판사님 죄를뉘우치기는커녕 법을비웃으니항소한검니다 사회와 영원히 격리시켜 주십시요,5
mimiyang2261,저는 미국에 살고 있는 교포입니다 미국에서는 이런 범죄가 있을 때 술을 먹었으면 가중죄로 처벌이 더 강화 됩니다 그런데 한국은 술 먹었다고 하면은 감 형이 된다는 것이 말도 안 되는 법이에요 이 법 없애야 해요 그리고 이 놈은 천벌을 받아 죽일 놈 아예 무기징역을 때려서 세상에 못 나오게 해야 되는 악인입니다 너무 화가 나서 참을 수가 없네요,794
voladol,대한민국 판사는 대체 왜이러냐 .. 저런건 진짜 12년이 아니라 50년은 떄려야 맞는거 아니냐?? 이게 뭐하는건데,6
user-zr6ek6dv5q,내 가족이라 생각하고 보니 너무 마음이 아픕니다. 완쾌하셨으면 좋겠고 가해자는 사회에 못나오게 형량 늘렸으면 좋겠네요.,108
