작성자,내용,추천수
orangeb2981,전과 18범을 반성한다고 8년이나 감형한 판사들도 공범입니다. 사회에 풀어서 더 많은 피해자를 낳게하는 결과입니다. 판사되기 부적합한 무능력한 판사들이 너무 많다.,666
jaydenjang,"판사들이 감형해줬는데 재범 할 경우, 해당 판사 및 변호사 등에게 불합리한 페널티를 쌓게하고 반대의 경우, 베네핏을 줘서 막무가내 감형을 막아야 된다 생각합니다. 전과 18범이 있을 수 있지만, 전과 18범이 이제 고작 30살 정도인게 참 황당하네요.",6.1천
kbsmd0,판사님 존경합니다. 그러고도 밥 잘 먹고 사는거 보니 뻔뻔함이 참 존경스럽네요,4.6천
user-ux9qo1kt8i,판검사의 딸이라면 어떻게 될까? 똑같이 처벌할까? 사람 고쳐쓰는거 아니다. 사지를 절단해라.,291
user-kw5po7nm3f,약자한테 힘쓰고 들쳐 업고 가는 꼬라지 진짜 소름 끼친다. 피해자는 숨고 쓰레기들은 활개치도록 놔두는 대한민국 판ㆍ검사들 참 한심하다.,31
user-dm4rl3ec6l,잘못된 판결로 범죄가 일어날경우 판사에게도 책임지는 법을 만들어야 합니다,547
robertalmon9251,"신상공개 해야 합니다.. 이런 것을 영구 격리 시키지 않으면 누구를 영구 격리 시키겠습니까 얼마나 더 다치고 죽어야 제대로 처벌 할겁니까? 제발 피해자가 더 생기기 전에 막을 수 있을때, 판사가 그 기회를 앗아가지 않았으면 좋겠습니다.",419
user-xw1fq4oy2n,가해자 인권이 판치는 이나라 정말 무섭다 제발 흉악범들에게 다시는 이사회에 발 못붙이게 해야한다 판사님들 본인이나 가족이 당한일이라고 생각해보시라 어떤 맘이 들지 참 세상이 미쳐돌아간다,14
user-gu6qi3fh7q,18번이나 솜방방이 처벌한 판사나 법원 책임이 크다고 생각합니다 판사님들 자식분들도 똑같이 당할수있다고 생각하시고 강력하게 처벌을 해주십시요,208
user-qe6li8yn8b,"이런걸 보고도 판사들은 초범,반성,아직어린점,교화 같은 단어를 판결문에 적고 싶을까요. 이미 사람을 공격한 맹견을 두고 '이 맹견도 착해질 수 있다면서' 행동교정도 안시키고 사회에 다시 풀어놓는 판사들도 가해자입니다. 그리고 와이프도 있는데 어린애하고 성매매하려다가 당하신 성매매미수 피해(의)자분은 동정 1도 안가네요. 쓰레기짓 하려다가 핵폐기물을 만난 케이스",1.4천
anthropos2327,판사 판결에대한 책임제를 실시해야 한다고 본다. 그래야 판사가 제대로 일하지.,426
user-rf2en9pr7x,고작 징역12년이라니 개판사들 진짜 이게 나라냐? 저게 살인인데 술먹었다는 이유로 징역 12년이라니 미친 진짜 사법부는 개혁대상이다,7
kms5299,저걸 17번이나 세상 밖으로 풀어준 판사들도 대단하네.... 저정도면 사회로 부터 영원히 격리 시켜야 하는거 아닌가..??? 저넘은 교화의 가능성도 없고 점덤 더 업그레이드 돼서 나온거 같은데 이번에 또 더 업그레이드 돼서 나와서 결국 사람을 죽이든지 해야 영원히 격리 시킬 참인가 보네... 판사님들 께서...,518
user-xd9ei1eo3v,저런 인간을 살려둔 판사가 범죄자다.,1천
user-en8pn3mu5b,판사들도 언론으로 강압을 받아야 제대로된 합당한 판결을 내린다는게 씁쓸하다. 얼마나 부적젏한 판결이 많을지..,13
paulvn1702,판사들에게도 심각한 실수의 경우 징벌을 주어야 한다.,139
