작성자,내용,추천수
hanni0722,전과 18범인데 반성문 하나 썼다고 감형하는 판사 레전드~~~~대단하십니다.,956
user-sm2sq6ny3j,전과 10범 이상이 길거리를 아무 제약없이 돌아다닌다는게 놀랍다 이나라의 판검사들 존경합니다,124
serre5965,드립 아니고 진지하게 AI가 대체해주길 바라는 직업 1위는 판사입니다 진짜예요 제발 대체되길,94
user-jw2rm4zh5j,판사들도 정신교육이 시급한듯.. ㅉ,295
allk1754,"판사는 이제 40살 이상에 검사, 변호사 경력 10년 이상된 사람만 자격을 주자. 전문성도 중요하지만 인생의 경험도 중요함.",141
user-jf8oe4cg8k,다음달 12에 어느 정신나간 판사가 정신나간 형량을 할지 모두 지켜봐야됩니다,32
aaaa-pg5pf,판사도 신상까줘라 어떤인간인지 보자 . 자기자식이 당햤어도 저렇게 할까싶다.,33
gayyyyyyyyyyyyyyyy,반성문으로 형량이 줄어드는건 진짜 감성 법아닌가,51
mk2j193,국회의원의 입법과 판사시험에 심각한 결함이 있다 이런 결함이 발생하는 이유는 국회의원과 판사가 하는 일을 국민들이 모르기 때문,6
user-vm9kg4jg7f,"그동안 저늠 판결했던 판사님들 참 대단하시네 전과18범은 판사님들이 달아주신 훈장이네여 과거에 한분이라도 강력한 처벌을 했다면 전과18범까지 갔을까여? ""초범이다,반성하고있다,기억에없다,기타등등"" ㅎㅎㅎ 저 괴물을 만든건 판사님들의 합동작품인거 같네여 ,, 이번에라도 강력한 처벌을 해주셔야 합니다 최소 감형없는 무기징역 또는 사형......",2
user-bd4oy4ts9o,판사가 흘려보낸 범법자가 한 여성의 인생을 망쳐놨다. 징역 30년이 무슨 말인가 징역 50년 이상을 선고해도 절대 과하지 않다. 이 사건에 판사들은 도덕적 책임에서 자유롭지 않다,15
user-ez4ph1su4e,1심선고 판사도 징계해야 하는거 아닙니까?,112
tr2550,전과18범이다.18범... 이런게 교화가 될거라 생각하는건가.. 국민모두가 용서안하는데 판사만 용서하네 ;;;,16
a1b180,한국에서 판사 자체를 없애야 한다. 그냥.... 최악의 부패 집단이다.,14
user-gs9vx4mq8m,반성문을 피해자에게 써야지 왜 판사에게 쓰는 것도 감형도 판사가 하는 지 제도가 이해안된다. 피해자가 용서했나? 감옥에서 평생 나오지 못하게 해도 시원찮다.,2
user-rs6bm9tr6s,이런놈은 인간이 아니다. 엄벌에 처해야한다. 아예 종신징역에 처하길 바란다.,5
BepBep1,제발제발제발 판사 딸이랑 마누라 길가다 돌려차기 당해서 평생 병원 천장만 보길,6
user-xl8fb6ow5y,판사님들아 제발 상식적으로 판결 좀 해라. 의미없는 반성문 받았다고 반성한다고 믿지말고 쫌,2
user-vp9gd3rj8v,"판사는 정해진 법조항안에서 판결하니까 한계가 있습니다 법이 잘 못되어 법을 개정하는건 입법기관인 국회, 의원들이 하는겁니다 지금 우리 의원들이 이 역활들을 등한시하구 정권다툼이나 하고 있습니다 흉악범들이 가벼운 처벌을 받았다 생각하시면 판사보다 먼저 본연의 임무인 법개정을 하지 않구 정치다툼하는 국회의원들에게 욕을 해야 한다고 봅니다",5
analyticengine,이런 생각과 행동으로 세상과 타인에 폐악를 끼칠뿐인 악인에게 징역 12년 선고에 35년 구형이라...가둬두고 먹이고 재우는데 들어갈 세금이 아깝네요...30대 초반 나이에 이렇게 수십차례 전과를 쌓고 극악무도한 범죄자로 성장하며 버젓이 범죄를 저지르며 나돌아다니게 방치한 부모와 국가의 책임입니다...,0
Fat_Badger,해당 사건은 피해자 또래 딸을 둔 판사와 검사에게 배정하자.,3
user-oy6jk9mh8t,평생사회와격리시켜야한다ㅡ엄벌처해야함 판사님께 나오면또다른피해자 틀림업시만들것이다,0
tenkoo3336,판사한테 사과했으니 판사가 보호해 줄거다 판사도 사이코패스거든,9
user-co2tq3sk1u,판새가 하는거 보면 죄질이나 반성 이런게 중요한게 아님 자기한테 납작 엎드리는걸 원하는거같음 억울하면 당연히 불만이나 분노가 섞여있을거고 실제 범죄자는 죄지은걸 아니까 납작 엎드려서 감형 받으려고 할거고 고로 범죄자가 감형이나 선처를 더 많이 받지 않나... 마 지는 이래 생각합니더 ㅇㅇ,1
jupiter5331,무기징역 내리지말고 감형없이 징역50년정도만 내려라 영화 쇼생크탈출에서보면 평생을 감옥에 있다가 갑자기 사회에 나오면 얼마나 비참해 지는지 나옵니다...,1
goldenboy6826,판사에게 보복할 생각은 없냐?,6
okugo4212,선처 감형은 잘해주고 마치 높으신 분들과 그 자제들의 경우를 위한 듯 법과 형량 개정은 지지부진하고 교정시설의 교화 역할은 오래됐고 다른범죄를 배우고 나오거나 피해자들이 밖에서 보복을 두려워하고 법이 제 기능과 역할을 잘했으면 애초에 이렇게 신상을 까는 일이 일어났을까? 법이 존재함에도 피해자들이 후환을 두려워 할 일이 생겼을까?,1
user-cy4gh8lp9b,판사는 누가 벌하나요? 쓸모없는사람들이 많은거같은데,4
alpenglow845,대한민국에는 어느분야보다 빠르게 사법체계에 판사부터해서 전방위로 AI가 도입되어야한다. 눈물찔끔 반성문찔끔에 뇌속 꽃밭되는 무능력한 판새들이 범죄자들 지들 잣대로 양형맥이고 풀어줘서 선량한 시민들만 죽고 다치고있는 지옥이 되어가고잇다.,3
user-gu2xl4ci4q,전과기록보니 어지럽던데 그걸 뭐 반성하고 있다느니 뭐니 하면서 20년 구형을 8년을 줄여서 12년을 구형한 이 인간들은 뭐하는 인간들이냐? 그래서 이번에는 또 어떤 이유로 감형시키실까 우리 판사님들?이번에도 반성하고 있으니 한 10년정도 감형시켜주셔야지.,0
user-ou9wo7to5w,저게 반성하는 사람 태도임?ㅋㅋ 참작의 여지가 어디있다고 그걸 느끼고 판단을 하셨을까 판사는?,3
arcyoon,개판사들도 돌려차기 한 번 맞아보는 체험을 해야.,6
user-lj9su1yq4s,앞으로 수 많은 젊은여자들을 위해 저런 발정난 싸이코는 무기징역 되는 법으로 강화시켜주세요,1
jjj8499,사람이 죽어야 판결 해주는 판사,6
user-eo1wd5he5y,이제는 그 재판 참여한 판사도 대대적으로 공개하자 이름을 걸고 해야지 일을 그냥 설렁설렁할거면 집에나 있든가,0
unicef-pl9ir,판사도 범죄경력 있는지 알아봐 주세요 ㅡㅡ!,1
user-qg1ry8hw1j,판사딸이 똑같이 당하면 능지처참 선고 백퍼다,1
dung2,교화 ㅈ도 안됬지만 전과 18범이지만 잘못을 뉘우치고있다고 감형해주는 나라 ㅋㅋ,4
user-dy7nf2ig9c,현재 젤 첫번째 사라져야할 직업이 판새다! 저딴식으로 판결할거면 당장이라도 AI로 대체하라!,0
theshapelouis5068,이런데도 반성한다며 형량 깎아줄건가ㅋㅋㅋ,20
leewilliam8111,협박까지했으니 형량 10년 더 늘리자,3
CVLVY,판사가 돌려차기 한번 맞아보고 다시 생각해봐야할듯,0
user-ib8kw8nt5r,항상 느끼지만 전과 수두룩한 범죄자들의 교화 가능성을 본답시고 언제고 내보내서 선량한 시민들 목숨으로 도박하게 되는 꼴이 어이가 없네요ㅋㅋㅋ 전과가 늘어날수록 사회랑 더 격리를 시켜야지... 형량깎기용 반성문도 지겨워요 깎기는 잘깎아주는데 왜 추가는 없는지... 저 정도면 법 농락에 괘씸죄라도 추가되어야 하는 수준 아닌가요?,1
user-qm1oz1ov8e,개인적으로 이미 전과 3범이상부턴 노답이라 생각하는데 3범이 범죄해서 4범이 되는순간 아웃해서 징역 30년가자 그냥,3
user-mb9et8zn7q,대한민국 사법은 ...앞으로 묻지마폭행하고 사람하나 병신 만들어도 반성문이면 뭐 감형 해주네 이미 감형해준 판례가있으니....ㅉㅉㅉ,0
user-si4hc8cw9o,판사돌려차기한번해줘야될듯 ㅋㅋㅋ,3
user-ld2my2wv5n,판사도 보복 당할거 무서워서 감형시켜줌-> 판사도 ai 대체가 시급함,2
user-bw5rp6fm1o,범죄자 양성하는 대한민국법원. 정신줄 출타한 미친 판사들 모조리 정리하고 AI로 바꿔야된다.,1
cjh900300,징역 35년? 이거 우리나라 판결 맞지?,2
user-cc2hz9ez8y,반성문썼다고 감형받았다고요?? 술까지 마셨으면 무죄였겠네 ㅡ ㅡ,0
user-vp2zy9ul7g,반성 이런거 없애고 그냥 죄지은만큼 형량을 때리세요,0
legendgamerkor6053,이정도면 판사 신상털어야될판,1
user-zy7fd3pm3v,"법시오패스 검사, 판사들이 지들 권력 유지를 위해 사람들을 범죄로 내몬다. 법시오패스, 사시오패스의 세상이디",0
user-hf2kh9pq6c,20년 후 출소해서 판사 가족이 똑같이 당한다해도 20년 주까,0
changsoonkim9242,솔까 전과 5범 넘어가면 형량 더블로 가야지. 아 근데 세금도 아까워. 어쩌지?,6
user-ye6eb3wq4h,참~대~~~~~단 하십니다 판사님^^ 20년?ㅋㅋ200년을 선고해도 모질라,0
cordba7915,판사님 분리수거도 안되는 쓰레기 무단으로 투기하면 불법입니다 초등학생도 아는건데...,0
user-sb1op1jx7d,판사들 돈 얼마받음?.. 재판부 모욕을 앉아있는 사람들이 하고있노,0
user-ux1pg2ov1c,중학생 때부터 성폭행 총 전과 18범 저런 놈을 견원은 반성한다고 감형 때려버림... 견원 딸이 성폭행 당해봐야 정신차리지...,0
EternalVictor,세상을 개판 만들어 놓는 개판사,0
user-lu3wo2in6w,여자 때문에 교도소에서 징역을 사는구나,1
etc333,판검사가 대단하냐? 법전달달외워 메뉴얼대로만 실행하면 되는 ai 사이보그들 임.,0
_2_19,판사피셜 반성하고 있다 ㅋㅋㅋ,3
kuraenai45,검사출신대통령의 나라에서 이게맞나?,0
