작성자,내용,추천수
yongeagile8241,이분 감정이 맞습니다! 법이 정당히 가해자를 판결 하지도않고 피해자를 더큰위험에 빠뜨렸다. 오죽하면 이분이 생명 위험무릎쓰고 이리 크게 외치겠나!!!! 사법부야 제발국민 목소리를 들어라!!!,308
whojang2000,저런 식으로 지맘대로 형량을 15 년씩 깎아준 판새 가족들도 반드시 똑같은 일을 당하기를 주예수 그리스도의 이름으로 기도합니다 아멘,419
user-bb3jt2gw1x,용기있게 증언해준 분 훌륭합니다!! 피해자가 아무리 고통스럽고 극한 피해를 당해도 판검사 패거리야 지들 일 아니니,238
user-ne3ki8fe1t,그 판사놈 이름과 얼굴 면상좀 보고싶다..저주좀 내리게... 똑같이 아니 대대손손 당신 가족들도 당하시오..부디,71
m1n1ma1,전과 18범이 반성도 없이 되려 보복할 생각만 가득한데 검사가 낸거 그대로 때려버리지 왜 형량을 15년이나 깎았을까,97
hsoal3029,와 반성도 없는데 겨우 20년… ㄹㅇ 판사 미쳤다,29
mintlove1090,"인터뷰하신 분도 뭔가 잘못해서 교도소에 가신 것 같지만, 얼마나 부산 돌려차기남한테 화가 났으면 인터뷰까지 했을까요? 가해자 놈 형량 감형 해준 판사나 변호사들도 싹 다 피해자가 당한 고통보다 더 심한 일을 당해봐야 감형 같은 건 해주지도 않을 텐데 이참에 국민들 세금으로 가해자 놈 배부르게 만들지 말고 사형시킵시다. 악마에게 배부르게 하고 따뜻하게 지내게 해주는 건 사치에요.",59
tweety0878,피해자가 신체적 정신적으로 정상적인 생활이 힘들 정도로 피해를 입었다면 가해자에게 어떤 처벌을 할지 피해자쪽에서 결정할 수 있었으면 이란에서는 피해자 두눈 실명시킨 가해자 법원 판결 똑같은 고통 겪어봐야 한다고 가해자 두눈 실명시켰음 눈에는 눈 이에는 이 판결로 유명 피해자가 용서가 안 된다는데 법이 무슨 권리로 가해자를 용서하네마네 하는건지 그리고 저 인터뷰 하신분도 신변보호 필요할듯 합니다,0
user-gj9ep7ui4j,드러운세상에서 살고있구나 판사 인간이아닌것같다 범죄자 키우는집단같다 조사받는영상보고도 고작20년 참 한숨나온다 지들마음댸로 판결하구나 빨리 인공지능 시댸빨리와야할듯,14
user-px7of7ko1u,검찰은 항소해서 단 하루라도 형량 늘리게끔 하시길 바랍니다..판사 양반들도.. 진짜 문제야..,29
marsplanner8703,현 수많은 시민들이 그토록 신상공개 등 더 제재를 해달라며 많은 우려를 했음에도 20년 뒤 같은 뉴스가 나오면 이 판결했던 판사 이하 관계부처 담당자들은 법원에 서야함.,0
user-gc4yw3fz4p,한국의 대부분의 판사들은 꼭 죽어서도 고통받길 간절히 바란다,1
bsthemax8504,진짜... 사법부 .... 저 죄가 명확한데...영원히 격리시켜야함 판사 뭐하냐....지 딸이 당했어도 저럴까,2
user-hr6ee6ml7d,저렇게 말할수록 형량늘리는법 개편,3
user-eh9zj4nw1w,"충분한 소통과 대화를 통해 해결해야한다고 생각합니다. 무조건적인 비난과 마녀사냥식 보도로 해결되는 것은 아무것도 없습니다. 법에 정해진 형량에 따라 판결하는 것이고, 단지 죄지은 사람이 밉다고해서 임의적으로 더 높은 형량을 부여한다면 이 나라의 법치 체계와 인권체계 자체가 나락으로 떨어질 것입니다. 죄가 미워도 사람을 미워해서는 안됩니다. 또한 처벌이 아닌 교화가 최우선되어야합니다. 신상공개 또한 신중하게 이루어져야지 감정적으로 결정되어서는 절대 안됩니다. 소통의노력을 했으나 아직 부족하다면, 더욱 충분한 소통을 통해 오해가 있다면 풀고, 교화를 위한 노력을 하는것이 맞다고 생각합니다. 또한 죄를 저지를수밖에 없었던 상황을 함께 논의하고, 이 사회와 국가가 그러한 상황을 만든 것은 아닌지 반성할 일은 반성해야할 것입니다. 물질 만능주의와 인권을 경시하는 우리 모두 또한 그런 잘못에서 완전히 자유로울수는 없을 것입니다. 단지 누구를 비난하고, 처벌만을 강조할 것이 아니라, 모두가 함께 살아갈수있는 방법을 사회와 우리 모두가 함께 고민할 때라고 생각합니다. 모두 함께 사는 세상이기 때문입니다. 모두 함께 가는 사회이기 때문입니다.",1
user-dj2tt1lm7b,저놈은 이대로 두면 안될거같는데 검찰이 대법원에 상고해서 재판 다시 해서 피해자분께 상처를 받지 않고 보호하기 위해서는 무기징역으로 높여야하는데..,2
chrispite6510,무기징역을 때려야지 20년은 너무 짧다,21
sunnyjj,이런 피해자를 무기 안 때린 판사 너ㅁ은 머리가 어떻게 된걸까? 18범인데 이렇게 감형이 된다는게 참 어이가 없다 판사너ㅁ아 판사는 꼭 AI로 대체되어야한다!!!!! 우리나라 판사들은 모두 없애는게 답일듯!!!,0
user-fx9fl6uo4w,피해자한테 사과없이 20년 구형을 판결하는 건 아무 의미없다,1
user-hj2qt9ns2g,인터뷰 해주셔서 감사의말씀 드리고 진짜 누굴위한 사법부인가요반성1도안하구 진짜 20년 때린부장판사는 머리에 뇌가있는 사람인가요?아니지 뇌가없으니20년만때린건가?참 저머리로 부장판사를 한다는것이 웃음만나온다기가차고,11
user-jb7ip5un1m,20년뒤 나와서 사건이 생긴다면 니 판사들 때뮤인거다! 피해자들 위해 법과 처벌 좀 만들어라!누굴위해 있는 법이고 처벌이냐! 솜방망이 처벌에 범죄만 늘어난다!!!,0
user-yu9tl3hd9s,피해자에게만 무자비한 판사들..참 요즘 나라꼴이 말이 아닌데..너희들이 휘발유를 퍼붓는구나..ㅉㅉ,2
ppaseung,미리 막을수 있는 범죄를 대한민국 판사들 때문에 또다시 비극이 시작되는 거야!!!! 20년 살고 나오면 사람이 변할것 같냐?!!!!,3
user-lm4mc2ns4p,판결도 판사마음데로 내리니 무서워서 살수있겠어요~저두젊은데ㅠㅠ,3
user-ug4tq6fr8d,"전과18범에 활동안 계속 죄질이 무거운데 도대체 왜 이런 판결이 나온건가? 온 나라 국민이 이렇게 관심을 가지고 보고 있는데 도대체 왜왜왜 이렇게 판결하는건가요. 후쿠시만 오염수 방류나 다른 여러 사안 보다 이런 범죄류(소년범, 성범죄, 음주운전)가 훨씬 중요하다고 생각하는데. 국회의원들은 도대체 뭘하고 판사들은 도대체 왜? 무슨 생각으로 이렇게 판결한겁니까? 당장 서민들이 맘편히 살수 있는게 더 중요한거 아닌가.",5
user-us4du8xz2f,판사셋기들 자식들도 똑같이 당하기를 기도합니다...,6
crescendo_999,판사가 이 사람만도 상식적이지 못하다는 게 밝혀진 듯.,5
user-zv6fh6ns4h,"구치소 동기 이름: 엄태웅 직업: 전 로드FC 파이터, 현 격투,사건사고 유튜버 왕대박토스트라는 남자랑 쌍방폭행해서 징역 두달 살고 나옴. 엄태웅도 사기,폭행 전과2범에 빌런이긴 한데 전과18범 이현우랑은 비교할바 아님. 전과 있는 건 잘못한 거고 이번 사건 돌려차기남 이현우 악질짓에 대해 제보한건 잘한거임",32
jinjoo10,이번사건은 판사 이름 공론화 시켜서 뒤집어야한다 기필코!!!!!,13
user-wo9qp9et5u,참 저런폐기물들이 법대로판결한 판사에대해 저런말을하는게 맞는거냐 제발 주제파악좀해 폐기물들아,0
user-en9vv5ud7j,pc방 살인마 김성수도 징역 30년밖에 안되고 이번 사건 형량 20년도 말이안되고 진짜 무능하고 무책임한 판사들 때문에 악마들이 미쳐 날뛰는 나라네 나라꼴 참잘돌아간다 ㅉㅉ,0
user-gd1sm8df9u,솔직히 사람죽이지않고 20년이면 판사입장에서도 많이준거 아닌가? 양형때문에 판사도 막줄수없음 판사입장에서 최대한 준거 같음,0
user-gp3zm3rs7r,판사들 어서빨리 저돌려차기남 빨리 사형집행 시키도록하길바란다,0
lee79jh,판사가 복수를 20년만 미루라는 판결이네요.,0
_diank1279,피해자 응징할 생각말고 니말대로 형량 많이 때린 판사를 조져라,0
lottokimg,35년 구형인데 15년을 할인해주는 판사 ~~~~~,11
user-rq1tv6yo1s,모르겠고. 저 사람 없었으면 10년도 안나왔을거다. 감형 되었을거야. 목적이 자본주의적이었건 뭐였건 잘한건 잘한거다.,1
minjunkim6950,소한민국 판사 사법부가 가해자다 아니다 법을 만드는 국회가 국민의 가해자다,2
user-ks9iu2ks4z,오.. 원래는 무기징역이 나와야 정상처럼 보이지만 가둬두기도 힘들것 같은데. 음... 사형이... 맞는것 같기도 한데... 사형은 없겠지?,2
user-pd2qp2oi2l,변호사 부터 돈생각하지말고 아무나 변호하지말고 제발. 진정있는 변호사가되어라. 판사들도 각성하고.,0
-sss102,판사가 피해자를 20년후에 죽이네..,4
JO-mg1lr,법이..참우습다ㅋ 범죄자는이런걸보고느낀점은? 징역생각보다짧네~나도해볼까? 챙피하다ㅡㅡ한국법이ㅈ같네,0
user-jo6sb8qu3e,요즘 판사들도 실적 이런게 존재하나??? 가해자 편들게??.,0
lxeris.lxeris,"그냥 들은 그대로 말하면되는거지, 구치소 동기가 형량 어쩌고저쩌고 하는게 우끼네,,",1
user-xr1en3cj3g,판결 내린 판사 무기징역 가자,1
user-pv6wn7rw6m,같은 범죄자인 구치소 동기도 노답 갱생불가라고 하는데 판사 뭐임?,0
jerryjjam,판사 나이가 70대라는데 판단력이 많이 흐려지신건가싶고^^,2
user-pk4ug6um7z,나오면 판사 먼저 죽여라 그러면 인정,9
user-hd8sl9bu7o,전과18범가해자새끼를 18~무기징역형이 맞지 20년이장난이지~피해자맞는거 보니깐 죽을수도있었는데 운이좋았을뿐!,0
user-wz9qh5el1r,구치소 동기가 판사보다 훨씬낫네,0
kk-zy9bx,해외언론에도내보내야지....사법부의후진적판결에 치가떨린다,1
user-jr5gi2ky9o,저거 술먹었으면 징역2년일거같은데 안먹어서 다행이다,0
user-ps5hp8lx3n,아~ 판사가 가해자 집안사람인가보네~,0
eeL-ss5cb,가해자나 판사나 싸패끼리 지랄이풍년이구만 최환판사 과거 전적부터 말이 많던데 ㅉㅉ 잘못만난게지,0
user-ef3cp5mu6m,전과 18범도 감형해주는 나라 ㅋㅋ 이러다 모범수로 조기출소하겠어 ㅋㅋ 대단해,0
