작성자,내용,추천수
kang9140,판사가족에게도 같은일이 생겨보기를 매일 기도한다.,18
user-df1qr2fe4g,반성문을 왜 판사 한테만 쓰냐~~ 피해자 한테도 써야지 피해자는 용서를 하지 않는데 판사 니들이 뭔데 감형이나 시켜주고 있냐,71
user-lm8pp6rb8r,흉악범들 한텐 항상 가족적인 분위기로 따스하게 맞아주는 판검사,27
JKu-zd6ct,반성을 하는 모습이 없는게 문제다. 피해자의 심정은 무시하고 오직 자기 형량만 말하는게 과연 반성하는 모습인지 의문이다.,12
user-gy8se6sf7x,"'부산고법 형사2-1부 최환 부장판사'도 자녀분과 가족,친척들이 같은 일을 겪길 바랍니다 ^^",3
user-gf8dx4py9t,판사가 만만하게 15년 할인해주니까 더 진상 부리는구나 국민심판제도라도 만들어서 엄벌에 처하고 재범자들에 대한 판사책임제와 사형제를 시행시켜야 된다,10
user-oy5js5jb1y,"돌려차기남만 형량을 많이받는건 불공평하네요 , 다른사람도 똑같이 형량을 많이주세요",26
_frogman,교화가 안되는 범죄자입니다 감형이라는건 말도 안됩니다,15
user-ff7nd6xc8v,범죄자놈이 반문 할정도로 형량이 낮은데 왜 나만 많이 줬냐 ㅋㅋㅋㅋ? 그 동안 판사놈들이 얼마나 솜사탕만큼 달콤한 형량을 줬으니 오죽하면 저딴 말을 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,19
exittogoal,판사가 15년이나 형을 경감시켰습니다~!!! 가해자는 나가면 가만두지 않는데도요~!!!,1
clean_world_activist_neogulman,진짜 돌려차기 폭행만 했으면 이리 받진 않았지 ㅋㅋ 또 나와서 범죄저지를거란 선언과 전과 10범이 넘는 커리어를 가지고 있는데 도대체 어떤 정신나간 판사가 또 금방 풀어주냐? ㅋㅋ,15
user-dz7xe8kk6y,판결하신 판사분.....정말.... 더보기,4
roy8548,대한민국 판사님들 집에가시는길.. 어느술먹은 미친놈 한테 돌려차기 어설프게 맞아 병신되거나...가해자가 살인미수 선고되서 억울한일 없길 바라며... 한방에 즉사 하시어 살인죄 인정되어 한평생 열심히 법공부만한 인생 아깝게 가는일 없길 바래봅니다.,5
user-ns6fk9wy5b,자기 욕구체우려고 여자를 두들겨패서 기절을시키고 짐짝처럼 들처메고 가 강간을했다는 사실 자체가 악마인데 이런 교화가능성이라곤 손톱만큼도 없는 인강쓰레기에게 50년형을때려도 감옥에서 호의호식하고 산다는게 괴씸한데 35년도아닌 20년? 판사 판단력 가출했나ㅣ 20년후 새로운 피해자가 생기면 그때 판사 책임각오해라,8
user-gr3px2lb1x,가해자 반성문을 왜 안받는 데? 그게 무슨 의미가 있는데? 피해자가 감형을 해줘야지 왜 판사가 감형을 해주는 데?,13
user-oh2ik7oi3b,"이런 사건은 사형좀 시켜주세요..제발! 길거리에서 폭행한것도 너무 큰죄인데.. 성폭행 하려했다는게 너무 소름돋네요 더군다나 피해자 집 주소를 알고 추후에 보복을 예고했는데, 그리고 반성문이라고 글을 쓰고 반성은 거녕 자기 방어하는게 너무 뻔뻔스럽네요.. 가해자를 사회로 돌려보낸다면 또 다른 피해자가 생길수 있다는걸 명심해주세요.. 그 피해자가 본인들 가족이나 지인이 될수도있다는걸.. 그리고 만약 판사나 검찰 경찰 관계자분들이 피해자였다면 이런 뭣같은 판결 똑같이 내실겁니까?? 이런 사건이 일어날수록 국민들은 길거리를 돌아다니는게 점덤 무섭고 두려워질수도 있다는걸 알아야합니다 언제 어디서 당할지 모르는일이니까요, 솜방망이 처벌에.. 가해자는 웃고 피해자는 평생 트라우마를 얻죠.. 물론 모르는 사람을 폭행한것도 살인죄에 해당됬으면 좋겠네요",0
user-cy1bv3dg6n,더도덜도 말고 똑같이만 당해봐도 피해자에 고통을 알수있지 않을까요.국민 혈세로 밥 먹여 살리지말구요.징역이 무슨 소용이겠습니까. 벌써 나갈일만 꾸미고 있으니 .. 참 현실이 답답하네요,0
user-rt5kg3kq1u,자기 잘못도 모르고 피해자가 회복되었다는 점까지 내세우면서 형량이 무겁다고 난리치다니 뻔뻔하다,0
user-lg2ti1ds5s,피해자 한태 미안한 마음 1도 없음 그냥 이순간 반성문 쇼해서 감형받고 또 다른 범죄를 계획하고 있겠지 인스타 글이나 지워라 손발이 오그라 든다,3
user-ry9cc5wu4w,반성문 클라스보소... 어째 저런말을 하지. 나는 전과가많지만 형을 다받았다.? 그러면 형을 다받았으니 재범도 다 이해해달라는말이냐? 재범을 계속 저지르면 형량이 더 올라가야 맞는거지. 형을 받고도 계속 범죄를 저지르니 문제가 있는건데 계속범죄를 저질렀더라도 나는 받을거 다받았다? 뭔 개소리고.,4
kevinmah8904,"절대 사회로 나오면 안될 괴물이네요. 출소하면 내가 가서 참교육 하겠다고 협박하고 싶어집니다~!!ㅎㅎ 그리고 강간범이고 살인미수인데 왜 얼굴을 자꾸만 가려주나요? 이해 불가합니다~!! 만약에 저 괴물이 탈옥하거나 출소해서 피해자에게 보복을 하게된다면, 판사도, 검찰도, 경찰도 공범인겁니다.",1
user-wb2ig5nr6p,얼마나 대한민국 판사들이 우습게 판결했으면 ...돌려차기남이 저런식으로 반성문을 쓰냐 어휴 개판사들아 진짜 AI로 대체되야될 직업1위가 판사라는게 맞긴만군,1
user-dr2eq1yr8m,국개의원들 월급 일부씩만 떼서 피해자 개인 경호원 붙여줘라. 대한민국 국민으로서 저런 위협적인 상황에 보호 받을 권리가 있으며 나랏일 하는 니들의 의무이기도 하다. 형량을 개같이 내리도록 법을 만들었다면 그에 따른 피해자 보호로 경호원 붙여줘라. 국민은 지켜볼거다. 일 똑바로 해라. 세금 꽁으로 먹지말고. 즈리고 저놈은 반성의 기미없이 자신의 억울함만 호소하는 뻔뻔하고 괘씸한 죄로 항소하거나 저런 불평할 때마다 형량을 10년씩 늘었으면 좋겠다!!,1
user-ji1hj9wx8z,판사들 읽어보지도 않고 반성했네 32년구형이니까 20년 땅땅땅,3
user-ig7zh8ju7x,100% 피해자라서 편들어주는게 맞습니다 그게아니라면 절대 말 들어주질 않습니다. 그래서 한말인듯. 가해자는 형량이 더 많아도 할말없는놈이긴함 근데 진짜 웃긴건 다른 같은 범죄에선 저렇게 형량 안나옴 그게 우리나라의 ㅈ같은 현실임,0
uus5526,"더 큰 권력인 판사에게 반성한다는 건, 반성이 아니라 강자에게 숙이고 들어가는거 아닌가요? 피해자 입장에서 고려해야 하는 판사가, 본인 입장에서 멋대로 재단하고 용서해주는 것도 문제인듯 싶네요.",2
user-md5vl7by5l,때린이유와 강간미수를 한 이유가 뭐냐?저여자가 무슨 죄를 지어서 너한테 맞고 강간미수까지 한거냐 무기징역 받기를 바란다,1
user-jc9st9cu7x,그러니까 판사들이 문제라니까 ㅈ대로 감형해주고 전과18범이 저런 개소리를 할수 있다는게 놀랍다,0
user-iq3jc2sk5e,내가 봐도 이건 적정한 형량이 아니다 20년이 아니라 200년은 받아야지,1
user-sl9ii4oy9j,그간 얼마나 형벌이 가벼웠으면 저 ㅈㄹ 할까 전과 18점이 저리 미쳐 날뛰는게 형량 낮게 주는 판사들이 문제다,0
user-sb4df2gs3q,"반성문 자체를 없애야 됨, 당사자들끼리 합의한 내용만 참작을 해야지 피해자가 원한 적도 없는 반성문을 왜 판사나 읽고 감형해주냐? 변호사, 검사, 판사 마피아들이 형량 낮추려는 쓰는 꼼수지",1
cloud-kr,전과만 봐도 검사가 가만히두는지 모르겠네.저정도면 흉악범인데 30년때려라,0
user-qz9dm1pm3u,반성문이라기 보단 법원의 고무줄 형량에 대한 항의 질의서 아닐까,1
SeeYoungKim,판사들 한창 혈기 왕성하고 사회적 교류 정서적 교감할 시기 그런결 못채우고 지나가버려서 변태도 많고 정서적 교감력이 많이 부족한듯 !! 항상 시민들과 공감대가 안생기네 논리적 사고가 우선인건가?,0
jnk6346,우리나라의 살인과 살인 미수에대한 형량이 너무 약하다고 생각 합니다.,0
user-kj9kt8cw6z,반성문 제도를 없애라. 존경하는 재판장님? 18범이니까 반성문 한 200장 썼겠네,4
jungdon8263,왜 나만?? 그동안 정신나간 판사들이 시장판 장사치 처럼 깍아줘서 그렇지 .... 죄진놈이 그냥 재수없다 생각해라.,1
user-cu3pm3jr8u,적은 형량 이라 추가 항소 가야 합니다..,0
user-rq8dw5hk3i,사과나 반성문은 피해자한테하고 받아주고 안받아주는건 피해자지~ 왜 판사닝께 반성문을 씁니까? 좀이상하죠..... 피해자가 받아주지도 않았는데 왜 법원에서 감형을 해줍니까? 어처구니 없는 상황이다,0
jjlettucs8119,반성문은 처딩이나 쓰는거지 성인이면 지가 한 행동에 지가 책임져야는거야 판사야 반성문따위 참작하지마,2
user-jm7rv7do9f,이게 20년이면 범죄자들은 앞으론 걍 살인하는게 더 이득일 듯. 형량의 상향평준화 이게 절대 좋은게 아니여.,0
routine21,판결문에서 가중요소에 왜 반성없음이 있는지 알겠다.. 법률상 처단형이 10년~50년인데 고작 20년받았는데 무겁다고?ㅋㅋㅋㅋㅋ판사가 겁나 가볍게준건데,0
kwanwonChoi,"재판장이 반성문을 봤다면, 그리고 조금만 똑똑하다면 저 인간은 무기징역이다. 글에 내포된 의미를 모르는 건가? 형 살고 나오면 범죄 사실이 리셋되니까 또 해도 형량이 낮아야 한다잖소. 반성문을 저딴식으로 썼는데 형량을 낮춘 거 보면 지인이 도와줬을 거 같다. 잠재적 살인자란 저런 인간을 두고 하는 말임.",1
user-oz6hd4nn9i,저게 우리같은 사람들은 열불 터지지만 판사들한테는 통하는 반성문임 저거 반성문 이기영이가 쓴거같음? 저거 판사용 반성문 대필하는 인간이 전문적으로 써준거에요 현실적으로 사회적으로 이슈 안됐으면 20년 절대 안 나왔음,1
user-gb3zk1fk8z,물론 이사건도 경악스럽지만 지금까지생각해보면 말도안되는 죄를저지르고 마찬가지로 말도안되는 형량을 받고 삼시세끼 밥잘먹고 사는 사람(?)들이 많이 있는데 우리나라는 언제까지 죄저지른사람들이 잘사는 나라가되어야할까여? 피해입은 사람들은 매일 고통인데 왜 매번 이런 일들이 반복되는건가여? 정말바뀔수가없는건가여? 제가 지금 저 피해자분이면 당장 이딴나라 이민가고싶을심정일것같아여 한해한해 참 무서워지는 나라가되는듯하네여...,0
user-hi1ds3vb4p,형량두 어의가 없는데반성문하나에 또감형한다면 판사옷 벗어야 할듯,0
brianwoonkjung846,우리나라는 왜 범죄자한테 반성문을 받고 형을 감해 주는지 모르겠다. 미친 악마의 논리다. 판검사가 뇌물 받았는데 형을 감해 주려는데 명분이 반성문을 받는것 같다. 반성문 제도 없애라! 한국의 판검사들은 쓰레기보다 못하다.,0
garnet7739,쟨 누범이란 것도 모르나. 발로 머리 걷어차서 기절시키고 머리를 발로 밟은건 살인 의도가 다분한거임. 피해자가 소생해서 다행인거지. 대부분은 걍 그 자리에서 죽거나 식물인간됨. 형량이 높은 게 문제가 아니라 걍 대다수 재소자들 형량이 낮고 인권이 높은게 문제지.,0
mytubemusic5384,만약에 피해자 사망했으면 넌 무기징역이다,0
