작성자,내용,추천수
galaxystar1865,검찰구형 35년을 20년 바겐세일 해준 판사 아주~ 훌륭합니다!!! 이걸 보는 누군가의 가족은 또 당할거다!!! 이렇게 어리석은것이 인간이다!!! 전과 18범이라............................ ㅎㅎㅎㅎㅎㅎㅎㅎㅎ,81
super-normal,전과3범초과시 무조건 무기징역 전과10범 초과시 사형 이런식으로 법 하나 만들어주세요,29
windlimpid6942,피해자분 국민들이 이렇게 지켜보고 있습니다. 법이 내릴 수 있는 최대형 내에서 판결이 나오겠지요? 판사가 제대로 된 '인간들'이라면 말입니다,8
user-zx4wx5ct2s,판결이 왜 그모양인가? 항상 가해자를 키워주는 판결을 한다.,11
user-lv1fs6yn3z,거짓 반성문과 거짓 진술로 판사를 감쪽같이 속여서 1심에서 무려 8년을 감형받은 희대의 싸이코패스임!!! 또한 출소후 보복하겠다고 주문을 외우는 놈임!!! 반드시 사형시켜서 보복을 막아야 함!!!,46
TedMeta,판사도 언론에 공개해라... 누군지 알지만 진짜 얼굴 보고 싶다. 사람탈을 쓴 악마이거나 짐승이거나,22
user-si5vt9ke9h,젊고 치밀하며 기억력도 좋은 싸이코패스가 많이 무서웠나보다 판사분들이 감형은 언제나 최선을 다해서 챙겨주네,1
user-qx7wh3bk1g,출소하면 재판해준 판사들 집 안방으로 들어가서 그 집 온 가족 모아놓고 절하고 나와라,7
user-ph8tc2jx2r,저 여성분은 잘못도 없으신데 이현우가 무시기인가 나타나서 힘들게 하네요 20년이라니 말이 안되네요 사형 안되면 무기 징역살게 변경햇으면 좋겠네요!,28
tiger4102,"물고기가 없으면 낚시꾼이 심심하고, 잘 속는 사람이 없으면 사기꾼들이 심심하고, 범죄자가 없으면 판사들이 심심하므로 범죄자에게 감사하는 마음으로 형량을 작게한다. 이상, 한국의 사법 시스템 이었습니다! ㅋㅋㅋ",5
user-xf9dj7xv8r,판사 얼굴 공개해라. 자기 판결이 맞다고 생각하면,17
