작성자,내용,추천수
user-id6mf8ft6d,"인터뷰도 당당히 하시던 분이 말도 안 되는 판결에 무너지는 모습이 너무 마음 아프네요 탄원서, 진정서,피해자의 엄벌 촉구까지 대체 무얼 더 해야 국민이 안전할 수 있을까요? 안타깝습니다",3.4천
mus9656,판사님 오늘밤 당신을 위해 기도하겠습니다. 꼭 당신에게도 같은 고통이 오길..,1.7천
user-ll8mj1cc7r,우리나라 판사들 반성좀하세요 가족이 당해도20년선고할겁니까 저런인간은 50십년은 감옥에서 썩혀야됩니다 판사들 반성하세요 피해자분 힘내세요 응원합니다,497
user-yb6vk1dv2t,18범에 강간에 폭행에 반성도 없이 보복하겠다는 말만 반복하고 분노표출하고 형량 줄여달라고만 하는 애를 어떻게든 출소시키려는게 참~~대단합니다 ~ !!!묻지도 따지지도 말고 무기징역 때리는게 당연한것을,200
user-nj6oj2gz8f,"검사가 35년을 구형했고, 전과 18범에 출소 후 복수를 입에 달고 다니는 인간은데 어떻게 20년이 나온건지 참담하네요",2천
user-il7zs8hj9k,"저 피해자가 대단한거다, 용기가 대단하고, 나라가 판사가 못하면 이제는 국민들이 도와줘야하나, 끝까지 국민들이 함께하도록 도와줘야합니다.....극단적인 이슈가 되어 충분히 반영한 판결이 저 정도니 ....",9.2천
user-wy1dv1zk4n,판사야 니 딸래미가 저런 상황이어도 20년 구형할래? ㅉㅉㅉ,122
surfer2988,법이 국민을 보호하지 못하고 범법자를 보호하는 도구로 기능하는 현실이 참으로 안타깝습니다. 판사들을 무슨 생각으로 이런 판결을 내리는건가요? 이래서 국민들은 법관들을 믿지 못합니다. 양형 기준이 문제라면 하루빨리 바꿔야합니다.,715
hse4401,죽으라는 얘기랑 똑같은데 차라리 살지 말걸 그랬다는 소리가 피해자 입에서 나오는게 말이되냐진짜.. 얼마나 남은 인생이 힘들고 두렵겠냐고.. 판사들아 눈은 보라고 있는거고 귀는 들으라고 있는거고 니들 그 자리는 이런 사람들 만들지 말라고 있는거다 진짜 쪽팔리네 대한민국 사법부,406
Anne-jian,국민이 도와줄 수 있는 방법은 없나요 너무 안타깝네요 판사도 똑같은 고통받길..,12
user-iw2ox8xf2z,대단하십니다 대한민국 판사 여러분 꼭 본인가족분들도 똑같은 일 당하셨으면 합니다,218
user-pz4sv9jw8p,우리나라 판사나 법원 관계자분들 가족이 꼭 이런 범죄 당하시길 바랍니다,5
user-em6gj8kw8l,해당 판사 자식들도 똑같이 당해서 20년 판결 받도록 기도하겠습니다,206
user-qf5fu2oe4x,부디 우리나라의 말도 안되는 판결을 내린 판사들이 똑같은 범죄를 본인과 본인가족들이 당해서 본인들이 내린 판결보다 더 약한 처벌을 받는 범죄자들의 행복을 지켜보길 바랍니다. 부디 피눈물 쏟으며 평생 후회하고 죄책감에 살길 바랍니다.,70
whojang2000,저런 식으로 지맘대로 형량을 15 년씩 깎아준 판새 가족들도 반드시 똑같은 일을 당하기를 주예수 그리스도의 이름으로 기도합니다 아멘,3.3천
yupro_,정말 마음이 아프네요ㅠㅠ cctv 보면 피해자분이 살아계시다는 것은 기적이라고밖에 할 수 없습니다. 아...정말 두 번 죽이는 판결이네요 ㅠㅠ 이 판결이 끝은 아니겠지요? 끝까지 포기하지 않으셨으면 좋겠습니다!!,85
YUJA_0619,저런 전과자한테 주는 형량이 고작20년이라뇨..정말 이해가 안되네요 이정도면 피해자로 살바엔 가해자로 살아야될 것 같다는 생각도 드네요 같은 여자로써 가슴이 아픕니다..어떠한말로도 위로가 안되실정도로 충격과공포로 가득하실텐데 조심스럽게 힘내시라는 말씀 드리고 싶습니다,0
user-wo5sf9ch5d,아...제발좀 부탁한다 20년이 말이 안되자나..너네들 딸이 저런 상황에 놓여도 이런씩으로 할꺼냐..?제발정신좀 차리고 무기징역 때려라..눈물나서 도저히 못보겠다.너네가 사람이라면 무기징혁 때려라 부탁한다..,2
user-ye2kv6ic2u,"판사님 따님,어머님 꼭 똑같은일 당하시길 바랍니다",126
starryjung2269,피해자가 아닌 가해자를 위한 판결을 내린 판사 신상공개해라.,3.9천
user-yc9sn6hu4y,재판이 다시 해야합니다 무기징역으로 해야 합니다,27
floraha3,그냥 살지 말걸 그랬다는 말에 너무 공감되고 마음이 아프네요. 법이 이따위밖에 안되냐고! 검사가 35년형 구형했고 판사는 15년 감형했고. 돈 주고 미국 교도소에 보내세요. 차라리.,33
Rack650,하루빨리 판검사 가족이 피해자가 되길 바랍니다. 그래야 형량도 올라가고 엄격해지거든요.,71
doyulee98,아 그냥 살지 말걸 그랬습니다 하는데 심장 찢어진다 판사 검사 18샊이들아 니네 자식이라고 생각해봐 저 피해자는 이제 출소일 다가오는 불안함에 떨면서 앞으로 겨우 살아가야 하는데 욕나온다 진짜,134
user-gj3qy7rc4r,상식적으로 납득이 안되는 판결을 한 판사들에게는 반드시 책임을 물을 수 있는 제도를 마련해야 한다,27
user-on4bd2kz5i,진짜 너무 너무 화나네요. 피해자분이 어떤 용기를 낸건데 판사들은 저따위 형량이라니..암담하고 답답합니다.,278
user-lx6gj7sq5n,저렇게 판결내려주신 판사님....정말 대단 하십니다....,17
user-ej3lx3gl2f,짐승만도 못한 놈한테 20년이 말이 되냐 피해자는 두려움에 벌벌 떨어살아야하냐 판사놈은 무슨 저따구로 주고 난리야,8
egozgo_7961,"정말…판결을… 20년이 물론 보통 사람에게는 길고 큰 형량일 수 있지만,, 저런 일말의 죄책감도 못갖는 생물한테… 인간의 범주는 어디까지인가요? 재판에 나가는 것도 정신적으로 고통이 크실 피해자분께 위로와 실질적 도움이 될 수 있는 방안이마련됐음 좋겠네요.. 그리고 20년이든 100년이든 살고 나올 때 그때의 기술과 시민의식을 믿습니다. 몸은 사회에 나와 있지만 결코 자유라는 감정을 다시는 느끼지 못하고 생을 마감하길 바래봅니다.",18
user-og2sh8cr7m,도대체 사법부는 무슨 생각으로 이런 쓰레기를 사회에 내보낼 생각을 하는건지 도무지 이해를 할 수가 없다 피해자가 저렇게 울면서 도와달라고 하는데 사법부는 왜 더 강하게 판결을 내리지 않는건지 참담하다,282
user-rt6tn3ym5g,판사님 딸이나 마누라가 꼭 이런일 당하길 비나이다,31
user-hl2xq9gl3l,판사가 누구인지 궁금해지네요. 피해자 분 인터뷰를 보니 마음이 너무 아픕니다.,6
