작성자,내용,추천수
soojinpark7286,씩씩하던 피해자분이 우시는 거 보니 가슴이 아프네요 ㅠㅠㅠㅠ 전국민이 보고 있는데도 15년이나 감형을 받다니 …,2.6천
user-dc7dc3cw6b,심지어 온국민이 관심을 갖는 사건임에도 이런 판결이 나오다니... 아... 제발 피해자가 회복하여 행복하게 살수 있도록 해주세요. 이 판결을 보니 한번 피해자는 영원히 피해자로써 살라는 것인가.. 싶네요..,3.8천
user-np2sz9lo1l,존경하는 판사님의 얼굴과 이름을 널리널리 알려야 합니다.,1.6천
moveb2714,판사는 왜 감형해주냐? 검찰이 35년구형했는데 당신가족이 당했어도 그따위판결내릴래?,427
user-ti5uk2wj3o,부산고법 형사 2-1부 최환 부장판사님 정말 존경합니다. 본인 따님이 있으시다면 따님이 똑같은 일 당하셨을 때도 꼭 똑같은 판결 내리셔서 대한민국이 정의로운 법치 국가임을 꼭 모두에게 보여주세요.,788
user-ez9ky2wm6t,판사님도 꼭 똑같은 고통 받으시기를 기원합니다.,227
x_x_x_x_x_,피해자분 힘내세요.. 구치소 동기가 저렇게 말하는데도 판사들은 제정신이 아니네요..,227
user-bb3yd8nw3i,재판장님 보고계십니까? 본인 따님이 저렇게 많은 카메라 앞에서 눈물을 호소하면서 공포에 떨어도 똑같이 20년을 내리실겁니까? 진짜 대단하시네요 청와대 청원 올리러 갑시다 여러분,8.5천
user-yw6cu1mu5b,판사의 소중한 사람이 당해도 똑같은 판결 내리고 안심하고 다행스러운 마음 꼭 갖길 바란다.,20
jaypark971,판사님 가족에게도 꼭 같은일벌어지길 기도할께요,176
user-ce2ep1im2o,존경하는 판사님에게 당신의 모든 가족들에게 똑같은 일이 일어나길 기도합니다...아멘...,3.5천
nashiray1563,"이건 판사가 모든 책임을 져야한다. 만약 출소후 저분이 보복범죄를 당하거나, 깍인 형량인 15년간 단 한건의 범죄라도 발생하는 순간, 그 죄는 판사가 지고가라!!! 너의 판결의 무게를 오롯이 너가 지기를...",204
user-xe5fi5oz6q,피해자는 안중에도 없고 가해자가 반성문 제출했으니 감형? 이딴 말도 안되는 법이 어딨나 반성문이야 그냥 끄적하면 되지 실제로 반성하는사람이 어딨냐고 대놓고 보복하갰다는 ㅁㅊㄴ 을 세상에 풀어 놓나? 무슨일이 있어도 세상에 못나오게 해야한다. 저런놈에게 인권? 저딴건 인권도 필요 없다. 가석방없는 무기징역을 구형해야한다.,6
user-qu7yt5tp7d,제발 저 판사 가족에게 똑같은 일이 일어나길 제발 저 판사 가족에게 똑같은 일이 일어나길 제발 저 판사 가족에게 똑같은 일이 일어나길 제발 저 판사 가족에게 똑같은 일이 일어나길 제발 저 판사 가족에게 똑같은 일이 일어나길,1천
user-db9si4pw7f,피해자님 정말 여러 방면으로 감사드려요.. 약해지지 않아줘서 감사하고 떳떳하게 나와주셔서 감사해요 이걸 계기로 좀 법이 바뀌면 좋겠습니다.. 성범죄뿐 아니라 모든 범죄에 대해 형량을 증가시키는 쪽으로요,196
user-yt5pc5sp6m,전과18범에게도 이런 선처를 베푸는 재판부 대단하다. 당신 가족이 이런일을 겪어도 같은 판결을 할까요? 피해자보다 가해자에 관대한... 전과가 많아도 차별없이 대해주는 재판부. 대단하다 진짜,4
user-bo7rx7mi5d,꼭 똑같은 일이 판사님 가족에게도 일어나시길 바라겠습니다.,181
jungeunpark6614,대법원까지 가서 꼭 무기징역 받고 사회에서 영원히 격리되기를 진심으로 기도합니다,2.3천
jaeyounglee3150,판사님 그 많은 문서들 골무가 닳도록 몇번이고 읽으셨을 것이고 사람인지라 심적으로 많이 힘드실 것 입니다. 중요한 것은 회생 가능성이 없음에도 불구하고 사회에 다시 돌려보내야 하는 그 기준이 참으로 암담합니다 부디 이나라 최고의 지성인으로서 법전보다 이 사회가 보다 밝아 질수 있도록 판결 부탁 드립니다.,137
asdf778,판사님 자식이 꼭 저런 일 당하길 간절히 기도할게요,12
user-jo9uy9ur7d,국민이 판사가 되어야 합니다 힘없는 사람은 이사회를 살아갈수 가없다 국민 모두가 청원 해야됩니다,366
user-xz3cp2pd2r,저런쓰레기 하나때매 평범하게 살던사람이 뭐때문에 피해를봐야하는걸까 피해자분은 보이는게다가아니라 평소하던 일상생활까지 못하고 심적으로도 엄청 스트레스도많고 힘들텐데..대법원 판결까지 힘내십쇼,3
user-mq4wn4pw8o,감형과 관계된 모든 분들 꼭 똑같은 일이 본인들의 자식들에게도 벌어지길 간절히 기도해요,117
user-zq4mo4fg7h,피해자가 용서안하는데 왜 판사들이 용서처해서 18범한테 에휴 판사 손녀도 똑같이 당했음 좋겠다,18
user-qb1wv4sg1p,"피해자를 위한 법의 정의를 보여라! ""왜 피해자가 더욱 불안에 떨어야하는가!"" 반드시 가해자에 대한 80년이상 형량을 높여라! 국민이 지켜보고있다.",4.6천
taeheekwun6439,정의로운 판결을 내린 판사의 신상을 공개하라. 이런 멋진 판결을 내린 판사님의 신상을 알고싶습니다. 만 국민이 알아야하는 판사님이십니다.,260
user-ve1jl6yy4i,피해자분의 말한마디 한마디가 가슴속에 박힙니다. 상고에서는 부디 피해자님이 부디 이세상을 살아갈수있는 힘을 주시는 판사님의 현명한판단을 기다리겠습니다.,56
user-wr5sy9vh5f,1.판사는 피해자에게 20년 시한부인생을 선고 2.판사는 피해자에게 20년동안 온전한삶을 못살게 만들고 공포에 살아가는 인생을 부여 3.판사는 인간의 존엄성등에 대한 존중과 보호보다 본인의 실리를 챙김,1.5천
user-yn7vo8bq6u,전과18범을 사회에서 영구격리시키지 않는 법이 말이 안됩니다.. 감형사유로 판결한 판사는 정말 할말이 없네요..,34
user-vq7gd6nj5c,판결내린 판사 꼭 제발 되돌려받길 기도할께요. 꼭!,3
lionssamsung2681,"검찰 항소하세요. 가석방없는 무기징역형 협박죄까지 추가로 하고, 반성기미 없는데 사회로부터 격리시켜야 합니다. 사법부는 피해자 마음 편안히 살수 있게 대응책을 마련해 주시기 바랍니다.",2.6천
BLUEjeans0130,재판장 딸이나 재판장 아내 또는 엄마 되시는 분이 꼭 꼭 똑같이 이런 일을 당하셨으면 합니다. 제발 제발,58
nain9258,검찰과 법원의 끝없는 추격전...벌주려는 검찰. 어떻게든 형량깍아줄려는 법원...법죄자들을 위한 양형서비스에 가슴이 웅장해진다...,39
user-em5oj1jb8z,제발 판사님 자녀도 똑같은일 똑같이 겪기를 바랍니다,75
user-dz2ht9vo8m,인간과 짐승을 구분할 줄 모르는 판사놈들은 해고 처분이 답 이다.,1
kmakk7457,감형사유가 있고 심지어 받아들여졌다는게 너무 기가막힙니다...,26
user-uy1wj7ex1o,피해자가 사는게 사는 걸까요.... 왜 이런 말도 안되는 판결을 내리는 건지....이 땅에 계속 살아야할지가 진짜 의문이네요... 흉악범은 늘어나고 법은 여전히 관대하고...운 없으면 저렇게 피해자만 고통으로 살거나 죽게되는..그 어떤 것으로도 보호받지 못하는 것은 나라가 아닌 나락입니다..,0
user-zb2bp2fq5s,마음이 너무 아프다 ㅠㅠ... 35년에서 늘어나지는 못할망정 ... 대단하다 판사도,24
user-lk1zn6po3f,"판사님 이건 아닙니다 정말 아닙니다. 제발 피해자분 생각해서라도, 피해자분이 맘편히 인생을 살수있도록 형량을 충분히 늘려주시길 바랍니다",1천
