작성자,내용,추천수
user-bg3tv3mx5p,아니 자기가 저지른 범행을 부산서면 강간 폭행 사건으로 검색한게 스스로 강간을 인정한거 아닌가? 이걸 12년 판결하신 판사님들 대단들 하시네.,1.4천
user-zm8hi2vi7h,만취 상태면 프로파이터도 저렇게 정확하게 헤드킥 못날리겠다 그리고 팬티 내려놓고 왜 깨울려고 뺨을 때리냐? 어디서 말도 안되는 개구라를 쳐대냐 욕나온다 그리고 피해자는 장애까지 얻었는데 겨우 징역 13년 이라니 이게 말이되냐?,657
onlyone4028,판사들은 대체 판결을 어떤기준으로 하는건지?? 배심원들로 판결했으면 좋겠네요.. 징역 12년이라니 저걸 공감하는 국민이 대체 얼마나 되는지 궁금하네요. 판사는 1년에 한번씩 그들이 판결한 내역을 국민에게 공개해서 투표로 다시 임명할수 있었으면 합니다.,156
user-cl9un2xw5h,항소를 제기 했다는 건 반성의 기미가 없다는 것....가중처벌 해주세요 판사님 동기와 폭행이 너무 잔인하고 재발 가능성이 너무 높아요 미래의 살인의 피해자가 나올 수도 잇는 상황,95
able0073,피가 거꾸로 치솟는 기분입니다. 반드시 재판부에서는 항소심에서 무기징역을 선고해주길 바랍니다,29
user-wy3ko5lr9s,이사건은 분명히 재심 이루어져야합니다. 왜 판사가 반성문받고 형을 감해주나요? 판사가 죽을뻔했나요? 개나소나 써대는 반성문 그게 뭐라고 형같잖은 형을 내리는지? 정작 피해자에겐 미안하단 말한마디 안하는 가해자인데,103
user-rz5ml3yn9x,이건 사형감이지 진짜. 판사 너무한거아니냐?,433
zxcl0316,피해자만 억울한 나라 대한민국 언제까지두려움에 떨며 살아야합니까. 판사님의 딸이라도 이렇게 형량 때릴까요? 대한민국에서 어느여성이 이 판결을보고 맞는처사라고 볼수있을까요??,47
user-rf5zp2dy5b,아 눈물이 다난다. 피해자 원통해서 어떡하냐.피해자가 너무너무 불쌍하다. 분노가 치민다. 이런 류의 사건들은 판결 전에 언론에서 계속해서 크게 다루고 국회의원들도 심도있게 사안을 다뤄서 양형을 법적으로 늘릴 수 있도록 제발 좀 진지하게 검토해줬음 좋겠다. 이런 류의 사건들이 비일비재하게 일어나는 요즘 이젠 정말 바뀔 때가 됐다. 언제까지 죄없는 사람들이 사악한 사람들과 부조리한 제도 속에서 자신들의 삶을 희생해야 하는가.,11
doyeon0422,와진짜 너무 서글퍼서 눈물이 나요.. 어떻게 저런 악마같은 쓰레기한테 12년이라는 형벌이 주어지죠? 무기징역도 모자랄 판에… 출소한 지 3개월만에 또 살인을 저지를 뻔했는데 대체 판사님은 어떻게 형량을 그렇게 주실 수 있나요..12년 뒤에 저 사람이 저질러서 또 다른 피해자가 나오면 그땐 어떡하실건가요….. 대한민국 현실이 너무 뭣같습니다 진짜….,4
yuinduck8951,저걸 보고 술취해서 정신이 없었다는 피고말을 적용했다면 ***************판사부터 정신감정을 받아야 됨.,9
user-nu4sw8pg5q,부산지법 제6형사부 김태형 부장판사 유주현.주재오 !!! 김태형 부장판사님 정말 너무하시는거 아닙니까 범인이 두려우신겁니까 이렇게 말도안되는 판결을하면 시민들은 로비라도 있었던게 아닐까 생각합니다 12년이라니요,16
kalmaengho4375,"대한민국 경호업체는 인성은 보지않고, 그저 싸움만 잘하면 채용하나보내요. 저런 사람은 12년도 짧다고 봅니다. 신상공개하고 형량이 더 늘어나길~~~ 대한민국 국민으로써 제가내는 세금이 아깝네요. 감옥가면 제 세금으로 사는것 아닌가요. 피해 여성분 빠른 쾌유를 빕니다~~~",8
moomin5657,영상은 지금 처음 공개된것 같은데 편집본만봐도 소름이 끼치는데 이걸보고도 살인미수가 아니라 중상해죄로 판결내리려한거에요??진짜 대한민국 법은 가해자를 위해 존재하는건지 착하게 살면 바보만드네요ㅋㅋㅋㅋㅋ정말 화나고 소름끼칩니다 법 처벌강도 좀 높이세요 제발,180
user-zm8fe3rg2i,와... 너무 어이가없고 화가나서 온몸이 부들부들됨... 저거는 그냥 무기징역 시키는것보다 똑같이... 아니 그 몇배로 더 고통을 주고 무기징역 시켜야하는거아님???,39
jiyounpark3701,판사님들 신상공개해주세요. 어디 무서워서 살겠어요,15
user-pd5jo1kn1z,영상보고 제일 처음으로 드는 생각은 판사가 제일 나쁜 놈이란 생각. 사형 시켜도 모자를 범죄자의 범행을 일정 부분 묵인하니. 묵인은 동조와 동의어라고 해도 과언은 아니잖은가! 그러니 판사가 제일 나쁜 놈이지. 벌 내릴 권세가 있으면서 오히려 그 권세로 범인을 암묵적인 옹호 판결을 내렸으니.,11
regvman,이건 진짜 계획적 범죄이자 명백한 성폭행이 목적인 살인미수다 무기징역 때려라!!!!!,5
user-jx9el2bi8m,"시범케이스로 중 벌을 내려 다시는 저런일이생기지않았음 합니다 무기징역,사형 주심이,,,,",30
keithoh7323,목적이 없으면 CCTV밖으로 나갈리가 있을까요? 12년 뒤 그놈 나이 40대래요. 묻지마로 또 누군가 당한다면...ㅠㅠ 너무 끔찍하네요. 판사님 재발 판사님들 자녀라고 생각해주세요. 판사님 당사자가 피해자라고 생각해주세요.,6
ginakim9887,처음 댓글 달아봅니다 너무 화가나서.... 제발 피해자 입장에서 판결내려주셨으면 피해자가 조끔 이라도 위로가 될까요 판사님들은 그런 생각 왜 안할까요 미국에서는 형이 사건마다 더해서 형을내리는데 한국은 가해자 나라?,41
ghost-uq1vf,제발 법 좀 강화해주세요..언제까지 이대로 피해자들을 지켜봐야 합니까? 무서워서 너무 살기 힘듭니다..법이 너무 약해요..판사 딸이 당해봐야 함..,1
user-oi9jt7ph8b,판사도 이정도면 갈아엎어야하는거 아닌가,4
user-pl4yx6sd3x,사법개혁으로 판사들 재판부조리를 감시 제한할수 있도록 해야한다.,9
user-lx8hc9xt5t,"강력범죄에 대한 형량기준이 너무 낮다는걸 다시 느끼네요.. 천편일률적 형벌을 줄 순 없는 일이지만, 이런 사건을 보면 더 엄한 처벌을 줄 수 있는 법 체제가 되었으면 좋겠어요..",0
user-vx5qf1hf2l,판사가 저렇게 맞아봐야 판결을 제대로하지 않을까 싶네요 저렇게 맞고 목 뼈가 부러지지 않았다는게 천만다행이지 사람이 죽어야 살인인가 저건 살인에 준한 판결만이 답이네요,3
hawkeye1961,"바지 치켜올리면서 나가고, 사람을 저렇게 죽일것 같은데 그것도 무차별적으로 여자를....저런넘이 12년이라고?? 판사 딸내미면 12년 선고 하겠냐? 일반 국민들의 정서와 동떨어진 판사, 검사 제발 정신좀 차리고 살자, 저런 넘들은 사회와 영구히 격리가 답이다.",3
Rdoo1029,"12년이 말이되냐!? 대한민국 적가튼 법원!!! ""법원""이란 이름을.. ""범죄자 양성교육센터""라 지어라!! 니들이 쳐 맞아도 적같이 판결 내겠냐!? 어찌 하나를 모르는데.. 둘을 하려고하냐!!!",14
user-nt8kr5tc3j,무기징역도 시원찮다 한국은 왜 가해자를 보호하고 얼굴공개하지않나 법이 왜 피해자보다 가해자의 인권만 신경써는지 이해할수없다,3
asdx88,2번 복역하고 출소하자마자 사람을 죽이려고 하고 피해자에게 평생 장애가 남게하고 피해회복 노력도 안한 놈을 겨우 징역 12년...,70
user-mn6vr9xk7h,대한민국 판사들은 판사가 아닙니다.,96
mae-tm1me,저런것들 사회에 영원히 나오지 못하게 감옥에 가둬주세요 또 기어나와 또 다른 피해자가 나오기 전에요 판결 좀 제대로 해요 젠장!!,1
kiki8168,납득하기 어려운 판결 정말 내 속이 뒤집힌다..,2
tan2god,부디 억울하다고 낸 항소심에서 징역 48년형으로 가중처벌 되길 기원합니다.,1
user-fd9rt1mc8s,판사들 진짜..늙어서그러냐? 우리가 니들 판사 빨리 뒈지기만 기다려야하냐? 판사야~~니 딸이 저렇게 당할수있어..알겠어? ..,4
user-xl1vx3yb2n,성폭행도 추가해야지 속옷까지 내려갔는데 어떻게 성폭행이 아니야 석폭행 했는지 안했는지 모른다 하더라도 성폭행의 의도를 가지고 속옷을 내린건데 그런 의도를 왜 재판에 적용 안하나? 맨날 살인에 의도 타령하더니 이건 의도 타령 안하네? 12년형이 뭐냐? 더 가중처버해야지 성폭행을 부인하고 있는데도 오히려 감형하는 미친 재판부,12
user-mw5im9ml4s,혹시 더 큰 다른 범행을 감추기 위한 범행이 아니었을까? 그리고 어떤 판사의 가족 중 하나가 범죄의 표적이 됐다거나 희생양이 된다면 범인을 응원 할 사람도 많을듯.,5
user-xe3ow3cd2e,제발 인간같지도 않은 의원 나부랭이들과 판사놈들 자식들좀 저렇게 당했으면 좋겠네요 어떤 판결을 내릴지 참 궁금합니다.,2
studyppak9640,"무섭다 진심으로.. 전직 경호업체 직원이면 피지컬도 좋고 싸움도 역시 잘할거같은데.. 아무런 위협 신호도 감지하지 못한 무방비상태의 여성을 뒤에서 각잡고 풀스윙으로 머리를 차 쓰러지게하고 소극적인 방어를 하는 피해자의 다시 또 머리를 발로 차다니..그리고 이후 성추행 및 성폭행. 그리고 금품갈취. 이건.. 정말 악마도 혀를 내두르겠다. 부디 30년 이상의 징역, 무기징역에 처해주세요.",3
user-bn2ht9te5k,딱 봐도 강간+폭행+계획적 범행인데 징역 12년은 판사 자신도 강간범이니까 똑같은 범죄자니까. 아니 미래의 범죄자니까 부디 판사 자식들 친척들 가족들 친구들 지인들 모두 강간당하길 기도할게,5
user-pj3fp7yt1i,사형 시켜도 못자란 쓰레기를 더 미친 판사놈때문에~ 피해자만 불쌍하네ㅠ 판사놈들 가족도 제발 똑같은 일 당해봐라,1
mayakim7095,판사들은 도대체 무슨 생각으로 집행을 하는지 궁금할때가 많다 뭔 양형 기준도 그리 많은지 피해자는 저리 힘든데,1
Grade007,검사가 무기구형했는데 사법부에서 너그럽게 12년으로 깍아쥼^^,38
user-yi8nq5kj1r,이건 살인미수다 징역살고싶어 안달이네 무기징역이고 20년 밑으로 주면 말이 안된다 청원 꼭 넣으세요,2
bastos_trof,이거봐라ㅋ 징역두번 살고 나왔는데도 저런 잔인한 범죄 저지르잖아 저런 애들은 결국 사람 한명 죽인다 절대 교정안됨 사형시키는게 답이다 불쌍한 사람 죽고 사형 시키지말고 지금 사형시켜라,2
user-tz6zl4vq8b,징역 40년 이상 쳐해야한다,17
user-th6zs1wt4e,"이런놈을. 사형 시키지. 않으면. 누가. 사형 되야지!?판검사놈들이 정신이 있는지,술먹고. 재판 했는지 의심스럽다!",3
patrickson5643,항소심에서 형량 조절이 시급히 필요해보입니다. 징역 12년에서 가성방없는 무기징역으로 조정 부탁 드립니다.,1
user-mv9tj5gh5s,판결 ai로 하자.. 판 검사 거치지 말고,40
user-kw6xp2eb4q,제발 판사들아 정신좀 차려라 음주운전으로 사람을 죽여도 10년 미만 살인 미수는 몇년이나 내릴꺼냐,1
limdoma8840,저런 인간 쓰레기들은 무기징역이 답이고 사형이 답인데 왜 12년 뿐이 안나오냐,1
user-mh1qh8fb5m,살인미수에 범죄자 신상공개 해야합니다. 하이킥차는것도 보니 운동까지 했었던 사람 같은데 이거 완전 악질이네요 사회에서 격리 시켜야 합니다. 이건 무기징역이나 사형감이에요,1
Guyul,저런 판결을 내린 판사도 꼭 똑같이 당했으면 본인이 아니면 지 자식이 당했으면 그래도 12년 주겠지?,1
user-ro8ft3ej4z,최소 무기징역을 주거나 당연히 사형이 상식이다 이나라법은 진짜 아프리카급 법이다ㅡㅡ,11
user-zt8in1od1c,남의인생을 망가트리고 징역12년동안 밥주고 재워주고 운동시켜주고 똥치워주고 젊은나이에 나와서 또 누군가 당해라고??,3
user-lj9iw8ul6n,절대 감옥에서 못나오게 해주세요. 살인 유전자가 있는 사람입니다. 분노 합니다. 판사님 자식이 피해자라 생각해 보세요,0
xbejw7150,출소3개월만에 저질럿다는데 출소하면또범죄할거아냐 무기징역해야지;;,4
h-lx4131,성범죄+살인미수까지 해서 가중처벌 해야 되는거 아니냐? 징역 최소 50년이상 신상공개까지 해야된다,0
donghatv1,살인해도 12년정도인데 폭행으로 관한 것이라 그보다 더 많이 나올 수 없다. 판사탓을 하지말고 법의 형량 기준을 봐라,2
TV-im1ip,판사나 저놈이나 갖ㄷ은 놈덜이다 사회격리가 답인데 왜 저런놈을 12년 때리지 전과도 있던데 답답하다,1
user-gv3fp5zi2y,저게 심신미약이라고??? 진짜 우리나라 판사 개판,0
user-ck2dl2ft5h,150 미터를 미행해서 1초의 망설임도 없이 뒷통수에 날라차기를 했다. 판사는 저런 폭력전과 있는데도 겁도 없이 폭행하고 성범죄 저지른 쓰레기 무기징역 해라.,0
bibibigg,아니 진짜 시벌 왜 재판부는 형량을 12년으로 줄이는거야? 왜?,1
dhll1760,얼굴공개하고 무기징역 해야하는거 아닌가ㅡㅡ 피해자분 얼마나 힘들꺼야,0
user-ng9qg2tv2r,판사 딸들 똑같이 당하길 기도합니다,2
user-gy2zs2ps5t,저놈 100% 강간 했다고본다!! 항소했다니 이참에 형량 더 높여라!!,3
hongjs6267,저런 사람들 출소하면 국회의원 판사 집 앞으로 이사가면 해결 될라나,3
user-zr8tn1fc4x,그놈의 심신미약은 개이름이냐? 조두순때부터 왜이나라는 발전이라는걸 안하냐 술처먹고 사람죽이고 강간하면 오ㅑ무기징역아니냐 진짜 술먹고 법원 불테워버릴까보다 좀 너무화가나서 눈물이나 내가 만약 저렇게당했을때 사람들은 뭐라뭐라 해도 법원에서는 지맘대로 판단하고 살려주겠지 진짜 내가 판사되면 저딴애들 추방시킬거야 딴나라가면 쥐도새도모르게 뒤질테니까,1
user-ez5et6bj7f,저렇게 하고서도 징역12년 받는거 도저히 역겨워서 못봐주곘다.,0
yoonsia9651,이게 12년형 받은거에요? 한국의 솜방망이 법 진짜...돈다 증말.....판사 미쳤구만 이건 사형감 아닌가요? 비싼 변호사사면 되는건가?,1
user-up7cz1wo3q,사형수들 집행해야 하는 이유가 다이런것 때문이다 저런건 무기징역,0
user-xl7ye7hu2t,대한민국 판사들 마음이 너무 약해 범죄자에게 선처는 사치아닌가 전마는 이미 정신못차리고 계속 범죄일으키는 전과자인데 가중처벌내려야지 12년이라 음,1
leeprof.dr.1739,오피스텔 공용현관이 왜 열려있지..? 저거도 문제 중에 하나다 입주민만 들어와야하는데. 심지어 이전에 징역형 받은 인간이 저렇게 .. 천벌받을놈,0
user-gq5kf8ww1e,"혼자 했다기보다 누군가의 명령 또는 사주에 의해서 한것으로 보입니다. 머리만 집중공격하고 기억이 날아가면 좋고 그러다 죽어도 형량을 줄이거나 중간에 빼줄 수 있고, 기억이 안날아가도 사각지대로 옮겨서 약물을 투입해서 기억을 지우라",3
user-vs8ml9cm6j,사건이 나고 받을 형량을 쎄게 해야지 사건이 나기전 예방이랍시고 법 강화 시키는 탁상행정 하면 그럴의도가 전혀없는데 강력하게 처벌되 피해자만 생기는 아이러니 법이 병신이다 이건,0
user-py2gl7vm1w,무기징역.. 땅땅땅. 미친거지..,9
user-xo2uf6xb6t,이미 2차례 징역형.. 이쯤되면 알잖아? 사회에 있어봐야 또 피해자만 생길게 뻔하다는거..?,2
jiminsong7,강력처벌해라 제발 판사들아 너딸이당했다고 생각좀하고!,0
user-rj9dg2cz8s,판사들도 술먹고 판결해라 그리고 술먹고 판결한거라 그리 형량을 많이 때린지 몰랐다라고 말하길,0
user-ij5fs4gc7w,술에 취해기억이 안나 피해자를 기절시키고 납치하듯 들쳐업고 cctv 사각지대로 옮긴 후 피해자의 구두를 가져감 이게 기억못할 정도로 술을 마신사람에 행동이냐? 2심에서 25년 이상 또는 무기징역 나온다,1
user-ws7yo4pp4w,그냥 무기징역ㅜㅜ저런 인간은 또 반복한다. 저거 목부러질뻔 했음 살인미수,2
iiinnn7559,판사도 똑같이 당해봐야 정신차리지 국민들이 백날 판사욕 해봤자 아무것도 안바뀐다. 만약 판사가 저런일 당했다면 그땐 가해자 욕하는사람보다 판사 꼴좋다 + 판결 어떻게 때릴지 궁금하다 이런반응이 대다수일걸?,0
lim-df9se,참 왜 저러는지 납득이 안간다.. 살인미수니깐 그냥 무기징역 받았음 좋겠다,0
user-ep2nx9ho3c,아니 사람 죽일직전까지 간 싸이코패스한테 무기징역을 줘야지 12년주면 걔가 12년뒤에 나와서 또 범죄 안 저지른다는 법 있냐,1
mskim2405,무기징역 해야한다. 피해여자에게는 평생 아품을 주었다 치료가 평생 되지 않습니다. 가해자는 그 아픔을 평생 같이 해야 합니다. 자기 권리를 주장하며 빠져 나갈려 하면 안되는 큰 죄를 지었습니다. 격리된 방에서 평생 아픔을 같이 나눠야 합법 입니다. 가해자는 스스로 선택한 길 입니다. 무기징역 합당 합니다.,0
user-jq5po8jt3e,판사는 머하는 짓이냐 니딸갇음 그리판결 하겠냐 ᆢ,2
user-gp1tt8qd7r,우리나라도 성범죄 몇년 살인미수 몇년 이렇게 다 더해서 형량 때려야 돼,1
user-rf1uk7jt9j,우리나라 판사들 인성검사 안받나? 너무 너어무 마음들이 넓어서 살인을해도 몇년 안때리고 폭행은 뭐 솜방망이로 처벌들하시고 인격들이 얼마나 너그러우신지 에이 퇴퇴퇴,1
user-hg6sj6qv3s,재판한 판사 이름 같은거 혹시 정부기관에서 확인할 수 있나요? 이게 어떻게 12년이죠?,2
keyjac1260,판사님 관두쇼 팬티 내려져 있었다는게 성폭행증거지 왜 살인미수죄만 안정합니까? 판사 때려치우셔! 빌어먹을!,1
sglee999,이거 뭐 판사들 머리속에 뭐가 들어있는거야..,0
user-sv4eg2qk3v,죽일놈 살인자 저걸살려둔판사가. 원망스럽다 자기자식이저놈한테. 저렇게당해도 똑같을까,0
gaiamoon7006,술먹고 심신미약이라고 판사가 풀어줄텐데 ㅡㅡ,2
joo790827,이거 말도 안되는판결이다 너무 형량이 적다,1
user-ic3hw6dl5k,징역 60년은 되야할꺼 같은데,2
abraham12love,자슥이 ~~미친거지. 어떤 말도 통해서는 안되는 거자나 이사건 어떻게 판결 되나 끝까지 보겠다.,0
