작성자,내용,추천수
servant31,뒤에서 무방비 상태인 여자를 저래 했는데 12년 이라니..말이 안나옵니다..딸 키우는 아빠로서 가슴이 무너져 내립니다. 저런놈은 무기징역 가야 됩니다,1.3천
user-gl9rw7zk7f,저런 악마가 12년 뒤에 다시 우리 사회에 나온다....뭔가 섬뜩하지 않냐? 법이 제대로 작동하고 있는 것 맞냐? 판사 니들 딸이 저렇게 당했으면 어떻게 하겠니? 니들 딸이 당했으면 분명히 무기징역 때렸을거잖아!!! 암기만 잘하는 싸패들.....,202
sun-heepark9945,고작 12년이라니... 이 나라 법은 얼마나 더 악질이어야 제대로 형량을 받을 수 있는지... 제발 피해자가 조금이라도 더 회복되시길 빌어요.,3천
kingston6923,영상을 보니 경악 스럽고 분노가 치밀어 오르네!!! 내자식에게 그렇게 했다면 어떻게 하던 저승으로 보내고 말거야! 법이 약하게 판결이 적용 된다면 더 더욱 용서 할 수 없다!!!,120
user-ok6xd3gk8y,"저런 범행에, 저 정도의 손상에, 저 이유에... 저 정도의 처벌이 내려진 법체계는 한... 참 잘못된 것이다. 피해자 개인에게도 가혹할 정도의 처벌이고 대한민국 사회에 12년 후면 길들지 않은 맹수를 풀어 놓는 격이다. 판사가 제정신이 아닌지, 대한민국의 처벌한계가 잘못된 것인지... 우리의 또다른 암울한 미래이다. 가해자 인권을 위한 법은 사회를 좀먹는 소수를 위한 그들만의 논리이다.",5.1천
winniesam6092,너무 끔찍하고 소름이 끼쳐서 손이 덜덜 떨립니다~ 비슷한 또래의 딸이 있어서인지 가슴이 뛰고 정말 죽여버리고싶을 정도의 충동이 드네요. 제발 제발 제발 저 짐승새끼가 최고의 형량을 받기를. 영원히 불에타는 고통을 겪기를. 사지를 절단하고 끝나지않는 고통속에 살길.,17
reylee4394,진짜 이런 묻지마 범행들은 무조건 최소 무기징역 때려야 한다고 봅니다.. 판사들은 본인들이 저런 범행 당해도 12년 때릴건지? 피해자분이 꼭 상처에서 치유될 수 있기를 바랍니다.,321
user-mq1ib5lj5q,징역 30년 이상 해도 피해가족들은 울분을 참지 못합니다.. 제발.. 이런 쓰레기는 사회로부터 영원히 격리 시켜야 됩니다.,712
gorekim4462,"이런 뉴스 계속 반복적으로 다뤄주시는거 너무 좋습니다! 덧붙여서 피해여성 지퍼도 내려가져있던 것도 언급해주었으면 더더욱 좋았을 것 같습니다. 항소심에 추가 징역 받고, 최종심까지 알려주시고, 이후로 감옥에서 어떻게 혈세로 잘먹고 잘사는지 까지 알려주시면 더더욱 감사할 것 같습니다. 아예 그런 내용 전용 채널을 하나 만드셔도 구독하겠습니다. 채널명 권선징악으로",120
pradaramzi,"어머니가 있고, 누나가 있고, 여자친구가 있고 앞으로 미래엔 한 가정의 가장이 될 사람으로서 너무 분노하게 되며 재판부의 판결을 받아 들일 수 가 없습니다.. 분노라는 단어 말고는 욕 밖에 나오지가 않네요...",4
