작성자,내용,추천수
user-fe8yh9uw6k,판사 집안에 똑같은일 일어나길 간곡히 빕니다,27
user-ox9ov3jm5y,재판장이 최환이랍니다. 국민감정이 전혀 이해하질 못하네요 어이없네요,153
zzangshin9133,역쉬... 대단한 대한민국 판사님들 .. 부디 당신들의 딸들도 꼭 이와 유사한 변을 당하시길.. 과연 이런 판결을 내릴 수 있는지 봅시다 ! 공부 많이한 판사의 깊은 뜻을 개돼지들은 해아릴 수 없는거라 생각하겠지 ㅋㅋㅋ,9
ngede80,아 욕 나오네 20년? ????? 판사의 주 업무가 국민들 혈압 체크하는 일?????,116
sieuning1,전과 18범이 왜 20년이죠?? 대한민국 판사들 보면 정말 구역질 나옴,36
user-je3gs6px6y,전과 18범이 강간살인미수인데 20년이라고? 에라이 골빈 판결이네. 판사는 하루빨리 ai로 대체해야할 직업이다 진짜.,89
user-dr2eq1yr8m,정신나갔네. 저인간 18범에 전과 하나 더 달았는데 고작 20년? 어떤 이유로도 감형하지 말고 생활하다 불성실한 태도 보이면 5년씩 형량이 늘어났음 좋겠다. 제발 판사 측근에서 저런 일한번 터지길 바란다. 정신 못차렸네....,43
pigeon2376,인구조절에 힘쓰는 애국자 판사님,4
user-nb7bp9sy1r,모처럼 시원한 사이다판결이네요 피해자 많이 떨렸을텐데 다행입니다,5
user-fp9xw4oz3j,20년이 아니라 200년 때려야 합니다. 판사 미친거 아닌가요?,51
loveve1074,고작 20년이냐?....판사 보다 검사가 사회적 민감성에 더 우위에 있네....판사 때려쳐라,59
gwisekor,"20년? 검사가 증거 제출해서 35년 했는데, 판사가 역적이네",53
user-ln2we9cy4e,35년 구형했고 성ㅍㅎ 증거도 나왔는데 20년형으로 감형해줬다구요????????? 미친거 아닙니까??? 이래 법입니까? 나라입니까?,22
messipsg7761,판사 미친놈 아니냐 20년이 말이되냐 진짜 충격적이다 최소 35년이였어야되,11
cv-G,저 범죄자를 풀어주는한이 있더라도 담당판사는 꼭 처벌하고 사회로부터 격리해야할듯.. 범죄자보다 판새가 더 저질스럽고 해악스럽게보임,5
nnooonn,20년 뒤 출소해서 꼭 판사 찾아가길~,15
user-pl7qp7de9w,20년후에 나와서 판사 가족이 저놈한테 똑같은 피해보기를 간절히 바래봅니다~,21
user-hj2qt9ns2g,하 진짜 화가많이난다 진짜 판사님 고소해버리구싶네용~ 피해자분 마음을 넘 잘알다보니까 걱정두 많이 되구ㅠㅠ 진짜 많이 억울하시구 받아들이기 싫고 그럴탠데ㅜㅜ 우는목소리들으니 마음이 더 아프고.후 전과18범을 인간만도 못한넘을 왜 보호하구 감싸는지 모르겠네요 진짜 역겹네 피해자를 보호해도 모자를마당에 가해자른 보호해 아주 잘돌아간다 저딴넘이 판사질하구있으니 범죄자쓰레기들이 판을치는거지,2
user-ko6xb4uj6m,판사 정말어의없다 국민청원 올려야 합니다 국민모두 분개하고 있는데 법무부 장관 뭐하세요 딸가진 부모들 불안해 하고있어요 이게 법치국가입니까? 치안이 이리 불안해서 판결이라도 제대로 해서 일벌백계 했어야지요!!!,7
user-ew5jo4tm7t,예시 자체는 판사님에게 미안하지만 과연 판사딸을 돌려차기로 기절시키고 의식없는 상태에서 성범죄 한다고 해도 그 판사는 과연 20년 내릴까?? 난 절대 아니라고 본다. 재판중 얼굴보면 칼들고 목아지 따겠죠.. 그 20년은 왜 20년인지 설명좀 해주세요,39
applemint8051,이쯤되면 우리나라에 판사라는 직업 자체를 좀 없앴으면 좋겄네 판사직업 없애고 네티즌들을 판결관으로 하면 나을것 같다는 생각이 드네. 네티즌 판결관 만들어라 제대로 자격있는 네티즌들만 골라서 네티즌들이 판결내리는게 낫겄어 어케 똑똑하다는 양반들이 형량을 왜 저따위로밖에 안주나 몰라 헛똑똑이들이네 국회의원들이 법 안고치고 일안하는것도 원인이겠지만.,19
s.gwannabe236,50년 갑시다. 검사님들 얼른 상고하세요.,10
soolee1283,판사 신상도 공개해야 합니다.,10
user-ls3vg6qe4b,양형때린놈이 재범하면 양형때린 판사 처벌하는 법안 만들던가해야지,15
Goriginal2,무기징역 장기수 사형선고 받은 넘들 그냥 없애라 제발 세금 아깝다ㅠ,2
brandonleespictures,판사 제정신인가? 겨우 20년? 이런 판사들이 악마들을 만들어내는 주된 원인이라고 봄,4
geguri38,와~20년 징역 될줄은 꿈에도 생각지 못햇다,8
