작성자,내용,추천수
user-mm4be2kx7c,판사가 뭔데 반성문 몇 장으로 죄를 감해줍니까? 피해자가 용서 안 한다잖아요,1.1천
user-sk9mt9nt6k,하..판사분들 대단하시네요 우리나라 죄지은 범인은 두다리 뻗고 잘수있고 피해자는 불안에 떠는 나라 참 좋은나라,924
user-jb8lk3zn3q,판사들 본인들딸이 저리당했어봐라.. 절대 저렇게 판결못하지. 부디 다신 저런일 없시고 얼른 완쾌하시고 행복한일들만 생기시길 바래봅니다..ㅜㅜ,529
user-ei2cs8gr5u,피해자와 피해자 가족이 용서하지 않는 범죄자를 판사가 멋대로 용서하고 감형해선 안된다고 생각합니다. 극악무도하고 파렴치한 범죄를 저지르고도 뻔뻔하게 반성조차 안하며 출소한다면 또 어떤 끔찍한 짓을 저지를지 모르는 저 범죄자가 평생 사회에 나오지 못하게 해주세요.. 그리고 피해자분과 그 가족분들의 몸과 마음의 상처가 하루빨리 아물길..,301
kimmy6317,"판새님들 8분동안 범죄입증 어려워서 8년 깍아준건가요??? 진짜 범죄자들 인권 어떻게든 보호해줄라고 안달이 나있네요. 저 8분안에 실제로 저 피해자가 사망했어도, cctv가 없으니 직접살인증거 없다면서 어떻게든 형량 깍아주겠네요. 대단들 하십니다.",910
honeybunny5015,도데체가 판사가 뭔데 가해자의 반성을 판단하는거지? 중요한 건 피해자가 용서를 해야하는거지. 반성문 감형 자체를 없애야합니다. 이것을 악용하는 사례가 너무 많아요. 판사는 신이 아닙니다. 그저 죄의 무게만큼 피해자가 납득가능한 제대로 된 법적 무게를 내리는거죠. 이런 식으로 판결내릴거면 컴퓨터 판사가 더 잘 할거라 생각될 정도네요,481
user-fw9pn8bo4f,방송 보는 내내 너무 화가 나네요! 도대체 저런 쓰레기 만도 못한 놈한테 왜 감형을 해 주는 지 이해를 못하겠습니다.. 최소 무기징역 나와야 맞다고 생각합니다!!,157
user-vv3is7hy3y,판사님들이 돌아가면서 당해 보시길 바라는바 입니다. 그렇지 않고서 저런 어처구니 없는 판결을 내리시는지 알 수가 없습니다. 한사람의 인생을 무너뜨리고 자기로 말미암아 범죄자가 된 사람을 협박하고 있는대 판사라는 위인은 고작 12년 다음 타켓이 정해져 있네요. 그런대도 12년형입니까~,129
hahadaddy7397,진짜 우리나라 판사들 대단하다.. 욕을 안할수가없다. 가해자 신상은 왜 맨날 지켜주는거고.. 자식들보기 창피하지도 않은지?,22
cutesuga649,저런것들은 무기 징역이나 사형제부활시켜 영원히 사회에서 매장시켜야 합니다,143
user-cl2qj7gj9b,"죽일려고 때린거지 저게,,, 미쳤냐? 제대로 판결 좀 해라 아",127
user-mc7su1ej6r,반성문은 왜 판사가 받고 용서도 하는지 참 진짜 바껴야한다,60
user-es4ql1ck4w,저렇게 살인미수에 강간까지 의심되는 상황인데 형량을 깎아주는 대한민국 판사님들 아주 대단하십니다~ 본인 자식새끼들이 저렇게 당했으면 저런 판결을 내릴까요?,82
user-rw7im5hb4m,만약 저 가해자가 나와서 다시금 여자친구분께 해를 가한다면 판사도 미필적고의에 의한 범죄자임을 확실하게 알려서 판사들의 판결에 대한 사회적 논의가 추진되었으면 합니다.피도 눈물도 없는 AI가 대체하게끔 하는것도 방법이라고 보여집니다.세상엔 좋은 분들이 너무 많습니다. 소수의 전과 몇범을 이해하기엔 다수가 피해받지 않는 세상이 오길 바랍니다.,126
davidjeon5746,우리나라 판사들 그 공부 잘하는 사람들이 도대체 왜 저런 결정을 하는지 이해 할 수가 없습니다.,199
kkooo3826,판사의 자녀들이 무차별폭행을 당하면 얘기가 달라지겠죠? 남의 자식에겐 한없이 관대한 대한민국 판사 대단하다,53
user-zi8bz8tr9z,아 술이 취해서 cctv 없는 곳으로 끌고 가고 떨어진 물건들도 착실하게 다 챙기셨구나 그리고 피해자도 아닌 판사에게 쓴 반성문을 근거로 피해자는 용서를 안 하는데 왜 판사 니들이 범죄자를 용서하고 감형하냐,101
sun5010,"저런거 보면 대단하신 판사들의 가족, 자식이 저런 일을 당했다면 저런 판결을 내렸을까 싶다 정말..",76
user-sp1yo8cg6j,범죄는 피해자한테 저질러놓고 반성은 판사한테 하면 ..... 그게 반성이냐???? 판사님들아 생각좀하고 판결해라......,46
user-bn4qq8zx8y,해당 범죄자는 이미 같은 방법으로 감형받은 전력이 있는 전과자임. 그런 범죄자를 믿고 감형을 해준 판사는 진정한 호구가 아닌가 싶으네요,29
user-je8iw2wx5o,판사들도 저렇게 당해봐야 법판결 제대로 할건가 진짜 열받는다,41
xiiixiii,그놈의 인권보호 진짜 역겹다. 제발 인권보호는 피해자들을 해줘야되는거지. 피해자들은 주소지 부터 시작해서 보호 받는게 단하나도 없고 피의자들은 아주 인권보호 잘되고 있네 ㅋㅋ. 저런쓰레기를 계속해서 사회에 방출시키는것 자체가 국가에서 살인을 방조하는거아닌가? 이런일이 반복되니까 남녀갈등이 생기는거지. 국가가 이런 말도안되는 범죄자를 막아줘야 시대가 지날수록 갈등이 사라지는거다. 제발 형량을 인권이란 이유로 줄이지말고 제발 재범이 큰 피의자들을 그냥 깔끔하게 높은형량이나 무기징역 때려라. 진짜 할말이없다.,44
user-rs8rl1yz6e,반성만 하면..감형이구. 8년이나...판사님들,40
user-fp2df7io4w,사각지대에서 분명 성폭행하려고 대려간거고 나중에 밖으로 나올때 남자 바지지퍼 올리는 모습도 나오네여.. 그런대도 종이쪼가리 몇장끄적인거에 8년감행해주는 판사클라스 대단해,29
user-yq6hd1iu8k,판사님들은 항상 가해자편 화가 난다 정말,49
user-lo9dx2nq5l,반성문을 악용하는 악질들을 판사들은 모르고 있지 않은텐데 관례?라고 하면서 살인마를 밖에 내놓게 될것이라 생각한다.,39
user-ze2ng1mf3p,우리나라 판사가족이 당해봐야 정신차린다 정말...이런놈을 감형을해줘???무서워서 살수있겠냐??,47
user-tw7ki8kj7g,완전격리 시키세요 .. 나중에 또 누굴 죽일려고 저런 짐승만도 못한 놈을 나중에 다시 풀어준다고?... 절대 있을수 없는 일입니다 ... 살인미수로 해서 무기징역으로 평생 감옥에서 썩게 만들어야 합니다 ~,92
user-bb2ew2xw4s,이정도면 판사가 범죄자와 한편이네. 8년 감형 이해가 안된다. 판사 자기 자식이 저렇게 폭행 당했어도 감형을 했을까?? 정말 이기주의다.,20
user-wn3uv1rp7z,판사님들 짱 먹으십시요 당신들 귀한 자식이 저렇게 당해도 감형 하시겠습니까?,22
JYS6771,처음엔 초범인줄 알았는데 전과기록이 상당해서 놀랐고 전과가록이 한두개 아니고 상당한데도 불구하고 판사가 겨우 징역 12년 준거에 판사 맞나? 라는 생각이 들었고 그겄도 모자라 범인이 항소 한거도 놀랐다 진짜 반성하고 죄책감 있으면 항소 안하는데 항소한거 보니 반성의 기미 1도 없는 놈이다 그리고 실제 조사영상에서 모자이크 처리 했는데도 팔뚝의 문신은 티가 다나네 문신+상당한 전과기록+현행범 다 종합해서 볼때 이놈 재범 확률 높고 다른 사람은 몰라도 여친한테 보복할 위험 아주 상당히 진짜 높다고 본다 이놈 학창시절도 한번 뒤저바라 일진이었을 확률 100% 고 그당시에 저질렀던 범죄들도 상당할꺼라고 본다 마지막으로 한마디 하자면 판사도 본인이 내린 판결에 대한 책임을 져야 된다고 본다 예를 들어 판사 본인이 어떤 범죄자 재판을 해서 판결 했는데 그 형량으로 인해 범죄자가 출소후 재범이나 보복범죄를 하게 되서 다른 애꿎은 피해자가 다시 나오게 되면 그 형량을 내려던 해당 판사는 판사직 박탈 또는 판사 해임 이라는 도의적인 책임이 있어야 한다고 봄 그래야 판사도 사명감이 더 생기고 보복범죄나 재범도 준다고 본다 우리는 재판에서 그냥 판결만 내리는 판사을 원하는게 아님 올바르고 제대로 된 판결을 내리는 판사를 원하는거다 그냥 판결만 내리는 판사쓸꺼면 초등학생을 판사석에 앉혀라 초등학생도 그냥 판결은 할줄 안다,47
user-jq1os5fk2u,저 악마는 형식적인 반성문을 쓴겁니다 어떻게든 감형받기위한 허위적인반성문 참 대단하다 판사님들 ~,0
magnolia7852,참 대단한 판사쓰레기들 저런 걸어다니는 살인 병기에게 겨우 12년? 12년후 출소해서 또 한명의 여자가 살해당하고 또 10년 살고... 도대체 저놈 손에 몇명의 여자가 죽어야 저런놈 평생 가둬 둘수 있는지요,65
jinjin5328,"알수 없는 8분 때문에 더 줘야 하는거 아닌가? 알수없으니 더 문제지. 참내 얼마나 더 죽어야 법이 바뀌고, 판사들이 형량을 제대로 줄까?",29
alloveragian8215,범인의 반성은 먹히고 피해자의 억울함은 무시당하는 법. 아님 판사재량,0
mkmoon7550,와… 저런 말종 인간쓰레기를 … 12년 후에 쳐 기어나와서 바로 누구 하나 꼭 죽여라 하는 판결이네. 전과가 없었어도 12년이 말이 안되는데…,30
BADARANG,AI 가 답 사람보단 지난판례 데이터로 기계가 판결하는게 더공평할듯,49
user-vf6xn7lo3e,저런사람이 다시나와 범죄를 저지른다면 그 판결을 내린 판사의 책임인것 으로 그 책임을 져야 한다고 ...다른 경우에도 사고가나면 책임자 구속되고하는데 이런경우는 왜 책임을 인질까?,35
user-oi9nb6xq2h,첨부터 끝까지 다 거짓말이고만 뭔 반성이고 술취해서 기억이 안난다는거냐 알면서 속아주는거냐 진짜 몰라서 감형해준거냐 범죄자도 그냥 범죄가 아니라 살인미수인데 인권 생각 말고 무기때리던지 늙어서 할아버지로 나오게 만들어야지,36
