작성자,내용,추천수
estellepark2786,"본 사건 뉴스에서 보고 너무 끔찍해서, 잊혀지지가 않았는데, 피해자는 얼마나 큰 고통속에서 살지.. 마음이 너무 아파옵니다. 그런데 형량이 고작 12년이라니,, 그게 더 충격적이었습니다..",1.1천
user-bw8ic2ed7i,꼭 그 판사 가족들도 똑같은 일 당하길,1.6천
user-hk2ng2by6b,꼭 사법집행하시는분들 가족분들에게도 이런일이 일어나셔서 똑같은 판결을 부탁드립니다.,495
user-xz6he1ty8l,형량이 고작 12년이라고? 말이 돼냐ㅡㅡ 진짜 적어도 무기징역은 줘라 제발.. 피해자와 가족들은 무슨 죄냐 진짜 화가 치밀어오른다,74
user-rb6kl7xy7c,판사님 가족분들 이 피해자가되어 만나시길 그래도 이런 판결이 나올지 궁금하네 진짜,724
user-dg5ln6us2m,"피해자가 범인이 잘못을 뉘우치고 있다고, 진정으로 용서를 구하고 있다고 느끼지 못하는데 왜 판사가 뭔 자격으로 지들이 그렇게 판단하는 건가요?? 감형 좀 제발 하지 마세요~~~ 감형 사유 좀 제발 한번이라도 피해자 입장에서 생각 좀 하고 판결 좀 내립시다!! 왜 잘못을 저지른 인간을 입장에 서서 판결합니까?? 그것이 억울하면 죄를 짓지 않으면 됩니다!!",202
user-ct5cd2yv2f,12년이라니ㅠ 판사들 정말 반성해야지 한사람의 인생을 망쳤는데..이러니 강력범죄가 계속 생기는거지,846
DAWN_w,꼭 재판한 판사들 자식도 돌려차기 맞으세요,413
user-in8eb7sk6n,저는 죄인들에게 인권을 논한다는 것 자체가 있어서는 안된다고 생각합니다! 왜? 저런 자에게도 판결을 저것밖에 안 내리는건지....판사님 제발 죄인들 인권 없어요~~법 잘 지키는 자. 질서 규칙을 잘 지키는 자 선하게 사는 자들에게만 인권 적용해 주세요,482
user-nh5dz5xp6y,"범인못지않게 판사에게 더 화가나네. 악질범죄자는 반성이란걸 모르고, 진정성 1도 없는 억지 주장에 설득당한 판사의 판결에 분노가 치민다",683
user-zw8me6eb3x,이런범죄는 고의적이고 의도적으로 저지른 범죄인데...최소 징역 30년이다.재판부 정신차려야 한다,51
jaesuklee9921,"전과4범이고,저렇게도 잔혹하게 사람을 짓밟았는데 징역12년?저렇게 젊은 나이에 복역 후 나와서 또 제2,3의 피해자가 생겨 피해자들을 불행속에 살게 하라는 재판부의 판결에 선량한 국민은 두려움에 떨어야합니다.사형시켜야지요",80
user-qc9vq4xi7x,부디 형을 때린 판사에게 똑같은 일이 일어나주기를..,36
user-hi1qf4ze2c,판사님~판사님~가족이 당했다면 딸이나 아들이 당했다면 반성 하세요~다들,123
user-td6vz4oh8x,판사가족들이 똑같이 당했으면 어땠을까요? 판사님?!!!,568
mihyejung4725,판사 가족들도 꼭 이런일을 당하기를 빌겠습니다,23
user-ot6cx9og9x,저런 범죄자들을 만드는건 법을 집행하는 판사들의 목도 하다고 봅니다 반성도 없고 형량줄이기만을 위한 개인적 주관일뿐인 사람을 12년도 어이없는데 8년으로 줄였다고 정신차리십시오 판사들 당신은 법을 정의롭게 판정할(시민의식) 의무가있습니다,11
Lucia-mw4mp,10년정도 뒤에 나와서 진짜 누구하나 죽이겠네. 우리나라는 진짜 가해자를 위한 나라냐? 피해자는 영구 장애가 남고 저런 중범죄자는 사지 멀쩡히 금방 다시나오는 게 이게 무슨... 판결이 왜 꼭 저모양이지,14
user-ep7fe4qn7r,우리나라 판사들 억울한 판결 할때마다 판사 가족이 똑 같은 상황이 생겼으면 하는 생각… 많은 사람들이 할것이드,111
Lucky-vf9lv,"이쯤 되니, 판사의 판결을 (피해자가 억울하지 않도록) 현명하게 판결하는 누군가가 있으면 좋겠다.",8
user-pc5kl1ss4f,판사님 가족들도 똑같은일 당했으면 좋겠네요 진짜 소름끼치는 판결이네 범죄 저지르고싶으면 술먹고 하면되는거네요? 와.. 구역질난다,33
YOU_joung_1004_love,"아~~ 술먹고 난 후 기억 못한다고 하면 되는구나... 그럼 처벌이 약해지거나 없어질수도 있는구나... 진짜 어이가 없어서 ""판사님 꼭 똑같은 가해자를 만나서 가족들이 똑같이 당하라고 기도하겠습니다"" 진짜 뭔 이런 그지같은 판결이 다있어요. 그냥 러시아에있는 블랙돌고래 교도소에 보내세요",279
