작성자,내용,추천수
user-dd3lo7wv7x,피해자에겐 사죄하지도 않았는데 가해자가 반성하는 점을 양형의 이유로 든 판사님... 우리나라는 왜 피해자가 아닌 판사님이 대신 용서를 해주는 걸까요?,1.5천
user-ex3gf7wu7d,"사고, 피해를 입었지만 굴하지않고 스스로 직접 발 뛰며 증거도 찾고 방송사에도 나와서 인터뷰까지하시고 멘탈이 엄청나시고 대단하신 것 같습니다... 아직 완전한 치유은 안되셨겠지만 저딴 쓰레기는 국민들도 같이 목소리내며 최대한 형량 높이겠습니다",1.2천
SJ-xw2gm,"제일 이해가 안가는게 피해자가 발견될때 옷이벗겨진상태인데도 성범죄의심이 뻔한데 dna확보,검사도 안했다는것이다. 다시는 그런일이 없도록 초기에 수사제대로해주시고, 경찰들 수사학, 프로파일러교육도 의무로 해주셔야하는게 아닌가싶네요",490
youngokpark8648,피해자들을 제발 배려해 주세요 판사님들 무능하다는 소리 듣지 마시고 판단을 잘해주세요 자신의 가족처럼 생각해 주세요,2.5천
user-jd7kt5cq5m,"이 분 참 현명하다 피해자가 보복범죄에 두려워 하지 않는 세상, 가해자가 응당 받아야할 처벌을 받아 추가적인 피해자가 나오지 않는 세상을 바라고 있기 때문에 용기있게 목소리를 내주신 것 같다 그에 보답하는 판결이 내려졌으면 ..",785
sesamebread00,"정말 무섭습니다... 전과 18범인 사람이 사냥하듯 피해자를 쫓아가 잔혹하게 폭력을 휘두르고, 성범죄를 저지른 정황이 분명한데도 뻔뻔하게 거짓말하고 협박까지 하는 모습에 너무 화가납니다. 저런 사람이 사회에 다시 나온다면 누구든 타겟이 될겁니다. 부디 피해자분이 두려움 없이 살아갈 수 있게, 그리고 더이상의 피해자가 나오지 않게 판사님이 공포와 분노를 잘 헤아려주시면 좋을 거 같아요....",262
rising_sun,피해자 분 힘내세요. 올바른 판결로 위로 받길 간절히 바랍니다.,746
user-hf7dz9sy8u,"우리 나라는 범죄자들 형량이 너무 가벼워 보복범죄, 다른 피해자가 계속 발생하고 있다. 제발 형량을 높여서 피해자가 보복범죄에 두려워 하지 않고 살아갈 수 있게 범 개정이 필요합니다.",192
user-fl6eb1tv9f,처음부터 지퍼가 내려가 있었고 속옥이 종아리까지 내려와 있었다는데 어찌 성폭행검사를 안했단 말입니까? 경찰이 제대로 수사 안한거죠ㆍ,13
santoriniborn43,피해자가 용서하지않았는데 감형은 안됩니다,258
ghosttown3150,피해자분 너무 힘든 시간이셨을 텐데 다른 피해자가 더 나오지 않았으면 하는 마음으로 싸워주신거 너무 대단하게 느껴집니다 부디 몸과 마음의 상처가 하루 빨리 아물길 바랄게요 그리고 제발 저런 쓰레기는 갱생의 여지가 없으니 노력하신 피해자분 생각해서라도 형량 제대로 때리길.,16
user-ue3ok7cb2e,진짜 술 먹고 하는 범죄에 대해 감형하지 마라.. 왜 피해자가 증명을 해야하는 것인지 너무 화가 난다.,210
user-jq9dv8td8o,뭐하러 들쳐메고 갔겠니. 8분동안 선행이라도 할줄 알았냐? DNA가 나오든 안나오든! 이것도 짜증나네. 진짜 이런 짐승을 인권이라고 00해야겠냐? 확실한 범죄고 악질 범죄다 판사..판결을 내릴때 재범의 경우에 책임감좀 느끼길 이런건 사형 좀 시켜라 쫌@!@,191
user-oi1xc9pk9o,피해자분 진짜 무섭겠다 재판 끝날때까지 저 여린몸을 이끌고 끔찍한 날을 진술하랴 항소하랴 기자들 상대하랴 온세상에서 뉴스나오지..형량은낮고 가해자는 보복한다고 말하고있지.. 얼마나 무서울까 ㅜㅜ,13
jeongeunlee8045,"기가 막힙니다. 이제 우리도 검찰이 35년구형했어도 피해자가 겪어온 지옥의나날, 목숨만 구했으니 감사하고 살아야하나 생각하며 평생 살아갈 피해자의 현실 그나마 살아갈날 혹 보복이 뒤따를까 걱정하며 살지않게 이제라도 피해자를 생각해서 집행유예없는 무기징역을 판사님께서 내려주실수있기를. 어쩌면 가해자 배려우선 법정문화일지도 모른다 생각하는 요즘, 제대로된 결과가 나와주길.",98
soohankim112,형량 더 늘려라 35년 짜리 아니다 50년 100년 해도 국민들 욕 안한다 인권 개나 주고 무기형 까지해라,574
ddufudj3627,교도소 제집처럼 다녔던놈의 진술을 믿어주는 경찰.판사들 한심한 인간들이다!,9
Happy_chansmom,자존감도 높고 똑똑하신분이네요 가해자 형량 제대로 내려지길 바랍니다 판사가 판사답지 못한 세상이라 ㅠㅠ,4
Kang-Sung-Ku,판사들 좀 형좀 많이 줘라 12년이 뭐냐 사람이 죽을뻔한건데 답답하다,547
user-hf7dz9sy8u,피해자분에게 기적이 일어나서 다리의 마비가 풀려서 다행입니다. 힘내시고 다른 피해자가 발생하지 않도록 무기징역 형량이 나왔으면 합니다.,23
songyi3,"전과 18범이 되도록 세상에 계속 풀어준 판사들한테 화가 난다. 그리고 저 미친놈 그동안 전과도 많던데 성범죄 저지르고도 증거없다고 제대로 수사받지도 않고 넘어갔었던 건 아닌지 매우 의심된다. 저런 미친놈 다시는 세상에 나오지 않도록 되어도 부족한데, 심지어 피해자에게 보복범죄를 예고한 놈이 판사에게 반성한다고 12년 선고되는게 말이 되는 건가? 저 미친놈이 12년 뒤에 나오면 또 범죄를 저지르겠지. 근데 그것조차 너무 많다고 항소한 놈이 무슨 반성? 진짜 20년 아니 30년을 해도 전혀 과하지 않다 진짜.",176
user-ol3dd8gp8u,판사님들 제발 강력히 처벌해주세요~~ 만일 처벌이 미흡하면 악랄한 범인보다 판사님들에게 실망할겁니다,27
yeolje,피해자가 뭔가를 요구할 수 없는 거 보니 안타깝네요. 형사 재판에서 피해자는 가해자가 누군지 알 수 있어야 하고 진행과정을 공유받을 수 있어야 합니다. 형사재판에서 피해자는 검사와 함께 원고에 준하는 위치에 있어야 할 것입니다.,10
BondiBeache,범죄자 신상공개 해달라니까 범인 쉴드 쳐주는 경찰과 검찰. 그리고 반성하고 있는데 20년이 너무 많다고 8년깎아서 12년을 구형한 판사. 마지막으로 반성한다면서 12년도 길다고 항소한 이 바퀴벌레같은 종합범죄폐기물 쉑키.,901
user-jk1lr8jw3f,"야..,돌려차기해서 계속 머리를 밣았고 피해자 기절시켜놓고 7~8분동안 양볼을 치면서 깨웠다고?... 말같지도 않은 거짓말.. 가해자는 다 기억안나고 다 아니라고 하지.. 죄를 인정하지 않자나... 하 가해자 엄벌!!!!!! 35년형 선고한 판사는 정말 존경하는 판사님 맞다!!!!!!!!",8
user-by9eb3xd9d,존경하는 판사놈들이 정말 문제다,78
user-ow2ob9bo3v,피해자분 정말 힘내세요 판사님들 제발 피해자편에서 판결해주세요!!!,7
spteetlilta2680,"가해자 이현우가 재판받는 과정에서 반성은 커녕 피해자를 농락하며 제 몸만 더 키워 나타나고, 지가 감옥가더라도 나중에 나와서 보복하러 가겠다는 둥 나불댔는데도 반성문(도 그지같은 반성문) 쓰면 감형해 주는게... 도대체 뭐 이따위 법이 다 있는지... 당췌 이해가 가질 않고 정말 어이가 없네요. 내가 저 여자분 부모 같았으면 수단 방법 안 가리고 저런 거 어케 했을 거 같네요. 법이 솜방망이니 잠깐 감옥살다 나와서 또 재범하지요. 부디 이현우 저 놈 처벌 제대로 달게 받도록 했으면 합니다.",9
user-ee3sh9vh2e,신상공개 해야합니다 술에취했다는 이유로 감형이나 정상참작은 절대 있어서는 안됩니다 일면식도 없는 사람에게 무슨 원수 진듯 저렇게 폭력을행사하는 사람은 철저하거 처벌 해야합니다 일반인들이 안전할수있도록 범죄자들을 붙잡아 처벌하고 처벌수위를 강하게 해주세요,2
user-li3qr2gs3u,죽이지 않은만큼 폭행하고 기억력 잃게 만들어서 진술 못하게 만들어 진실은폐 하 려는 의도가 있는듯 넘 무 서운 사람이구 재범가능성을 고려해서 판사님께서 현명하고 공정한 판결을 선고 해주십시오,7
myclover1878,피해자 구제를 위해 형량낮추지 말아주시길 .. 사회악 가해자를 영영 매장시켜주세요,2
betty9897,제발 피해자가 두번 죽는일이 없도록 판사들의 상식적인 판결 바랍니다,6
user-ho4eb3bp4s,"아 눈물나네요 딸을가진부모로써 꼭! 무기징역.아니 사형제도부활해야합니다 다시는사회발딛지못하게요, 힘내세요~",1
user-mo9uh9ss4k,판사든 검사든 경찰이든 자기들 딸이나 부인이면 절대로 그냥지나치지않을 일이다 제발 최선을 다해주길,25
EddaShin,"저도 3년간 너무 힘들게 싸웠어요 저심정 이해해요. 우리나라 경찰과 법원은 너무 가해자의 입장과 진술을 심각하게 고려해 주더라구요. 겨우겨우 제 재판을 이기고 가해자 법정구속으로 판결이 났지만 3년간 이어진 2차가해자들 고소건도 진짜 힘들게 진행하고 있어요. 제가 피해를 봤다는데도,증거가 있는데도 경찰이 가해자의 입장을 더 받아들여서 불송치를 해버리니 억울해서 죽을거 같아요. 제발 사건의 본질좀, 증거좀 제대로 봐주세요 경찰관님들.그리고 피해자가 용기내서 싸우는데 나댄다 피해자 답지 않다고 하는분들 당신들도 가해자예요.피해자분 당신은 아무잘못도 없어요 힘내세요 응원합니다",6
user-ic9cb5xu8c,판사 자녀가 당했다고 하면 판사가 어떻게 이렇게 가볍게 형을 내리나요 12 년이 아니라 피해자를 80년평균수명 치면 55년을 형을살려야한다고생각합니다,196
rOSIe-qd3yv,"경찰, 판사, 검사가 본업에 충실하는 나라가 빨리 되어야 인구가 는다.",2
user-fv6hs9ou2p,쓰레기를 자꾸 사회에 내놓으니까 설량한 시민들만 피해를 봅니다 담당 판사님 저런사람들은 사형을 판결해주실것아니시면 종신형 판결을 해주세요 볼때마다 화가분노가 극에잘합니다,52
user-si2id4wb9m,저 남자 무기징역 안하면 국민여성분들이 불안함으로 산다ㅡㅡ 35년 너무 짧다 45녈 해야죠 판사님 그리고 저 남자 얼굴공개해라ㅡㅡ 경찰도 참 어이가없다 누가봐도 저 남자 성법죄할라구 아무도 없는곳으로 가는데,82
yeolje,목적 없는 행위가 없고 7분 간 뭔가를 했을텐데 강도행위를 하려고 했다면 7분은 긴 시간임. 검사분이 공판 때 합리적 의심 정말 잘 말씀하신 듯.,6
haewon1040,중요한건 판새가 반성한다고 형량깍아준다는겨,64
