작성자,내용,추천수
rara4760,아니 1심 진짜 미친거 아니예요ㅜ 저렇게 돌려차기를 하고 죽을듯이 때리는데 살인미수 겨우12년ㅠ.... 제발 판사님들 당신들의 가족이라고 생각하고 형량을 판결해주세요~법이 진짜 현실을 반영을 너무안하네요ㅜ...피해자가 증명해야하는 이런현실이 너무싫습니다ㅜ,294
user-qm1oz1ov8e,검찰이 끝까지 붙잡아서 결과를 낸건 좋지만 징역이 10년이상 늘어난것도 좋지만 그래도 그래도..40년이상은 나왔어야..,1천
minjiso1778,"방송에 나와야 제대로 수사를 하는건지? 왜 검사를 더 정밀하게 못했을까?? 누가봐도 수상하다고,,, 이제는 가해자를 위한이 아닌 피해자를 위하길..",951
You-ix1zp,모든 뉴스에서 초반부터 저 돌려차기 장면을 보여주던데 너무 충격적이고 마음 아파서 이제 더는 못보겠더라.. 저 가해자는 제발 피해자가 원하는 만큼의 형량을 받아 죗값을 온전히 치루고 세상 하직하길 바람.. 아직도 구형 형량이 너무 낮다 선고는 더 낮을 것 같은데ㅠ,9
user-hk4bg8sk2k,어린나이에 전과18범이 되도록 반성한다며 있는법에서 조차 감형에 감형을 내렸던 판사들은 모조리 국민들에게 무릅꿇고 사죄하고 사임하세요.당신들이 결국 이사건을 만들게했습니다.그런데 또 감형한다는 뉴스를 보았네요.,17
user-zy8xe4yr4l,이번에는 판사님들.. 진짜 월급값해주시길.. 판사님이 받는월급..국민의 피와 눈물로 만들어지는거니.. 진짜 피눈물 흘렸고 흘리고 있고 흘릴 피해자분을 위해..그리고 유사범죄를 일으킬수 있는 개새끼에게 경종을 울리기 위해서라도.. 진짜 진짜 부탁드립니다. 발하나 들 힘없고 개한마리 죽일힘 없을 나이가 될때까지 감방에서 썩길 ..그런판결이 나오길 기대해봅니다.,7
tskim9175,"판사님, 제발 강력한처벌 부탁드립니다.",1
user-cu6xb3xo2u,형량이 어떻게 나오던 화학적 거세 해야한다.,498
shtk1590,판사님 가족이 당했다고 생각해주세요 부디 사이다같은 판결 해주시길 바래요,14
holicbike2367,여성분의 인터뷰가 마음이 아프네요 ! 당신 때문이 아닙니다. 저런 쓰레기를 사회에서 격리할 수 있도록 판사들이 제대로 판결하는지 모두 지켜봅시다. 판새가 너무 많아서!!!!!!!!!!!,1
