작성자,내용,추천수
user-nf2ej2sd6v,진짜 어이가 없는게 저 피해자는 그냥 우리처럼 평범한 일상을 사는 사람일건데 한순간에 사는게 지옥으로 변하고 저 트라우마는 누가 치료해줄것이며 평생 두려움속에 살아가야한다는게 누구든 저 피해자 처럼 될수있다 생각해보길 바랍니다 판사님,2.1천
yrk5680,가해자 전과 18범이라는데 저런 범죄자를 다시 사회에 내놓은 제도가 개탄스럽습니다. 35년은 무슨 무기징역에 드는 세금이 아깝습니다. 사형이 마땅한 것 같습니다.,4.5천
rockworld3789,검찰은 35년 구형했지만 현명한 재판부라면 무기징역을 선고할거라 믿는다. 반성하고 참회하고 용서를 구해도 감형될까 말까 하는 중범죄인이 반성은 커녕 변명으로 일관하고 있고 피해자에게 협박을 일삼는등 50년이상 사회와 격리시킬 필요가 대단히 충분하다고 판단된다..,8.7천
user-qy8rb5xp9c,"고등학생인데 정말 이 나라가 너무 위험하다고 생각해요.. 정말 나라가 무서워요… 저렇게 무섭고 끔찍한 일을 겪는 사람들, 피해자들의 심정과 그 심각성을 판사들이나 그 가해자들은 헤아려야죠.. 사형제도가 폐지된 것은 억울한 가해자가 생겨났다고 사람의 생명을 존엄하지 않는다 라는 내용 등으로 폐지되었는데.. 무조건적으로 나라에서 범죄가 생기지 않고 최대한의 예방을 하려면 사형제도가 다시 생겨야한다고 생각해요 저런 잘못을 하는 범죄자들이 교도소에서 잘먹고 잘살면 안되는거잖아요 얼마나 큰 상처를 입혔고 얼마나 지울 수 없는 트라우마들을 생성시켰을까요.. 고등학생인 저도 이런 심각성을 깨닫고 문제에 집중하는데 우리나라 판사님들 국회의원들 대통령은 대체 뭐하시는건가요… 우리나라가 더 평화롭게 잘못은 잡고 그래야죠.. 피해자를 더 도와야죠.. 더 나아가 무서운 범죄들이 생겨났을때 국민들의 무서움을 생각해보세요.. 정말 심각해요..",57
lilysieun3324,국민들이 관심가지고 지켜보고 있습니다. 정의로운 판사님이라면 가석방없는 무기징역 꼭 내려주시리라 믿습니다.법은 최소한의 형량을 만들어놓은거 아닙니까?전례가 없으면 이번에 판사님이 전례를 만들면 됩니다. 제발요...피해자분을 위해 매일 기도하겠습니다.,2.1천
pmspyl,제발 법이 국민을 지켜준다는 것을 보여주세요 그래야 범죄가 줄어들것입니다 최소한 무기징역이 맞습니다,1.7천
scarllet1004,강간살인미수에 대한 무기징역이 내려져야 합니다,1.6천
user-uj4ei4lo2f,국민의 이름으로 판사에게 요구한다. 사회와 영구 격리 시켜라,730
rlatjdsu7614,모든 행동에 책임이 따릅니다. 제발 스스로 자신의 잘못을 인정하고 반성하고 자신이 한 행동에 재대로 된 벌량을 내려 줬으면 합니다. 19년이 아닌 피해자의 마음을 먼저 생각하고 징역을 정해 줬으면 합니다.,6
user-bf2vb7dm7q,보통 검찰이 구형한 것보다 재판에서는 많이 낮게 선고하던데 부디....제발...이번에는 그런 일이 없도록 해주세요 재판장님 ㅠㅠㅠ,246
dazzle-mp7xw,가석방없는 무기징역 선고해야합니다.,2천
mrmr7415,"이 사건은 피해자 측이 적극적으로 씨씨티비 찾아서 제출하고 방송에 제보하고 해서 이렇게나마 해결되는데, 방송 타지 않아도 경찰 수사가 성실하게 법원 판결이 신의있게 이루어지면 좋겠네요.",300
user-zb9ef5jl1c,피해자가 하루 빨리 고통에서 벗어날 수 있게 정당한 판결이 있길 바랍니다,41
user-tt7hi9ib7i,"용기있게 증언하고 대응한 피해자를 응원합니다. 저 분이 더이상 고통받지 않게, 혹여라도 다른 피해자가 더 생기지 않게, 정말 이번만은 법원이 마땅한 판결을 내려주길 바랍니다.",0
youngj2709,무기징역 갑시다. 살아서 고통이 죽기보다 힘들게 해야 합니다. 피해여성분 마음 편하게 살 수 있게 해드려야 합니다!,15
user-cc1zg2jp1h,끔찍한 뉴스에 심장이 내려앉네요 피해자분에게는 힘내시라고 말씀드리고 싶어요 ㅠㅠ 36년형도 가볍습니다 무기징역으로 일벌백계 해주세요 제발요,6
user-tt8eq8bx9b,35년도 짧습니다!! 제발 무기징역으로 보복할수없게 해주세요,3
omi841029,이 사건 소식 기다리고 있었는데 너무 가슴 아픕니다. 우리나라 판사들 진짜…..,30
user-jz1oz8yn2x,우리 사회와 영원히 격리 시켜라!! 재판부의 무거운 판결을 기대한다!,0
user-ti8ns9yl4s,우리가 아무리 힘줘서 말해도 판사님들이 솜방망이로 알아서 두들겨서 내보내 주실겁니다~~ 이 나라는 가해가의 천국이니깐~~,171
ThePeb317,"제일 어이없는건 첫 공판에서 너무나도 냉담하게 강간여부에 대해서 고려를 하지 않았다는것, 모든 가능성을 열어두고 정보를 수집해서 재판해도 모자를 판에 폭력과 살인미수만 적용하고 강간광련해서는 고려도 하지 않고 1심판결 내는건 대체 무슨생각일까. 이 공판에 참여한 재판장님들 성함 정말 오픈했으면 좋겠네요.",24
bataillej7178,"보복하겠다고 예고한 범죄자에게 충분히 그럴만한 시간을 주는 검사, 판사 등 관련자들이 있다면, 그 범죄가 실제로 이루어졌을 때 그들도 처벌 받는 게 맞지 않나요? 우리 법엔 방조죄라는 게 있잖아요. 이게 방조죄가 아니면 대체 뭐죠?",34
user-fj9bq7sv8e,판사님. 악질범죄에 대해서 처벌을 하는 건 죄값을 주는 의미도 있지만 현 국민들의 안전과 권리를 위해 격리시키는 의미도 있습니다. 짐승밥으로 줄 게 아니면 제발 저런 극악범죄는 노쇠하여 아무짓도 못하게 최소 50년이상 감형 부탁드립니다!!!!! (피해자분 우는데 맘이 찢어지네... 국민들이 모두 응원하고 있습니다ㅠㅠ 용기 잃지말아주세요),34
corconetkorea9112,아니 모 볼게있어...보복한다잔아...나중에 후회하지 마시고 걍 사형시키던가 출소없는 무기징역형 해야지...저런것들은 안변해..걍 사회랑 격리시켜야지... 죄없는 사람 죽이지 마시고 걍 내보내지 마세요..판사님들....,547
user-ko6xb4uj6m,판사님 제발 정의가 살아있는 제대로된 판결 내려주세요 이땅에서 안전하게 딸들을 키울수 있게 부디 판사님도 딸을 키우시는분이길 간절히 기도 합니다,17
user-dz9rt8yj2y,식당주인은 자기가족이 먹는다고 생각하고 음식을 만들듯이... 판사들은 제발 자기 가족이 피해를 당했다고 셍각하고 판결을 내려주길 바란다,6
user-dg5xr7ui9n,"판사들아 너딸이 당한 사건이라고 생각하고 진심 피해자의 입장에서,, 선량한 국민들이 살아갈수 있는 사회를 만든다는 생각 좀 하고 판결을 내려라 사형이 답이다",2
whoisparan3547,저지경까지 하는데도 양형으로 판결 나오면 이나라는 정말 답 없다.,196
soojinpark7286,저라도 가해자가 징역을 살고도 돌아다니면 무서울 거 같아요 ㅠㅠㅠ 제발 죄를 지으면 그에 응당하게 죗깂을 치르게 해주세요!,1
rains2693,판사들 자식들이 당하지 않는다면 앞으로도 법은 절대 바뀌지 않을 거에요.,21
breezy7702,사형이나 무기징역이 좋을 듯. 죄질이 극도로 나쁜 묻지마범죄는 반드시 가장 엄하게 처벌해야 한다.,1
sunheekim1210,제발 가해자에게 무기징역을 내려주세요!! 피해자가 두려움에 떨며 살지 않도록 해주는것이 마땅합니다!!!,1
user-ou5qu3yw3z,애초에 팬티 윗밴드만 DNA검사한것부터가 문제다! 처음부터 팬티 전체를 DNA검사했어야지!!! 무기징역 사형을 해야지 법이 뭣같다!!,2
user-qj8si9lz8y,전과 2범부터는 형량을 법적으로 늘리자 깜빵을 다녀왔음에도 반성하지 않고 똑같은 짓거리를 한다는 증거인데 전과가 쌓일수록 그에 맞게 형량을 늘리게 해야함,6
user-fg8uq4je3v,이번에도 형편없는 판결을 한다면 판사를 가만 두면 안됩니다. 그건 바로 국민들의 안전을 위협하기 때문입니다.,6
DIY-vj1uo,보복 언급한 범죄자는 종신형으로 때려야한다. 판사님한테도 피해자 가족이나 보복당한 사람들이 나중에 판결을 그렇게 해서 벌어진 결과에 책임을 묻기위해서 찾아갈수있으니 그런 심리적인 위혐에 대해서 잘 판단해서 판결하는게 좋을거 같아요.,6
juyooooo,제발 무기징역 선고해주시길 바랍니다.,739
kd_hj,판사님 현명한 판결 꼭 부탁드립니다,20
kaiserwookj8358,재판부 판사님들 전국민이 지켜보고 있습니다 대한민국에 정의가 있다고 믿고 있습니다,1
user-ob4mv1lb4i,피해자가 안심하고 살 수 있도록 가해자에게 중간 감형없는 100년 징역 정도는 때려주어야 한다.,7
