작성자,내용,추천수
user-qh6ib2oy1u,피해자와 그 가족들에게 무릎꿇고 사죄하며 반성하는게 진정한 반성인데 A4용지에 몇자 끄적이며 반성하고있다고 판사한테 제출하고 그걸 또 가해자가 반성하고 있다며 선처해주고 있는 암울한 현실... 도대체 언제쯤 피해자를 위한 법과 질서가 마련될것인지....,215
user-kw9bk2gi3g,판사님 가족분들 과 자녀분들도 부디 저런 끔찍한 사건의 피해자가 되시길 진심으로 바라고 또 바라겠습니다 그때도 너그러히 가해자가 반성한다고 감형해주시고요 사람이 변하면 죽을때가 된거라잖습니까? 판사님 가족들 자녀분들 피해에도 부디 한결같은 판결 부탁드립니다,745
jacksonmichael9902,사회에 절대 나와서는 안될 인간이다. 판사님들 좀 똑바로 합시다.,9.5천
user-qk3ns4sl7e,진짜 판사님께 부탁드립니다. 울나라 이런일 안일어나게 강력한 처벌 보여줘야 합니다.,78
user-wx9qz8pk9n,전과 18범이나 되는 놈들이 세상에 돌아다니게 만드는 사법부가 문제지.. 저런놈이 교화가 가능하겠냐? 정신차려라 판사들아..,4
doit5243,"이 사건에 연루되어, 피해자에게 2차 피해를 가한 국가(판사, 경찰, 신상정보공개위원회 위원 등) 관련자들 자식들이 똑같이 저런범죄 당하기를 간절히 기도할게",178
jafuri5616,무기징역 갑시다... 사람을 사람으로 보지 않는 짐승에겐 인권이라는 게 적용되지 않는거죠,2
user-ej3hq9ot4n,저출산에 한몫하시는 판사님들!!! 제발 강력한처벌좀해주세효!!!!,40
hyungjoonkim1242,사실 저거보고 좀 놀란게....저렇게 큰 범죄를 많이 저지르고도 형량이 고작 몇 년....우리나라 범죄자들 천국입니다. 모두 조심하세요. 그리고 이제 피해자를 보호하고 가해자를 엄벌하는 법으로 바뀌길 바랍니다. 유튜버 지지합니다. 힘내세요.,45
bichbyeol,피해자와 국민들 안전을 위해 힘써주셔서 감사합니다 절대로 세상에 나와선 안 될 악마다 이땅에 절대 발붙이고 살 수 없게 판결해주세요,4.9천
user-lq2hr4vx3r,물론 잘못 낙인 찍히는 불상사가 일어나면 안되기에 그러는것은 이해하나 피해자가 원하고 피해자가 밝혔으며 제대로된 처벌을 원하는일인데 왜 항상 법은 피해자를 위한 법보다는 가해자를 위한 법이 우선되어야될까 솔직히 전과도 여럿있는 사람들은 교화될 가능성이 낮다 판단하고 무기징역을 줘도 모자르질 않나 싶음. 저러고 안에서 잘하면 감형해주고 좀만 살다 나오면 또 저짓거리할텐데 저걸 언제까지 시민들은 불안감에 떨면서 지켜봐야되는건지 알수가없네,2
user-zu8hv6sc7e,공개하고 무기징역때려야한다..저런 짐승은 이 세상에 살아서는 절때 안된다.,0
sweetpotato_latte,"1심에서 검사가 20년 구형했는데 판사가 반성하고 있다면서 12년 때렸다고 함 반성한다는 놈이 빵 안에서 나중에 나가면 피해자를 배로 보복하겠다, 죽이겠다고 으름장 놓고 다녔냐? 판사만 보는 반성문 그딴거 양형기준에서 이젠 제발 좀 집어치우자",3천
