작성자,내용,추천수
user-gl7dg5eg3p,누구든 피해자가 될 수 있었습니다. 국민들이 지켜보고 있어요. 제대로 판결 내려주세요.,1.6만
ccigu8770,저런걸 인권이랍시고 감싸지 마세요 한 가족을 파탄시키고 지 잘못도 늬우치지 못하는데 저런게 어떻게 사람입니까 피해자분은 얼마나 고통속에 살아야하는지 아신다면 이번에 무기징역 또는 사형으로 판결이 나야합니다,484
bichbyeol,결코 남의 일이 아니다 판사들 딸도 일반인도 누구나 피해자가 될 수 있다 판사는 제발 피해자 입장에서 극형처단 해주세요 국민들이 끝까지 지켜봅니다,6.2천
user-tg5ll1sx8m,저런놈들 아까운 세금 들여 징역살이 시키지 말고 강제 노역 시켜주세요. 120년..,1.2만
bichbyeol,누구나 피해자가 될 수 있단 게 끔찍한 일 제발 판사들이 정신차려서 피해자입장에서 사형때려서 제대로 강력처벌 해주세요,5.1천
ooom5409,아니 어떻게 1심에서 12년이 나오냐고요 ;;; ㅠ 제발 무기징역 사형 처벌해주세요 너무 끔찍하고 잔혹하네요 ㅠㅠ,61
user-gg9nl4op7o,젊은 여자를 폭행해서 정신을 잃게 하고 cctv가 안 보이는 곳으로 끌고 가는 목적은 성폭행밖에 없다. 교도소 같이 수감된 사람도 이런 목적으로 여자를 쫒아갔다고 말한 걸 들었다고 한다. 증언해주셔서 정말 감사합니다. 무기징역이나 사형해야 합니다. 청소년기부터 범죄자였고 나오면 또 살인 강간할 겁니다.,1.4천
user-be6rb4ph2r,12년 뒤라고 해도 가해자는 혈기왕성할 시기다. 어떤 범죄를 또 저지를지 모른다 부디 힘빠져서 사건 사고 일으키지 못할 때 사회에 나올 수 있도록 형량이 주어졌으면 한다,1천
_____tigre7485,구치소에 함께 수감되었던 분께서 본인 얼굴 드러내고 증언해주신 모습 넘 멋집니다. 가해자에게 무기징역 선고를 바랍니다.,996
user-zb7ub5wj7h,변호사님 검사님 판사님 부디 강력하게 처벌해서 저런일이 다시 안일어나게 해주세요..ㅠㅠ,949
