작성자,내용,추천수
user-zu5dh4ub8x,"어떻게 이럴수가 있나요. 피해자가 계속 공포에 떨어야 하는, 이게 안전한 나라 입니까. 영원한 격리만이 답인듯 하네요. 교화? 그런거 없습니다. 판사님의 결단에 제2의 제3의 피해를 막을수 있습니다. 제발 부탁드립니다.",1.1천
seojinn2,판결은 꼭 국민이 지켜보는 실시간으로 중계해라 누가 판결하고 어떻게 판결하는지 좀 봅시다 판사는 국민이 뽑아야한다,189
user-pp5eo8wc9q,가석방없는 무기징역이 답이다.,1.4천
honestmt.801,판사님들 주민번호랑 가족관계증명 그리고 등기부등본 공개로 전환하라~!! 왜 피해자만 공개 되나!! 가해자만 보호하는 나라 이딴나라 있을 필요 없다,460
user-bv6ym1xx7f,죄질에 비해 형량이 택도 없이 적게 나올때 판사의 신상공개를 원칙으로 합시다,436
user-du9od5yv7u,사법부가 제발 판결 잘해주길 바래봅니다.,698
user-zu4ej4kj3m,"근데 진짜 짜증나는 건 판, 검사들 자식들한테는 저런 일이 한 건도 안 일어남. 힘없는 시민들한테만 일어남. 판검사 가족들한테 일어나면 바로 바꿀텐데",24
user-tg6he7sp3m,사법부가 법정 최고형을 선고해야 한다. 1심 재판부에서는 반성했다고 감형했다고 하는데 판사가 제정신 이라면 그런 판단을 할수가 없다. 우리나라가 무법천지 국가도 아닌데 자신의 순간적인 성적욕구를 채우기 위해서 대낮에 그것도 공공장소인 엘리베이터 앞에서 무차별 돌려차기로 여성이 죽든말든 기절시켜서 성적욕구를 채우는 악질범에게는 정상참작이 아니라 가중처벌 해야 한다고 생각합니다.,84
sanglee7877,"비뚤어진 특권 의식을 가진 판사들이 ""내가 허락도 안했는데 감히 니들이 알아서 단죄를 해?"" ""우리 판사들이 아니면 니들은 아무것도 못해!"" 이런 생각이 팽배한 듯",12
donaldtrump1123,판사가 범인이다. 판사를 감옥 보내야 한다,193
vsnssjshw,진짜 판사들 정신차려라...,8
bluemt273,법이 사람을 움직인다 법이 피해자를 키우고 법이 가해자의 기를 붇돋운다. 처벌을 앞두고 있는 범죄자가 기세가 등등하고 피해자는 여전히 억울해하고 오히려 처벌 이후를 두려워하며 벌벌 떤다. 이런 법이 과연 제대로 적용된 법일까? 아님 그 법을 적용하는 판사의 문제일까,49
user-ph5rn9dw1h,얼마나 무섭고 두려우면 잊고 싶을 사건을 나라에 하소연합니까!! 피해자를 살려주십시요 판사님!!,1
user-ht7mq9zh6r,저 사람 나오면 분명히 먼일납니다. 제발 큰일나기전에 저런놈들 못돌아다니도록 무기징역때려주세요!,1
mc.3341,자랑스러운 대한민국 판. 검사님... 여러분들의 가족이 이렇게 끔찍하게 당해도 가해자의 신상공개를 안 하실 건가요? 이 나라에 정의가 아직 살아있고 티끌만큼의 정의라도 남아 있다면 피해자분이 안심하고 살 수 있게 그런 환경을 만들어 주시는 게 대한민국 판. 검사님들이 하실 일이 아닙니까? 너무도 당연한 일을 왜 피해자가 울면서 호소를 해야 하나요?,2
user-fw5iu3ki5k,그내서 판사 대신 AI 로봇으로 법정을 세워야 한다!!!!!~~~~,10
user-wg7wv9tc7m,법개정 하시는분들 제발 우리나라에서 일어나는 범죄의 심각성을 알아주셔서 20~30년전에 형량을 적용하는 판결을 바꿔야 할듯 합니다.100%재범율이 일어납니다.교화가 될 인간들이라면 아예 범죄도 저지르지 않았을 겁니다. 우리나라도 범죄자들에겐 신상공개해주시고 형량은 가석방 없는 종신형이나 사형제도 부활시켜 사형에 처했으면 좋겠습니다 피해자는 피해를 본것만으로 미치고 빨딱 칠 노릇인데 보복을 두려워하고 불안해하고 있습니다.피해자를 보호해주는데도 많은 노력이 필요하다고 생각듭니다,1
user-ik8nd5hw2y,무기징역과 사형이 나오길 간절히바랍니다.,41
user-cj4je1ut9y,저렇게 범죄가 많은사람은 가중처벌로 무기징역 때려라,54
isleboy7,재판할 때 교화 가능성을 엄격히 따져서 형량을 판결해야 한다. 이런 인간은 교화 가능성이 정말 제로다. 사회와 영구 격리해야.,0
user-fk7dm1jg4i,35년할지말지 고민인것도 진짜 한심하네. 35년후에 이 놈은 복수할 마음만 가지고 35년 벼텨낼껄 . 피해자는 35년간 이제 몇년남았네 세면서 살겠지. 무기징역하든가 사형시켜라. 아니면 빨리 내보내서 시민들테 두둘겨 맞어져 불구되서 아무것도 못해야지,2
cadetkstubeyou,판사님들 제발 부탁입니다. 사형 선고해 주세요!!,0
moveon2,"그래서 선량한 우리들, 한국의 온 국민들은 다함께 법 개정을 요구해야합니다. 악법은 개정되야합니다. 국회의원들아 일해라! 법이 강력하게 바뀌어야 경찰,판사들도 제도화된다.",1
