작성자,내용,추천수
DAEBAK7,반성문 이런거 없애야함 피해자는 용서할마음이 없는데 판사에게 반성을왜해,1.3천
user-jf2nt6yq7p,신상공개하니 계속 유투브에서 댓글 사라지네요 ㅠㅠ 가해자 부산 영도구 동삼동 주공아파트 1단지 살았고 상리초등학교 다녔는데 저도 어렸을 때 임마한테 많이 맞았고 초딩시절부터 진짜 악마로 유명했습니다. 지나가다 만나면 무조건 뒷짐 지라하고 명치 가격해서 쓰러지게 만들었고 제 친구 등 수도 없이 많이 때렸으며 악마 그자체 입니다. 댓글 상단고정좀요! 절대 감형하면 안됩니다!,1.8천
hyeon1218,반성하는 척 으로 감형된다는게 너무 화가나네요. 사람쉽게안변합니다. 부디 탈옥하시고 죄가 추가되어 그안에서 평생나오지마시길 간절히바랍니다. 피해자분 멋있게 싸워주고계셔서 더마음이아프네요.. 건강 잘회복되셨으면좋겠어요 힘내세요!!,99
user-rj5jd7tl8l,전과 18범 사회와 영원히 격리가 답입니다 이번에 1심에서 12년형 받았는데 CCTV 사각지대에서 성범죄 추가로해서 형량을 30년이상 선고 받아야 됩니다..사회에 나오면 이번엔 무조건 살인 저지릅니다..판새님들 제발 판결 잘 해주시길 국민들이 바라고 있습니다,1.3천
silhouette305,나라가 얼마나 썩은거냐 저런 쓰레기가 감형받을수 있다는 희망을 가지고 편지를 쓰고 있다는게 소름이 돋네 진짜,42
user-qs2dp6ot3i,사람 인생 하나 조져놓곤 형량이 무겁다고 항소한게 얼마나 뻔뻔한지 알수가 있다 저런놈은 절대 사회에 나오지 못하게 강력하게 처벌해야됨,368
ariari_s,탄원서 꼭 작성합시다. 저런 악마와 같은 하늘에 살고 있다는게 너무나도 치가 떨립니다. 법의 엄중함을 보여주세요. 판사님들 제발...,53
suganatsu,나 태권도 5년 넘게 배웠는데 발차기를 아무리 잘해도 정신이 안들게 술취한 상태에서 중심 저렇게 못잡음 아놔 진짜 너무 빡쳐서 말하는데 저 양아치 천벌 받았음 좋겠음 저 여자분 도대체 뭘 잘못했냐 그냥 하루 잘 보내고 집에 귀가한 건데 저런 양아치 법적으로 어설프게 형량 때려서 이런 사건이 또 발생한거지 아놔,638
TV-fk7fz,피해자분께 힘내시라고 응원의 말씀을 드립니다. 재판을 진행하시기가 엄청 힘드시리라 생각됩니다. 용기를 잃지 마시고 힘내세요. 판사님들과 검사님들의 가족이 이런 일을 당했다고 생각하시고 법이 허락하는 최대한으로 형량을 먹여서 가급적 사회에 다시는 못나오게 해 달라고 방금 탄원서 제출하고 왔습니다.,13
user-eg5kw8cm9y,저런놈을 사회에 풀어 놓은 판사가 참.. 10년 후에 나와도 40대인데 또 풀어주겠지,570
