작성자,내용,추천수
marin5558,"""왜 살아있냐~죽지 그랬어~"" 판사가 한짓이 이거랑 뭐가 다르노~~ 판사 니가 진정한 살인자지!!!!",26
carrotcarrot819,우리나라 진짜로 법이 개판이구나 20년 ?? 욕밖에 안나오네 어떻게 제대로 일하는 판사가 없냐,6
user-ri9ub7wp8o,판사가 돌려차기범보다 더 악질 양심두 없는것들 저여자가 본인딸 이라두 이래판결하것냐,11
user-ck6gi6vf9m,사법계가 이건 피해자를위해 법형량을 올리고 피해자의 심리치료가 더욱 국가적으로 움직이여야합니다.. 형량 최대 40년으로 하되 그후 피해자결정으로 형량을 결정해야된다고 생각합니다,6
user-gc7qq1rw2v,저넘은 20년이지만 피해자는죽을때까지 히스테리로 살아야합니다!! 대체 도대체 누가 이런판결을 내리는건가요??,4
user-rt5kg3kq1u,판사는 가해자의 재범을 우려하지 못한 건가?,0
kkkkx4,그냥 피해자는 대한민국에서 살지 말라는 판결.... 망할 판결입니다,0
user-gg9tr9yd4p,판사눈엔 강제(?) 신상공개 된 가해자가 더 안쓰러웠던 듯...,1
jwlee2002,판사는 피의자를 위해 존재하는건가 이따위 판결을,1
user-gc7qq1rw2v,제발좀 정의를 위해 판결해주세요!! 언제까지 개판쳐놓은 판례에 의지해서 로봇처럼 판결하실건가요?? 저넘이 징역20년이면50대인데 재범100%라 봅니다! 그때 책임 우째지실건데요?,3
josejoe5405,부산고법 형사 2-1부 최환 부장판사 라는 군요,1
user-gc7qq1rw2v,국민들이여 !! 언제까지 대한민국에 나약한 판결을 이대로 두고 볼겁니까??,4
