작성자,내용,추천수
subinlee621,"맙소사!! 피해자 뿐 아니라 전 여자친구, 진술해주신 분들께 모두 보복하겠단 건데.. 무기징역이 안된게 한탄스럽습니다. 이제 정말 외국처럼 피해자분이 가해자가 어디있는지 확인할 수 있는 제도도 필요할 것 같네요",1.2천
alexj55,범죄자를 풀어줬을 때 재범을 저지르는 경우 해당 판사에게는 무거운 패널티를 줘야 한다. 저런 악마같은 범죄자는 다시는 사회에 나오지 못하도록 제대로 된 판결 바랍니다.,2.9천
user-bl2ev8ck9j,잘못을 뇌우칠줄모르고 오히려 복수라니 여자가 무슨 잘못을 했다고 복수한단 말이고 저런 놈은 사형이 답이다 본인 스스로가 이미 사회에서 해볼것 다해봐서 미련없다는데 굳이 사회로 복귀 시키지 말고 감방에서 평생 돌려차기하면서 살수있게 판사님 도와주세요~~~~~~~,405
user-pe1so6td6k,범죄자 인권 지켜주는 사람들 때문에 평범한 사람들이 인권이 없어지는 어이없는 상황이라니...인권위나 어이없는 형량을 내리는 판사들 그리고 그 법을 바꾸지 않는 국회의원들이 진정한 범인이다,4.4천
user-gd5ji8nc2t,법이 개정되어야 합니다 범죄자 옹호하는 인권은 범죄만 부축기는 행위며 사법부는 제발 악독범죄자는 무기징역 처벌해야합니다,1.1천
rl1218,죄를 반성하기는 커녕 보복과 협박성 메시지를 올리다니..저런 인간은 35년이 아닌 무기징역형을 선고해 평생 감방에서 살게 해야 한다.,4.2천
user-zx4wx5ct2s,"판사님, 일 잘 하세요. 욕먹을 일 하지마세요.",955
dmdm5923,저런인간이 다시 사회로 나오면 피해자가 더늘어나는건 뻔한일이고 사회에 혼란만 가중시킬뿐이다.... 이걸 알면서도 판사아저씨들은 사회로 내보낼것인데...참 걱정이다 만약 피해자가 판사 딸이라면? 어떻게 했을까 기대된다...,4
user-ey2sk9dx8i,전과 기록만 봐도 거의 갱생이 불가능인데? 판사는 그걸보고도 깊이 반성하고 뉘우치는걸로 보였다니 미쳤다 미쳤어,363
user-mf5eo3dq1i,법이 응당 지켜줘야 하는데 개인 유튜버가 피해자의 어려움을 알고 자신이 피해를 입더라도 돕고싶다며 나섰네. 밥버러지 같은 판사들보다 1000배는 이롭고 정의롭다,448
blueguerrilla1027,감형때린 판사님 얼굴도 좀 공개합시다.,287
heily951,"이렇게 온라인으로 모든 국민이 한 마음 모아 가해자에 대해 찾은 이유는, 사법부와 검사와 경찰이 범죄자로부터 국민을 지켜줄 의향이 없어보이기에 국민들 스스로 서로를 돕고 살 방법을 찾아낸 것이고, 이 행동을 통해 사법부가 부디 정신차리고 법의 이름으로 피해자를 보호하고 범죄자를 처단하기를 바랐기 때문이다. 하지만 사법부는 오늘부로 국민과 피해자를 완전히 배신했고 제 기능을 제 손으로 버렸다.",3
user-nm7yv9no6b,저런 악질 범죄자한테 대체 인권을 왜 따지냐. 인권은 사람한테 적용하는 거다. 전과 18범인데 교화된다고 믿는 멍청한 판사들 때문에 이런 사건이 계속 나는거다. 사람은 절대로 고쳐쓰는거 아니다. 원래 저런 놈이였으니 다시는 사회에 못나오게 해야한다.,893
rainynoon,제대로 판결 안하면 판사 신상정보 공개도 갑시다!!!!!!!!!,234
leesh8080,"검사님, 35년 구형도 처벌이 너무 약합니다. 사회에 절대 못 나오게 해야합니다.",4
op-pp4le,뻔뻔스럽게 복수??? 잘 보세요 판사님들 저런것들 출소 시키면 세상이 어찌 돌아가는지 절대 못나오게 하는 방법을 검토 하거나 사형 시켜야 합니다 결코 무시하면 안되요 저렇게 대놓고 협박하는데,512
ppukderahoma,이번기회에 이딴식으로 해서 판세가 판결내리면 쪼금 살다 나와서 보복하는 과정이 적나라하게 시간 별로 유튜브로 알려져서 피해자가 얼마나 피해를 받는지 자각하고 무언가의 불공평하고 덭붙히기해서 귀찮아서 뿌리부터 못고치는 법을 뜯어 고칠 수 있도록 하나의 운동 및 혁명이 일어나기를,88
user-yl2ys8hn1b,진짜 누구라도 저렇게 공개하지 않았으면 출소하고 진짜 피해자한테 보복했을거 아냐;; 현재 징역12년받았다는데; 전과18범에 또 범죄저지른거 보면 교화안될거 본인 스스로 증명한거니까 사형집행했으면 좋겠다ㅠ,2
cortootify,담당 판사님 제발 검찰 구형만큼만이라도 2심에서 선고 해주세요 이래야 대한민국의 악한 범죄가 조금이라도 처벌 받습니다.,3
leeinkv,"'피해자들은 용서하지 못하는데, 말도 안되는 형량을 주고 판사가 대신 용서해주는 한국' 이라는 띵언은 누가 한건지 현실이라 어이가없네.",11
user-rd9ut7nt5w,이런 악질18범 쓰레기는 사회와 영구격리를 시켜야지.....출소해서 다음에 당할놈들은 이런 판결 내린놈이길 빌어봅니다...,1
huckle127,피해자 건들면 지옥을 보게될거야. 판사는 국민의 고함이 들린다면 저인간을 무기징역 시켜라,0
user-wp5rw4wn3b,같은일이 판사와 사법부관계자 무책임한 법무부장관과 그 고위직에게 똑같은일이 가족에게 일어나길 바랍니다!!,1
user-di1hg6jf6l,저런 짐승들을 못풀어줘서 안달인 대한민국 판사들...판사들 동네에서 저놈이 살게끔 합시다. 판사들 가족이 저놈에게 당해야 정신을 차리지,0
iru-,저것보다 무서운건 가해자가 판결문받으면 거기에 피해자의 신상정보가 있고 그걸 아직도 바뀌지않다는것입니다,4
user-bj3ci4ls4p,즉시 사형집행해라....악취나는 판사놈들아,1
user-gy8se6sf7x,판사 사법부는 범죄자집단이여서 가해자편을 든겁니다. 본인들의 결정이 옳다고 생각하고 국민의 무서움을 너무 모릅니다.,2
yeon6757,판사들도 공개하라 돌려차기남아 꼭 복수하기전에 판사들 먼저 복수하라,0
rinohong9350,해코지를 하겠다는 범죄자에게 법판결이 늘 솜방망이니 이젠 정의사회구현을 cyber punisher가 나서서 응징하는게다 ‘국가가 국민의 안전과 생명을 지키지 못하는 세상에서 평범하게 보통사람으로 살고자 하는 대다수 국민들의 자구책 중 하나가 아닐까 싶다’ 각성하라~!!!,25
user-cl2up4bn3h,반성하고 후회하면 또 감형되려나? 판사님들~ 제발 가해자를위한 판사님 되지 마시고 피해자들의 심정을 뼈저리게느끼시길.,0
user-ge9cs5dw1t,목숨도 아깝지 않게 살고 어쩌고 진짜 인간이 아닌게 인간인양 꼴값떠는게 진짜 역겹네. 저런 더러운 범죄자를 계속 사회에 풀어주니 끝도없이 피해자는 생겨나고 가해자는 드럽게 뻔뻔하고.. 어휴 오늘도 판사의 솜털같은 판결로 쑥쑥 악마들이 자라고 있다.,162
h1_zzang,"범죄자에겐 두려움을 느끼게 해줄 필요가 있는데 , 징역으론 어림없어요 죽기 직전까지 패고 이빨을 부수고 발가락을 자른 후 온 몸에 뼈를 뒤틀려 놔야 합니다",0
user-fg6iy7zh9i,저런 쓰레기가 반성을 하고 있다는 이유로 12년 선고로 감형을 해준 판사님들~~~~~~~~~~~ 너네 자식이나 손주들이 있으면 꼭 같은 피해들을 받는 날을 기대하겠습니다,0
user-rg3ik1jc6w,법과 판사가 개판이라. 어떤 판결이 나올지 걱정이다..,1
user-ms8im9be5e,범죄자한테 대체 인권을 왜 따지냐. 인권은 사람한테 적용하는 거다. 전과 18범인데 교화된다고 믿는 멍청한 판사들 때문에 이런 사건이 계속 나는거다. 사람은 절대로 고쳐쓰는거 아니다. 원래 저런 놈이였으니 다시는 사회에 못나오게 해야한다............................,104
rustyd7413,"됐고 담당판사는 미국의 판례를 많이 참조하기 바란다,아주 무겁게 형량 내리고 사회와 영원히 격리시킨다",36
user-kj3ev1jj2q,조사하는 형사하고 판사앞에선 세상 착한사람이고 뒤돌아선 인간쓰레기인 인간들 정말 많아요 특히 교도소에 많지요,0
lukious1102,사회에 나가서 보복 못하게 무기징역 시켜라 애초에 전과 18범을 사회에 방생시키는게 말이 안됨 새로운 피해자만 더 늘 뿐이다 법좀 뜯어고쳐라,0
