작성자,내용,추천수
novaj.846,속이 시원합니다!!!!!! 판사들과 사법부가 자꾸 이따위로 일 안 하면 이런 사적 정의구현이 늘어날수밖에 없다. 당연한 수순이다. 언제까지 선량한 시민들이 억울하기만 해야하나? 판사들은 이런일들이 늘어나고 끝내 사적인 보복을 당하기 전에 제대로 해야할것이다.,24
user-mp5ew6kf2y,저런 쓰레기를 사회에 무분별하게 풀어놓는 사법부는 진짜 반성하고 각성하세요 판사도 사회분이기와 흐름을 읽어기면서 판결을 내려야지..이사건 어떻게 판결나나 한번 지켜봅시다!,129
soyounglee3199,신상 공개 결정 쉽지 않으셨을텐데 공익을 위해 위험을 무릅쓰고 하신점 감사드립니다. 이건 국가가 해야하는데...에효....정말 우연히 피해자의 영상을 보고 피해자님 걱정을 많이 했습니다. 잘 회복 되시는거 보고 인제 조금 마음이 덜 무겁네요. 저는 카라큘라님이 피해자님 고통을 분담하신다는 말씀 듣고 마음이 먹먹했어요. 정말 깊고 깊은 응원에 말씀과 감사하고 존경합니다란 말씀을 드리고 싶어요. 표예림님 피해자님 카라큘러님 모두 힘내시고요. 제발 판사님들 꼭 법적인 처벌 제.대.로 해주세요!!!!!!!!,2.6천
samsung21c,감사합니다. 정치인.변호사.경찰 대통령.판사.기타 공무원 보다 더 훌륭하십니다. 작은 돈이지만 그냥 지나칠수 없네요. 최고~~~,126
zxcvzyo,신상공개 쉽지 않으셨을텐데 또 다른 피해자가 나오지않게 용기내어 공론화시켜주셔서 감사합니다! 가해자는 이번기회에 제대로된 판결로 처벌까지 이뤄져서 사회에 나오지 않았으면 좋겠습니다ㅠ 응원하겠습니다!,2
user-em8pp8ft5y,경찰. 검사. 판사보다 더 훌륭한 일을 하고계시네요. 응원합니다. 항상 피해자들과 함께 해주시길 바랍니다.,5
parkjg1336,우리나라 사법부 너무 웃껴… 피해자는 용서한적이 없는데 판사 너네들이 뭔데 반성문 써오면 형량을 낮춰주냐???,4
user-or9xp3lg6h,진짜 존경스럽습니다........저런 인간 같지도 않은것들을 우리사회가 인권이랍시고 보호하고 있는 현실이 참담하네요....판사들은 대체 뭐하는 인간들인가? 그저 교과서 판례 등으로 세상 물정 모르는 xxx 들이 아닌가?,5
user-yu4iu5ol8e,판결 진심으로 지켜 봅니다. 이 사건은 특히 대한민국 국민으로서 그래야 한다고 봅니다.,3
user-rl6cv2ys5o,무기징역 때려야합니다 계속 죄 저지르는 사람을 왜 풀어주나요 대체!!!,11
user-ie5pb1ic4h,"국개의원, 경찰, 검사, 판사가 하지 못한 일은 일개 국민 한사람이 해냈다... 응원힙니다!! 파이팅!!",30
user-zv6bc1kf6d,판사들 정신차려라. 판사자격이 의심스럽다.,3
solace8795,공공의 이익을 위해 정말 잘 하셨습니다. 상습적인 흉악범죄를 막는데는 시민들이 보고 대처할 수 있도록 얼굴 공개만한 방법이 없습니다. 진술이 거짓말로 가득한데 진심으로 뉘우치고 반성하고 있다는 판단은 어떤 바보같은 판사가 내린겨?,2
koko-hd3xt,그러니까 항상 나오는얘기지만 판사가 문제인거야. 반성문몇장쓰고 말로만 뉘우쳤다면 판사가 지 개인적인 판단으로 형을 후려쳐 깍는게 말이되냐구.. 반성문써서 형깍는거 없애야된다고 본다.,4
meme8438,ㅋㅋㅋㅋ 진짜 전과 18범한테 감형..? ...... 20년도 적은데 8년이나? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 이정도면 사법부가 범죄자 집단인거 아닌가..?,8
user-dw4ye8kl5z,"많은 범죄를 저지르고 많은 처벌을 받았음에도 저렇게 범죄를 계속 저지른다는것은 감옥을 나와서도 보복을 할 확률이 높고, 또 다시 범죄를 할 경우가 있는 사람입니다.저런 사람들때문에 화나기도 하고 무섭기도 합니다. 제발 무기징역으로 넣거나 30년 이상의 징역이 나왔으면 좋겠네요 물론 우리나라에서 그럴 확률은 희박하지만요ㅎ",1
user-hf7hm6kj4t,이분이 진짜 판사고 검사고 경찰이다 제발 피해자가 고통안받게 판겅사 분들아 부탁좀하자,6
user-jt7ez6er7r,지능이한참 모자란거같은 판결을내리는 저런판사 1000명 있는것보다 이런 용기있는 한분이 우리사회에 정의를 잡아줍니다,1
Sam-fo4wn,"8년이나 줄여준 판사는 누구며, 흉악범의 뒤를 누가 봐 준걸까?",4
user-zv6bc1kf6d,국민들의 안전을 위한다면 무기징역으로 완전 사회로부터 격리시켜야합니다.,0
user-nl2tl4ep2u,저렇게 끊임없이 범죄를 저지르고 사는데 반성한다고 감형하는 판사들... 도대체 판사들은 생각이라는걸 하고 판결하는건지...아니면 사건 내용 조차 제대로 숙지하고 있는건지 의심스럽네요.. 흉악범을 공개하는거 쉽지 않았을텐데..용기가 정말 대단하시네요,1.1천
user-xt6wz7qt7r,전과가 저리 많은데 항소도 매번 대체 반성이라곤 개미똥만큼도 없는데 취미가 감형하려고 죄를 짓나;진짜 피해자 여성분이 너무 짠하다 전 1년전 머리에 소주병맞고 피범벅이 된 날 아직도 피비린내가 잊혀지질 않네요 감정변화나 우울증 피해망상이나 정신적으로도 문제가 많이 생겼는데 오죽하실까..........힘내세요.,0
user-xk4vo4bi3q,정말 대단하다. 범죄 스펙을 정말 열심히 쌓아온 오신분이군요. 판사님들은 정말 멀 보고 반성했다고 하는거죠?,1.7만
whatsthetoday,강도상해에 폭행등 병합되었는데도 징역6년밖에 안받았던건 충격이네요,0
user-qs6xw5rq4g,판사는 전과를 안읽어보는건지? 교화 의지가 전혀없는데 사회에 계속 풀어서 왜 안타까운 피해자를 늘리는건지 답답합니다 감형이아니라 최대한 엄중히 처벌바랍니다,304
zeeaegiyoo9277,"도대체 저런 악마의 범죄 행위에 감형 조치를 한 판사는 누구일까, 그게 궁금합니다! 그런 쓰레기 법관이 있으니까 쓰레기 범죄자들이 끊임 없이 생겨나는 것 아닐까요?",1
user-mf5eo3dq1i,1년마다 주구장창 범죄를 저질러 왔는데 어떻게 사회에 버젓이 나돌아다니면서 이런 피해를 당하게 하는건지.. 판사들 진짜 책임제 절실하네요.,389
user-qo4ol9ee5c,정부가 해야될 일을 대신 해주셨네요. 지지하고 응원합니다. 피해자보다 가해자 인권이 보호되고 법과 판결까지 넘 약해서 감옥에 있어야 할 인간쓰레기들이 판을 치네요.,597
ejej6589,이영상을 만드신 분! 용감하고 정의로운 이 카라큘라님에 안전을 위해 기도하겠습니다. 참으로 휼륭한 젊은 분이세요. 구독과 좋아요 꾸욱 눌럿어요. 힘 내시고 한국사회에서 경찰과 검사들도 못한 일을 하신 카라큘라 탐정님께 박수를 보냅니다.,1
user-yd9yd4dm1w,사고치고 반성하고~ㅎ 한심한 판사들 땜에 사회가 이모양이꼴인듯,2
user-roharoun,님이 진정한 이시대의 판사님입니다.,4
user-gp5dv2yl8d,검사 경찰들이 목숨걸고 잡아들이면 방구석에서 법책만 뒤적거리는 판사들이 솜방망이 처벌만 내리는 잘못된 사법부 아닙니까??? 범인 한번 잡아들이지 못하는 판사들이 최종 판단을 한다는게 어이없네요~~~그야말로 꼴리는대로 고무줄 판결이 비일비재하자나요,2
iiiiml8452,미쳤네 짐승을 왜 사회에 풀어둠???? 판사들 진짜 뭐함? 저 짐승 풀어둔 판사들이랑 저 놈만 같은 공간에 가둬두고싶다,0
