작성자,내용,추천수
joonto,판사님이 18번이나 대한민국 법을 교묘하게 피하는 방법을 친절하게 가르쳐 주었군요. 죄를 낮추는 방법을 학습한 범죄 그 학습을 친절하게 전과18범에게 알려주신 판사님들 정말 최고이신것 같아요. 이상하게 범죄자를 감싸고 억울한 사람들은 망치로 졸라게 까는 대한민국,3.3천
user-uj4ei4lo2f,와 뉴스로 들은것 보다 훨씬 더 심각하구나. 오른쪽 다리가 마비될정도의 피해라니.. 국민의 이름으로 판사님에게 요구합니다. 이 범죄자를 평생 사회와 격리시켜주시기 바랍니다,1.6천
hello._.483,"판사님.. 18번이나 기회를 줬으면 이제 그만 포기하고 사회에서 격리시켜주세요. +대댓글 다시는 분들 지역, 성별 비하 발언 하지 말아주세요. 그리고 정치 이야기도요. 그저 어디나 범죄를 저지르는 인간들이 우리의 안전을 위협하니까 제대로 처벌받길 바라는 마음에서 단 댓글입니다. 우리 모두 안전한 세상에서 살고 싶은거 잖아요? 전 그저 죄를 지은 사람이 그에 합당한 벌을 받아서 저와 제가 사랑하는 사람들이 살아갈 세상이 안전해지기를 바랄뿐입니다.",6.3천
Mincoope,12년 때린 판사 가족에게 꼭 복수하길 바랍니다.,1.7천
ruru6469,폭행장면 보니 욕나오네... 소각되어 마땅한 저런 놈이 같은 인간이고 같은 지구에서 함께 살아가고 있는 현실이 너무 안타깝다...법원에서 무기징역 선고해주면 좋을텐데... 너무나도 큰 고통을 받으셨을 피해자분 부디 남은 삶 속에 평온과 행복만 가득하시길 바라겠습니다!!,136
user-vj9lm2kc7g,피해자는 용서안하는데 대체 판사님들은 무슨기준으로 용서하시는건지 궁금합니다..과연 판사님들 자녀분들이 저랬어도 그랬을까 싶네요,1천
linece7333,피해자분 옷차림도 머리스타일도 사건 전과 확 달라진거 보니 더 가슴이 아프네요. 피해자 잘못은 아무것도 없는데 정말 어떡해요.. 무서워서 살겠나요? 제발 사법부에서 각성하고 명백한 성폭행 살인미수로 판결 내려주면 좋겠습니다.,6천
Jennifer-zi6ze,정말 분노가 치밀어 오르네요...이런 세상에 어떻게 살라는 겁니까. 판사는 제정신이랍니까!!!,1천
iyou2445,피해자분 용기에 감사할 따름입니다. 처음 언론에 보도됐을 땐 저도 묻지마 범죄라고만 알고 있었는데.. 피해 실상을 파헤치는 게 시작이었지만 그 시작이 그알에 닿아 범죄자가 사회에서 무조건 격리시켜야 할 쓰레기임을 알리게끔 하셨네요. 관심을 가지는 게 상식적이고 무거운 형량에 도움이 되길 바라며 결과 꼭 지켜보고 지켜드릴게요..,383
user-cc8xe6ko7j,피해자 분 너무 용기도 많고 노력하시는 모습에 눈물이 납니다. 가해자는 꼭 천벌 받고 무기징역 살길.,190
kyunghee6197,탄원서 제출했습니다 피해자분 꼭 몸과 맘 모두 건강하게 회복하길 기도합니다 저런 사람은 스스로 멈추지 못 합니다 사회 공동체나 자신을 위해 영구 격리해야 합니다 판사들 제발 정신 차리고 판결 하십시요.,197
kojeeyoungko6607,"피해자분, 감히 말씀드리기 어려울 정도로 힘드셨을텐데 건강 회복하시기 위해 노력해주셔서 진심으로 감사드리고, 힘내주세요.. 존경하는 재판장님 가해자는 교정시설에 가둬놓기도 아깝네요. 제발 정상적인 사회에서 살아갈 수 있게 영원히 격리시켜주세요. 서명운동을 해야하나 ㅠㅠ",205
frfkkkt8990,경찰은 cctv보고도 피해자를 끌고가서 7분동안 피해자가 뭘했는지 예상이갈텐데 왜 cctv를보고도 dna검사를 안한거죠?? 한달뒤에 넘게했다는건 경찰이 일을안한거 아닌가요? 부산진구 경찰청은 해명좀해보세요,402
universestory7018,신상공개는 당연한거고 애초부터 이런 사건을 일어나게 만든 법의 현실과 제도도 심각한 문제라고 생각합니다. 어떻게 저렇게 상습적 재범이 있는 사람을 사회에서 격리하지 않고 이전 사건으로도 짧은 형량으로 풀려난건지 너무 이해가 안되네요.. 심지어 재범 위험성 평가 점수가 엄청 높다고 수치적으로도 나와 있는데 이걸 그냥 놔둔다는거 자체가 법을 벗어난 방치가 아닌지 다시 한번 생각해볼 일인거 같네요. 인권이라는 명분으로 가해자를 보호하는 이런 말도 안되는 법.....너무 답답합니다.,11
zipsabottle5861,제발 판사님 전과 18범의 악어의 눈물에 선처하지 말고 피해자분의 억울함과 원통함을 풀어주세요... 제발..,330
user-zu8st4sl7j,"세연씨는 건강해지고, 행복해지길 진심으로 기도드리며, 가해자는 무거운 형량으로 영원한 사회와의 격리가 되기를 기도합니다...",122
user-wi7mm7qp5j,교도소 들어갔다 나왔어도 교화가 안되는데 왜자꾸 세금들여 밥먹여주고 재워주고 몸키워 내보내서 또 다른 피해자를 만드는건지..판사님들 잘 보시라..당신들이 만들어 내놓은 저 괴물을~~!!!,104
user-pn4tb1fz4n,피해자분 정말 살아계셔서 감사합니다. 정말 삶을 살아주셔서 감사합니다. 작지만 도움이 되고자 탄원서 제출했는데 큰 도움이 되셨으면 좋겠습니다. 가해자는 무기징역을 받아도 그 삶이 아까운 사람입니다. 가해자가 마시는 공기가 아깝습니다.,135
user-bw2nw9ql1x,10개월동안 얼마나 괴롭고 원망스러우셨을까..저 악마는 사회와 격리 시켜주세요.법원의 엄중한 판결 기다리겠습니다.,46
user-pn8ej3rm9q,법 판결이 어떻게 나오는지 우리 모두 두눈 부릅뜨고 지켜보자구요!! 피해자분 힘내세요 꼭 이겨내시고 건강한 모습으로 더 당당하게 살아가시기를 응원드립니다!!,100
laphaelajung5582,사회 부적응자는 사회로 돌려 보내지 맙시다 . 전과 18범에게 뭔 기회를 더 줘야하는지. 혹 이번 판결의 결과가 사회로 돌려 보내는 판결이 내려 진다면 판결한 판사님 집에 함께 살게하고 책임 지셔야 함. 법이 양심이 있어야지. 대한민국 법은 너무 무책임 하다.,1만
kimmandu0915,평범한 일상을 잃고 처참해져버린 삶을 살고 있는 피해자분을 보니 너무 마음이 안타깝습니다... 우리나라의 법과 수사체계가 더 확실하고 재범률을 줄일 수 있게 형량이 강력해져서 사회적 약자 뿐만 아니라 남녀노소 모든 이들이 안전한 삶을 살 수 있게되면 좋겠습니다.,34
serenap5306,제발 엄벌하고 신상공개해주세요. 이렇게 무방비로 아무 죄없이 당하는 사람들이 없도록 제발 법좀 강하게 만들어주세요. 충동적이든 계획적이든 저런 행위가 무슨 말로 감형할수있나요.,2
user-bx4uq9zc4q,내가 더 다쳤어야하나 아니면 죽었으면 파장이 더 컷을까..라는 피해자분의 말씀이 너무 마음 아픕니다.... 수사 제대로해서 피의자 꼭 높은 형량 받게 해주세요,4.2천
hibara0607,피해자분의 빠른 쾌유를 빕니다 꼭 제대로 된 판결으로 피해자분같은 억울한사람이 대한민국에 없길 바랍니다,17
wltkddl22,20년 살고 나오면 50대 초반인데.. 인생의 절반을 감옥에 있었는데 무서울게 있겠음? 저런놈은 나오자마자 바로 또 사고친다. 제발 무기징역 또는 사형이 답이다.,7
user-bf2vb7dm7q,'소년원 6번 송치 + 강도상해죄 6년 + 주거침입 2년' 이런 전과가 있는데도 불구하고 이번 살인미수혐의가 1심에서 고작 12년 밖에 안나온다는게 말이 되는건가요 판사님.....와중에 검찰은 20년을 구형했다는데 도대체 왜 그러세요?? 아니 진짜 왜??,3.5천
user-dj1si7wf4e,프로파일러분이 정확히 말씀해 주셨습니다. 부디 판사님께서도 형량 정확히 해주셔서 피해자분이 조금이라도 편해지셨으면 좋겠습니다.,15
user-rl9oy5di7u,강력하게 처벌해 주세요 무기징역도 결국 나올 수 잇으니깐.. 사형을해주세요. 판사님~ 죄없는 사람이 희생되고 사람이 무서워서 공포에 떠는 세상이 되지 않게 해주세요.,7
user-gx1de7jx8o,사람답게 살려면 지가 술을 끊었어야지 뭔 말도안되는 개소리를 받아 적고잇냐 진짜 똑바로 다시 조사하고 형량 올려라;; 모텔 안에서 침대로 문 막고 커튼치고 햇다면서 무슨 자수;; 진짜 보는 내내 줘패버리고싶다 판사놈아 똑바로 생각하고 판단해라,1
soyeon117,본인 스스로 가벼운 형량 유추하는 모습에서 화가나서 소름 끼칩니다 피해자분.. 어떤 말로 위로가 될지 모르겠습니다 하루빨리 안정 찾으시길 바랍니다,16
user-dx5ry8rl4j,내가 판사라면 저런 상습범은 무기징역 이다 저런 놈들을 영원히 사회에서격리해서 선량한 국민들이 안심하게 살수있는 권리도 있는겁니다~ 저러 놈들을 사회에서 영원히 격리 시키는 법과 정으로운 판사님이 많이 나왔으면 한다 씁쓸하네요~,11
mjkim6262,사회와 영구 격리해야 합니다. 이미 여러차례의 전과가 있다면서요.. 그 무엇보다 피해자분의 트라우마와 앞으로의 인생을 생각하면.. 국민들이 판결 지켜볼 것입니다.,4.8천
