영상제목,채널명,링크
800억 원대 유사수신 카페 운영자에 징역 10년 / KBS  2023.06.24.,KBS News,https://www.youtube.com/watch?v=Ynbwt1RrAo0&pp=ygUG7KeV7Jet
"'연쇄살인' 권재찬, 1심 사형→2심 무기징역 '감형' / JTBC 뉴스룸",JTBC News,https://www.youtube.com/watch?v=2Ulei116wXU&pp=ygUG7KeV7Jet
'연쇄살인' 권재찬 2심서 무기징역 감형…유족 '오열' / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=1xJQk5RmMjg&pp=ygUG7KeV7Jet
헤어진 연인 살해한 40대 남성…2심서 징역 30년 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=__zXfjOScMk&pp=ygUG7KeV7Jet
이은해·조현수 범인도피교사 항소심도 징역 1년 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=wffQ5cdQgIY&pp=ygUG7KeV7Jet
"'연쇄살인' 권재찬, 사형에서 무기징역으로 감형된 이유는? [MBN 뉴스7]",MBN News,https://www.youtube.com/watch?v=55I6GfERnVM&pp=ygUG7KeV7Jet
징역가면 꼭 사야할 10가지 품목에 대해 알아보자. (2023년 최신판),과자형tv,https://www.youtube.com/watch?v=XdEItJ6w3tQ&pp=ygUG7KeV7Jet
"[오후뉴스 모음집] '1심 사형' 연쇄살인 권재찬, 2심서 무기징역 감형ㅣ법원, 한상혁 '면직집행정지' 기각…""신뢰 저해 우려"" / OBS 경인플러스",OBS뉴스,https://www.youtube.com/watch?v=AL-J2vxPkd8&pp=ygUG7KeV7Jet
"시진핑 풍자하면 처벌?…중국, 내달 1일부터 '반간첩법' 시행 / JTBC 뉴스룸",JTBC News,https://www.youtube.com/watch?v=g1UK0Xlpcy0&pp=ygUG7LKY67KM
비판 기사 검색도 처벌?‥중국 '반간첩법' 주의보 (2023.06.23/뉴스데스크/MBC),MBCNEWS,https://www.youtube.com/watch?v=9c1wyJ8C8fI&pp=ygUG7LKY67KM
中서 사진 잘못 찍었다가 간첩으로 처벌될 수도...여행 때 주의해야 / YTN,YTN,https://www.youtube.com/watch?v=8uMlvbyc8g4&pp=ygUG7LKY67KM
'교육 밖' 수시에 사교육 찾는다…걸려도 솜방망이 처벌 / SBS 8뉴스,SBS 뉴스,https://www.youtube.com/watch?v=4m2SDTfL9yo&pp=ygUG7LKY67KM
"4명 중 1명은 또 주가조작…""처벌 강화가 답"" / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,https://www.youtube.com/watch?v=tQwfCB-tVPk&pp=ygUG7LKY67KM
中 비판 기사 검색만 해도 간첩행위 처벌 소지...여행시 주의해야 / YTN 사이언스,YTN 사이언스 투데이,https://www.youtube.com/watch?v=tuE4oPxfXW0&pp=ygUG7LKY67KM
