영상제목,채널명,링크
"이은해·조현수 무기징역 구형…마지막까지 ""내가 안 죽였다"" 항변 / JTBC 사건반장",JTBC News,https://www.youtube.com/watch?v=g5foVMjLeto&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"[뉴스큐] 檢, 이은해·조현수 '무기징역 구형'...""먹잇감 취급"" / YTN",YTN,https://www.youtube.com/watch?v=9TA7WzyKe3U&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
'계곡 살인' 이은해 오늘 결심 공판...사형 구형? / YTN,YTN,https://www.youtube.com/watch?v=87IrYqcqBtI&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
[에디터픽] '계곡살인' 이은해 무기징역·조현수 징역 30년 선고 / YTN,YTN,https://www.youtube.com/watch?v=Sw8p1N_zsJY&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"'계곡살인' 이은해 무기징역 구형…이씨 ""남편 안 죽였다"" / 연합뉴스 (Yonhapnews)",연합뉴스 Yonhapnews,https://www.youtube.com/watch?v=VLhKhvcohbU&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"檢, '계곡살인' 이은해·조현수 무기징역 구형...이은해 ""하루하루가 지옥, 안 죽였다"" / YTN",YTN,https://www.youtube.com/watch?v=7pyqx7uyeYk&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"'계곡 살인' 무기징역 구형…이은해, 울먹이며 최후 진술 / SBS",SBS 뉴스,https://www.youtube.com/watch?v=2mfZCIlxJm8&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
검찰 ‘계곡살인’ 이은해·조현수 무기징역 구형 / KBS  2022.09.30.,KBS News,https://www.youtube.com/watch?v=kvvjT4DDRNY&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"檢, '계곡살인' 이은해·조현수 무기징역 구형...이은해 ""하루하루가 지옥, 안 죽였다"" / YTN",YTN,https://www.youtube.com/watch?v=W9nZRxpRIpE&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"[단독] '계곡 살해' 이은해 마지막 문자 ""나 구속될 거 같아""",뉴스TVCHOSUN,https://www.youtube.com/watch?v=hBlzILx0kEU&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
'계곡 살인' 피의자 이은해 · 조현수 구형 연기 / SBS,SBS 뉴스,https://www.youtube.com/watch?v=k4nlzgnZjCA&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
법정서 또 불거진 '작위·부작위' 논란…'계곡살인' 이은해 구형 연기 [MBN 뉴스7],MBN News,https://www.youtube.com/watch?v=fDjHoKFm9aU&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
'계곡 살인' 이은해·조현수 오늘 2심 선고…검찰 무기징역 구형/1심선 이은해 무기징역·조현수 징역 30년/[이슈] 2023년 4월 26일(수)/KBS,KBS News,https://www.youtube.com/watch?v=kUuWSKf_ZpM&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"이은해·조현수 무기징역 구형‥""피해자를 먹잇감 취급"" (2022.09.30/뉴스데스크/MBC)",MBCNEWS,https://www.youtube.com/watch?v=j0uLyP6ADXY&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
이은해 구형 미뤄져…'작위·부작위' 혼란 여전 [MBN 뉴스와이드 주말],MBN News,https://www.youtube.com/watch?v=HoSGKzTmL4Y&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"'계곡 살인' 이은해 무기징역 구형…이은해 ""죽이지 않았다"" [MBN 뉴스7]",MBN News,https://www.youtube.com/watch?v=uQ997cwYwic&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"""죽이려 안 했다"" 끝까지 부인…이은해 무기징역 구형 / SBS",SBS 뉴스,https://www.youtube.com/watch?v=tasbEruq5VQ&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"'계곡살인' 이은해 구형 연기…법원, 검찰에 보완요구 / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,https://www.youtube.com/watch?v=s2ToOMQzSxo&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"'계곡 살인' 이은해 2심도 무기징역, 조현수 징역 30년 선고…1심과 같아/직접살인 아닌 간접살인/[속보] 2023년 4월 26일(수)/KBS",KBS News,https://www.youtube.com/watch?v=4V_a1rTMSG4&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"“한탕주의 빠져 남편 살해”…檢, 이은해·조현수에 무기징역 구형 | 뉴스A",채널A 뉴스,https://www.youtube.com/watch?v=MqQFtgCXiQA&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
