영상제목,채널명,링크
"""모두가 절 죽였습니다"" 공군은 어떻게 이예람 중사를 벼랑 끝으로 몰아갔나 | 짧은 그알",그것이 알고싶다,https://www.youtube.com/watch?v=krjCFQj1aqM&pp=ygUJ7J207JiI656M
"""군을 믿어서는 안 됐다""... 고 이예람 중사 부모 인터뷰 - 뉴스타파",Newstapa,https://www.youtube.com/watch?v=qGU9Mk_AH90&pp=ygUJ7J207JiI656M
"""그만 만지면 안 돼요?"" 애원에도 집요한 추행…공군 중사 유족 측, 블랙박스 공개 (현장영상) / SBS",SBS 뉴스,https://www.youtube.com/watch?v=I7TbKtK1-5w&pp=ygUJ7J207JiI656M
[속보] ‘故 이예람 중사  사건 수사 개입' 전익수 전 공군 법무실장 1심서 무죄/2023년 6월 29(목)/KBS,KBS News,https://www.youtube.com/watch?v=5-kbGoa7ciw&pp=ygUJ7J207JiI656M
"[현장] '故이예람 사건 개입' 전익수 1심서 무죄…유족 ""처벌할 법 없다니"" 눈물 /2023년 6월 29일(목)/KBS",KBS News,https://www.youtube.com/watch?v=-zVV1wf5uW4&pp=ygUJ7J207JiI656M
"故이예람 중사 사건의 가해자 38명, 처벌은 단 4명 뿐? | 그알 비하인드",그것이 알고싶다,https://www.youtube.com/watch?v=UwMA1yyl2Q0&pp=ygUJ7J207JiI656M
故 이예람 중사 성추행 가해자 '감형'…유족 끝내 실신 / SBS,SBS 뉴스,https://www.youtube.com/watch?v=v1ExbB5aKvU&pp=ygUJ7J207JiI656M
"""이예람 중사 사건 수사 실패 이유는 국방부의 제식구 감싸기"" - 뉴스타파",Newstapa,https://www.youtube.com/watch?v=UgUr5C495JA&pp=ygUJ7J207JiI656M
이예람 중사가 숨진 그 부대에서‥여군 부사관 또 숨진 채 발견 (2022.07.19/뉴스데스크/MBC),MBCNEWS,https://www.youtube.com/watch?v=U2taaNc-mtY&pp=ygUJ7J207JiI656M
"'이예람 중사 추행' 가해자 징역 7년 확정...""법, 가해자에게만 따뜻"" / YTN",YTN,https://www.youtube.com/watch?v=IquPMApFsVo&pp=ygUJ7J207JiI656M
故 이 중사의 마지막 메시지 - 공군 성추행 사망 사건 - 전반부 - PD수첩 MBC210629방송,MBC PD수첩,https://www.youtube.com/watch?v=C_0-JoQihm0&pp=ygUJ7J207JiI656M
‘고 이예람 중사 성추행’ 가해자 2년 감형…유족 오열·실신 - [현장영상] / KBS  2022.06.14,KBS News,https://www.youtube.com/watch?v=zYkf7ChXjyk&pp=ygUJ7J207JiI656M
故 이예람 중사의 오빠가 만든 추모곡 '기억할게'ㅣ그알PICK,그것이 알고싶다,https://www.youtube.com/watch?v=qwBaORtsxrI&pp=ygUJ7J207JiI656M
[자막뉴스] 옷 들추고 추거침입 시키고…고 이예람 중사 그 부대서 또 '엽기적 사건' / JTBC News,JTBC News,https://www.youtube.com/watch?v=Vq3MmPzqHlg&pp=ygUJ7J207JiI656M
故이예람 중사가 숨진 방을.. 강하사에 숨기고 배정 [뉴스.zip/MBC뉴스],MBCNEWS,https://www.youtube.com/watch?v=R0fyiUwUku4&pp=ygUJ7J207JiI656M
"사망 여군, 故 이예람 중사 쓰던 방 알고 충격…안내 없었다 | 뉴스A",채널A 뉴스,https://www.youtube.com/watch?v=OOzz3gay448&pp=ygUJ7J207JiI656M
故 이 중사의 마지막 메시지 - 공군 성추행 사망 사건 - 후반부 - PD수첩 MBC210629방송,MBC PD수첩,https://www.youtube.com/watch?v=m_skMla1Zps&pp=ygUJ7J207JiI656M
극단적 선택 전까지…남편과 SNS 대화 봤더니 (2021.06.12/뉴스투데이/MBC),MBCNEWS,https://www.youtube.com/watch?v=JYu7y2wgjGQ&pp=ygUJ7J207JiI656M
‘고 이예람 사건’ 전익수 무죄…유족 “처벌할 법이 없다니” [9시 뉴스] / KBS  2023.06.29.,KBS News,https://www.youtube.com/watch?v=_esMSXeyDeI&pp=ygUJ7J207JiI656M
"""상담관은 안 올 거야""…이 중사의 생전 육성 (2021.06.15/뉴스투데이/MBC)",MBCNEWS,https://www.youtube.com/watch?v=d-HbFGPVDuE&pp=ygUJ7J207JiI656M
"""코로나 확진자와 입 맞춰라""...고 이예람 중사 근무한 공군 부대 또 성추행 / YTN",YTN,https://www.youtube.com/watch?v=DQIL_VyzyUk&pp=ygUJ7J207JiI656M
"""살려주세요"" 외쳤던 고 이예람 중사 유족, 항소심 결과에 끝내 실신 / SBS / 모아보는 뉴스",SBS 뉴스,https://www.youtube.com/watch?v=bqST70bvR1o&pp=ygUJ7J207JiI656M
"""딸아, 특검이 임명됐구나""…장례 못 치른 고 이예람 중사 1주기 / JTBC 뉴스룸",JTBC News,https://www.youtube.com/watch?v=NHZstMQh8Cs&pp=ygUJ7J207JiI656M
"""코로나 확진자와 입 맞춰라""...고 이예람 중사 근무한 공군 부대 또 성추행 / YTN",YTN,https://www.youtube.com/watch?v=3HG_X9-gV6A&pp=ygUJ7J207JiI656M
"결국 쓰러진 유족…고 이예람 공군 중사 성추행 가해자, 징역 9년 (현장영상) / SBS",SBS 뉴스,https://www.youtube.com/watch?v=pItuXQuJOnQ&pp=ygUJ7J207JiI656M
"'고 이예람 사건' 전익수 공군법무실장, 대령으로 강등 (2022.11.26/뉴스데스크/MBC)",MBCNEWS,https://www.youtube.com/watch?v=_qLEbM_DasE&pp=ygUJ7J207JiI656M
"고 이예람 중사 특검팀, 공군본부 등 압수수색 (2022.07.19/뉴스데스크/MBC)",MBCNEWS,https://www.youtube.com/watch?v=b8hlSdse3Zs&pp=ygUJ7J207JiI656M
"'故이예람 사건' 전익수, 준장→대령…초유의 장군 강등",뉴스TVCHOSUN,https://www.youtube.com/watch?v=fNZ3uuJrXLo&pp=ygUJ7J207JiI656M
