영상제목,채널명,링크
"'연쇄 살인' 권재찬, 사형에서 무기징역으로 '감형' / SBS",SBS 뉴스,https://www.youtube.com/watch?v=fuCYxjxncZg&pp=ygUJ6raM7J6s7LCs
"징역 15년 출소후 또 범행, - 연쇄살인범 권재찬",김복준의 사건의뢰,https://www.youtube.com/watch?v=BryW4nQsL6Y&pp=ygUJ6raM7J6s7LCs
"'연쇄살인' 권재찬, 1심 사형→2심 무기징역 '감형' / JTBC 뉴스룸",JTBC News,https://www.youtube.com/watch?v=2Ulei116wXU&pp=ygUJ6raM7J6s7LCs
연쇄 살해 52살 권재찬‥강도·살인으로 15년형 살고 또 (2021.12.09/뉴스데스크/MBC),MBCNEWS,https://www.youtube.com/watch?v=U1HPzr6GhyI&pp=ygUJ6raM7J6s7LCs
'연쇄살인' 권재찬 2심서 무기징역 감형…유족 '오열' / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=1xJQk5RmMjg&pp=ygUJ6raM7J6s7LCs
"[반장픽 모아보기] '연쇄살인' 권재찬, 1심 사형→2심 무기징역…""판사 머릿속 보고 싶다"" 오열한 유족 / JTBC 사건반장",사건반장,https://www.youtube.com/watch?v=NA0OyTpuWbA&pp=ygUJ6raM7J6s7LCs
"암매장 '연쇄 살인' 권재찬 1심 사형 선고…""교화 불가능"" / JTBC 사건반장",JTBC News,https://www.youtube.com/watch?v=GBZ04nv1Iq8&pp=ygUJ6raM7J6s7LCs
'지인 연쇄살인' 권재찬 1심 사형→2심 무기징역 감형 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=7AwPM68S0Ck&pp=ygUJ6raM7J6s7LCs
연쇄살인이지만 강도는 아니다? 권재찬 재판서 '일부 혐의 부인' / JTBC 사건반장,JTBC News,https://www.youtube.com/watch?v=6Y-QImzQilI&pp=ygUJ6raM7J6s7LCs
"[자막뉴스] ""권재찬 의심된다"" 신고하자…범죄기록 확인도 않고 권재찬에 전화한 경찰 / JTBC News",JTBC News,https://www.youtube.com/watch?v=RDq8jjEjLhQ&pp=ygUJ6raM7J6s7LCs
"'권재찬' 2심서도.. ""판결에 만족한다?!""(김복준, 홍유진) - 5월 8일",김복준의 사건의뢰,https://www.youtube.com/watch?v=ctWI0He3IaQ&pp=ygUJ6raM7J6s7LCs
"[사건의뢰 라이브] 6월 27일 - 50대 남녀 연쇄살인마 권재찬 '사형 선고' (김복준, 염건령)",김복준의 사건의뢰,https://www.youtube.com/watch?v=GaQlrU6W2ow&pp=ygUJ6raM7J6s7LCs
"경찰, '인천 연쇄살인범' 신상공개...52살 권재찬 / YTN",YTN,https://www.youtube.com/watch?v=4dyg53RfzE0&pp=ygUJ6raM7J6s7LCs
'여성 지인·공범 살해' 권재찬 신상 공개 / SBS,SBS 뉴스,https://www.youtube.com/watch?v=oxvvVnPm6FQ&pp=ygUJ6raM7J6s7LCs
"""마스크는 못 벗습니다""…50대 남녀 살인 권재찬 검찰 송치 / JTBC 사건반장",JTBC News,https://www.youtube.com/watch?v=9La4O2OhYyw&pp=ygUJ6raM7J6s7LCs
"'사형' 살인범 권재찬 2심 시작…""계획 vs 우발"" / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,https://www.youtube.com/watch?v=LtdbVwZmxNk&pp=ygUJ6raM7J6s7LCs
"권재찬은 왜 사형 선고를 받았나?/오리가족 돌팔매로 죽인 범인, 처벌은?/이웃여성 현관에 콘돔 건 남자, 해명은?/입양아 냉골학대 집유라니...? [김태현의 정치쇼]",SBS 시사교양 라디오 - 시교라,https://www.youtube.com/watch?v=_w_Z26tPNZI&pp=ygUJ6raM7J6s7LCs
"'1심 사형' 연쇄살인 권재찬, 2심서도 사형 구형 / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,https://www.youtube.com/watch?v=nx8O7Zx0Yfc&pp=ygUJ6raM7J6s7LCs
"'연쇄살인' 권재찬 1심 사형…""인간성 회복 기대할수 없어""  / 연합뉴스 (Yonhapnews)",연합뉴스 Yonhapnews,https://www.youtube.com/watch?v=bKYtfiwHRkM&pp=ygUJ6raM7J6s7LCs
[속보] 인천 연쇄살인범 신상 공개...만 52살 권재찬 / YTN,YTN,https://www.youtube.com/watch?v=yRYV4rEL3CU&pp=ygUJ6raM7J6s7LCs
"금품 뺏고 연쇄살인한 권재찬에 '사형'…""반성 없어 인간성 회복 불가능"" [MBN 뉴스7]",MBN News,https://www.youtube.com/watch?v=lH0IV1pvCE0&pp=ygUJ6raM7J6s7LCs
[이슈정주행] 여성에 공범까지 살해한 게 우발적? '52세 권재찬' 과거에도… / JTBC News,JTBC News,https://www.youtube.com/watch?v=RFClbVTgxe4&pp=ygUJ6raM7J6s7LCs
"'연쇄살인' 권재찬 1심서 사형 선고...""인간성 회복 기대 못해"" / YTN",YTN,https://www.youtube.com/watch?v=8k-EnvluHd0&pp=ygUJ6raM7J6s7LCs
[AM-PM] 1심서 사형…연쇄살인범 권재찬 항소심 선고 外 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=BVEqYgD4z4k&pp=ygUJ6raM7J6s7LCs
"연쇄살인 권재찬 사형 선고 ""교화·인간성 회복 기대 못해"" / JTBC 뉴스룸",JTBC News,https://www.youtube.com/watch?v=W9vOJGAtI8A&pp=ygUJ6raM7J6s7LCs
"1심 사형 '연쇄살인' 권재찬, 오늘 2심 선고 / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,https://www.youtube.com/watch?v=nU2TYew1JG8&pp=ygUJ6raM7J6s7LCs
"'인천 연쇄살인' 권재찬, 경찰 '관리 대상'이었지만… (현장영상) / SBS",SBS 뉴스,https://www.youtube.com/watch?v=hMxKxdmH4I4&pp=ygUJ6raM7J6s7LCs
‘중년 여성과 공범 살해’ 52살 권재찬 신상 공개 / KBS  2021.12.09.,KBS News,https://www.youtube.com/watch?v=A7xEiahZgC4&pp=ygUJ6raM7J6s7LCs
금품 뺏고 연쇄살인한 권재찬에 '사형' [이슈픽],MBN News,https://www.youtube.com/watch?v=qPi_zDJ8Bec&pp=ygUJ6raM7J6s7LCs
‘연쇄살인’ 권재찬 1심서 사형…‘안인득 사건’ 후 2년여 만 / KBS  2022.06.23.,KBS News,https://www.youtube.com/watch?v=R6pB5IVYqFM&pp=ygUJ6raM7J6s7LCs
【2022년 '사형선고' 연쇄살인마 권재찬】ㅣ공범을 살해하는 것이 '내가 사는 일이다'ㅣ당신이 몰랐던 사건,kimwontv김원,https://www.youtube.com/watch?v=PCX4yjrw9fg&pp=ygUJ6raM7J6s7LCs
인천 연쇄살인범 52살 권재찬…신상 공개 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=Dz5lQnB22p0&pp=ygUJ6raM7J6s7LCs
'1심 사형 선고' 연쇄살인범 권재찬 2심 첫 재판 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=xxNE5tAZ0zI&pp=ygUJ6raM7J6s7LCs
"50대 남녀 연쇄살인마 권재찬, 그를 심판한다",김복준의 사건의뢰 뒷방,https://www.youtube.com/watch?v=7ZBsRullFPo&pp=ygUJ6raM7J6s7LCs
"'신상공개' 권재찬 ""죄송하다""…마스크는 안벗어 / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,https://www.youtube.com/watch?v=dCtMPoWV2IE&pp=ygUJ6raM7J6s7LCs
'여성 · 공범 살인' 권재찬에 사형 선고 / SBS,SBS 뉴스,https://www.youtube.com/watch?v=AQvxXVbEapk&pp=ygUJ6raM7J6s7LCs
"'연쇄살인' 권재찬 1심 사형…""영원히 격리돼야"" / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,https://www.youtube.com/watch?v=XjHmndR-B7I&pp=ygUJ6raM7J6s7LCs
"중년여성·공범 살해한 권재찬 검찰로…""금품 노린 계획적 범행"" / 연합뉴스 (Yonhapnews)",연합뉴스 Yonhapnews,https://www.youtube.com/watch?v=BK02H_xqE04&pp=ygUJ6raM7J6s7LCs
"인천 연쇄살인범은 52살 권재찬...경찰 ""돈 노린 계획 범행"" / YTN",YTN,https://www.youtube.com/watch?v=suY8Sh7zmK0&pp=ygUJ6raM7J6s7LCs
