영상제목,채널명,링크
폭행 후 CCTV 사각지대로 피해자를 옮긴 이유는? 사라진 7분의 진실.. 부산 돌려차기 사건 | 짧은 그알,그것이 알고싶다,https://www.youtube.com/watch?v=KPjm471GmHA&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
[실화Pick] 특별판-부산 돌려차기 사건 그 후 - 구치소 동기의 충격적인 증언 #실화탐사대 #실화On MBC230629방송,실화 On,https://www.youtube.com/watch?v=OlegR1gWYds&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"'부산 돌려차기' 가해자 구치소 동기 폭로 ""가해자, 나가면 XX버려 더 때려줄 것""…""엄벌해야"" / SBS / 라이브 포착",SBS 뉴스,https://www.youtube.com/watch?v=I_AC-mKkTc8&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"‘돌려차기’ 범인, 10년 전에도 그알에 나온 이유ㅣ그알PICK",그것이 알고싶다,https://www.youtube.com/watch?v=5BnMgywvw70&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"[다다를 인터뷰] '부산 돌려차기' 피해여성…""피해자다움 대신 맞서기로 한 이유는"" / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,https://www.youtube.com/watch?v=ucaOH47Pbxo&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"'돌려차기'로 사람 죽일 뻔했는데…""나 억울해"" 항소 / JTBC 사건반장",JTBC News,https://www.youtube.com/watch?v=FfYovLVnTiI&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
[자막뉴스] 드디어 결정적 증거 나왔다…전환점 맞은 '부산 돌려차기 사건' / JTBC News,JTBC News,https://www.youtube.com/watch?v=HsMZhPnYrGc&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
DNA 감정 결과 나왔다…'돌려차기' 반전 급물살 / SBS / 뉴블더,SBS 뉴스,https://www.youtube.com/watch?v=u1khzw79jO8&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"‘부산 돌려차기’ 항소심서 징역 20년…피해자 “50세 출소, 저 죽으란 얘기” [현장영상] / KBS 2023.06.12.",KBS News,https://www.youtube.com/watch?v=gWRe9QPICT8&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
그놈의 뻔뻔한 행동은 어디까지일까 | 그알 비하인드,그것이 알고싶다,https://www.youtube.com/watch?v=XytsI_Y3SCc&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
'20년 억울해' 부산 돌려차기남 대법원 상고…그의 노림수 / 비머pick / 비디오머그,비디오머그 - VIDEOMUG,https://www.youtube.com/watch?v=a6by19pfFvE&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
[자막뉴스] 신상 폭로된 '부산 돌려차기' 인스타도 털렸다..논란 후폭풍 (2023.06.05/MBC뉴스),MBCNEWS,https://www.youtube.com/watch?v=KYH7MSp8zNg&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"[1일1뉴스] ""나가서 반드시 죽인다""는 사람을…재판부 논리에 울분 터졌다 / JTBC News",JTBC News,https://www.youtube.com/watch?v=S3jRXFW0ACY&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"'돌려차기' 가해자 ""나가면 배로 때려주겠다"" / SBS / #D리포트",SBS 뉴스,https://www.youtube.com/watch?v=l1Z6vzjJwiQ&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
'부산 돌려차기남' 항소심 징역 20년 선고…10년간 신상 공개도 명령 (현장영상) / SBS,SBS 뉴스,https://www.youtube.com/watch?v=J2iH4cn41v4&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
‘부산 돌려차기’ 피해자는 못 하고 가해자만 상고…왜? | 뉴스A,채널A 뉴스,https://www.youtube.com/watch?v=LTSwB-OuuVk&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
'살인미수' 부산 묻지마 여성 폭행... 그날 CCTV에는? | D:이슈,JTBC News,https://www.youtube.com/watch?v=IvZepOvOpZ8&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"'부산 돌려차기' 항소심서 징역 20년…""성폭력 인정"" / SBS",SBS 뉴스,https://www.youtube.com/watch?v=42yUWAqF2q4&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"[뉴스쏙] 부산 돌려차기 '사라진 7분' ""성범죄 있었다""…검찰, 35년 구형 / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,https://www.youtube.com/watch?v=_swTgF5KacA&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"""난 대한민국 국민이며 약자"" 부산 돌려차기남 '뻔뻔' 반성문 / SBS 8뉴스",SBS 뉴스,https://www.youtube.com/watch?v=jBHB30zJ-Vo&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"[1일1뉴스] ""피해자 회복되고 있잖아요"" 반성은 1도 없었던 '돌려차기' 가해자의 변명들 / JTBC News",JTBC News,https://www.youtube.com/watch?v=VAgfINoRX58&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"[D뉴스] ""일부러 다친 뒤 탈옥""…반성없는 돌려차기남 독방 감금",MBN News,https://www.youtube.com/watch?v=-fo5LD-Ve7k&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
[#실화탐사대] 부산 오피스텔 엘리베이터 앞 폭행 사건 지워진 기억 사라진 8분 #엠뚜루마뚜루 #엠트루 MBC221208방송,엠뚜루마뚜루 : MBC 공식 종합 채널,https://www.youtube.com/watch?v=NgKcDgM3Bps&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
