내용,판단 결과,추천수
검사분들 감사합니다..!,1,17
유죄 판결은 아주 당연합니다. 영원히 바깥 세상으로 못 나오게 해 주세요.,0,53
저런 악마를 그냥 무기징역? 적당히 10-20년 감방에 살다가 풀어주려고?? 이런 개같은 법이 어딨나? 그냥 당장 사형에 처하라..,0,41
무기징역 확정되길 정말 기대합니다. 다행히 두사람이 똑똑하질 못해서 변명도 참 앞뒤가 안맞게 잘하네요. 제발 계속 저렇게 말도안되는 변명 계속하길 바랍니다 그래야 감형안되겠지 스스로 무덤파서 잘 들어가 사세요,1,8
사형 집행 안 하더라도 선고 돼야 절대 못나올텐데.. 무기징역은 좀 아쉽네.. 판사가 잘 해야겠네 ㅠㅠ,1,5
모든 증거가 가리키고 있는데 아니긴 뭐가 아냐? 진짜 억울하면 십원한푼까지 유가족들에게 다 주고 머리깍고 산으로 들어가 보시던가 지금 안잡혔으면 해외도피 했거나 계속 피해자가 나왔겠지 법원이 느낌으로 판결을 했겠냐? 범죄의 증거가 입증되었으니까 처벌을 받는거다 아니라는 증거라도 보여줘야 억울하겠구나라고 하지 아몰랑 억울해 하면 잘도 속아주겠다,0,6
악질적인 인간들에게 맞는 판결 입니다..,0,5
유가족 말대로 라면 하나 겨우 사먹으며 견뎠는데 무기징역이 아니라 사형을 내려야함 무기징역이면 공짜로 끼니 때우게되기때문에 평생을 공짜로 누리게 되는 꼴임,0,8
아주 좋은 구형이다. 감형 없는 무기징역이 확정 되었으면 좋깄다.,1,7
석방없는 무기징역도 아니고 선고떄 낮아질꺼고 몇년살다 나오겠네 뭣같은 시대다 정말,0,3
무기징역자들은 독방에서만 살게 했음 좋겠다. 다른 사람들이랑 섞이면서 왕처럼 군림하는꼴 보는게 너무 싫었는데 이들은 왕처럼 군림할까 두렵다.,0,5
무기징역 폐지하고 유기징역을 무한대로 구형 가능하게 법을 바꿔라 항소에 대법가고 나중에 모범수 감형 받아도 늙어 죽어서 나오게끔 해야한다,0,1
