내용,판단 결과,추천수
뻔뻔스럽게 성범죄는 아니다. 여자친구있어 말이 안된다라고 씨부릴때 입을 뒤통수까지 찢어버리고 싶다..이번 판사가 얼마나 국민의 공분를 살지 말지 지켜볼것이다..,0,4.3천
백번 양보해서 성범죄가 아니라 한들 범죄행위 자체가 너무 악질이고 그 이후에도 반성하긴커녕 나가서 보복할 생각을 하고 있는 사람에게 더이상 어떠한 선처가 더 필요한걸까? 부디 판사분들이 현명한 처벌 내려주시길 간절히 기원합니다,0,1.4천
"피해자 청바진 사진이 피로 물들은게 정말 끔찍한 일이 벌어졌다는걸 보여주네요..이런 범죄자는 무기징역으로 절대 밖에 못나오게 해주세요..우리가 운이 좋아서 피해자가 아닌거지, 언제 어디서라도 우리도 피해자가 될 수 있고 피해자 가족이 될 수도 있습니다...",1,1.2천
징역 30년 -40년은 살아야지.. 저런 연쇄 살인마 같은 인간이 사회에 돌아다닌다는 것만으로도 끔찍하다.,0,92
우리나라 법이 문제냐? 판사들이 문제냐? 정말 다른 나라들 범죄에 강력하게 대응하고 엄하게 처벌하는거 보면 너무 부럽다,1,3.4천
우리나라 판사들이 자꾸 가해자 위주의 판결을 내고 있어서 큰일입니다. 자기몸은 자기가 지키던가 사람써서 개인적 복수를 하라는건지 법은 우리를 지켜주지도 처벌해주지도 않습니다. 판사들을 싹다 없애야 합니다. 돌려차기 남자보다 저 판결을 내린 판사가 더 잔인하고 위험한 사람입니다.,0,1.7천
"국민의 울분을 사게 만드는 판결들이 잇따르고 있어 우리의 안전이 심히 우려스러운 현실입니다 재판과정, 그리고 재판부의 판결 끝까지 지켜보겠습니다",0,2.9천
진짜 검사나 판사나 일생에서 단 한번도 피해자 입장이었던 적이 없어서 그런가 피해자만 너무 불쌍해서 눈 뜨고 못봐줄거 같아요ㅜㅜ 제발 개법 좀 어떻게 해주세요,0,24
이미 돌려차기를 한것 부터가 강한 처벌을 받고 사회에서 격리시켜아 하는데 이제야 AI 인공지능 판사가 절실히 필요함을 느낍니다.,0,419
제발 제대로 판결이 나와서 피해자가 억울 하지 않게 벌 받았으면 합니다.,0,3
