내용,라벨,추천수
유죄 판결은 아주 당연합니다. 영원히 바깥 세상으로 못 나오게 해 주세요.,0,53
저런 악마를 그냥 무기징역? 적당히 10-20년 감방에 살다가 풀어주려고?? 이런 개같은 법이 어딨나? 그냥 당장 사형에 처하라..,0,41
무기징역 확정되길 정말 기대합니다. 다행히 두사람이 똑똑하질 못해서 변명도 참 앞뒤가 안맞게 잘하네요. 제발 계속 저렇게 말도안되는 변명 계속하길 바랍니다 그래야 감형안되겠지 스스로 무덤파서 잘 들어가 사세요,1,8
사형 집행 안 하더라도 선고 돼야 절대 못나올텐데.. 무기징역은 좀 아쉽네.. 판사가 잘 해야겠네 ㅠㅠ,1,5
모든 증거가 가리키고 있는데 아니긴 뭐가 아냐? 진짜 억울하면 십원한푼까지 유가족들에게 다 주고 머리깍고 산으로 들어가 보시던가 지금 안잡혔으면 해외도피 했거나 계속 피해자가 나왔겠지 법원이 느낌으로 판결을 했겠냐? 범죄의 증거가 입증되었으니까 처벌을 받는거다 아니라는 증거라도 보여줘야 억울하겠구나라고 하지 아몰랑 억울해 하면 잘도 속아주겠다,0,6
악질적인 인간들에게 맞는 판결 입니다..,1,5
유가족 말대로 라면 하나 겨우 사먹으며 견뎠는데 무기징역이 아니라 사형을 내려야함 무기징역이면 공짜로 끼니 때우게되기때문에 평생을 공짜로 누리게 되는 꼴임,0,8
아주 좋은 구형이다. 감형 없는 무기징역이 확정 되었으면 좋깄다.,1,7
석방없는 무기징역도 아니고 선고떄 낮아질꺼고 몇년살다 나오겠네 뭣같은 시대다 정말,0,3
무기징역자들은 독방에서만 살게 했음 좋겠다. 다른 사람들이랑 섞이면서 왕처럼 군림하는꼴 보는게 너무 싫었는데 이들은 왕처럼 군림할까 두렵다.,3,5
무기징역 폐지하고 유기징역을 무한대로 구형 가능하게 법을 바꿔라 항소에 대법가고 나중에 모범수 감형 받아도 늙어 죽어서 나오게끔 해야한다,0,1
좀 판결에 있어서 형평성 있게 살인은 전부다 무기 때리던지 하지 얘는 무기고 얘는 몇년이고 장난치나 그냥 살인은 다 무기 때려라,0,3
구형이라 아무 의미 없음. 판사가 ㅈ같은 판결내리면 끝임,0,6
감방 무기징역 말고 독방 무기징역으로 넣어 주세요,0,1
웃기네 저 무기징역이 특사 사면 불가 조항을 받아야하는데 그런 내용 있나??,0,7
검사가 무기 때리면 뭐하나 최종 판결은 판사가 하는데 요즘 무기 때리는 판사 드물어서 어찌 될지?...,0,2
어떤 판결이 나오든 항소하고 또 항소하겠지?..,0,2
사건을 봤을땐 그리 큰죄를 지은건 아닌거 같은데 판사가 사진보다 실물보고 빡쳐서 무기징역 준듯 ...,3,0
은해야 걱정하지마 검사측은 무기징역을 구형했지만 너그러우신 판새님이 징역20년이하로 때려주실거야.,0,0
50년 징역이다 본보기로 삼아라,0,0
구형이 무기면 판결은 이십년 나오겠내,0,0
젊은나이에 무기징역이라.. 참 인생 지대로 죠졌내.. ㅉㅉ,0,0
구형이 무기징역이면 15 20년받겄네,0,0
문제는 판사구만...웬만하면 구형되로 때려,1,0
친척 오빠의 말이 맞습니다. 재판하는곳에서 악마라고 말하는것은 잘못된 것입니다. 그러니 이제 그분이 밖에 언급되는 일이 없도록 교도소 안쪽 깜깜한곳에 무기징역으로 넣어두는게 좋을듯 합니다.,1,36
악마를 악마라고 하지ㅋㅋ 검사님 잘하셨습니다,1,139
사람을 죽여놓고 도망다니다가 잡혔는데 검사나 피해자가족이 그런말도 못한다고? 내가족이 죽었다면 입을 찢어놔버렸다... 지금도 자기는 잘못없다고하는데 저런것들이 날뛰는걸보니 아직도 세상이 미쳐돌아가는것같네,0,5
검사님..담부터는 팩트에 기반해서 살인마라고 해주십쇼,1,401
친척오빠가 악마네 악마가 악마? 일 잘하시는 검사님 굿,0,227
판사나 변호사가 악마라고 한것도 아닌데 친척 오빠의 저녀가 저런 여자나 남자를 만난다면????? 뭔 욕을 해도 달게 받아야지… 검사는 더한것도 알고 있을텐데 증거가 없어서 말 못하는게 한두개겠냐??? 정말 악마를 본거지,0,3
가족 위하는 마음이 찐이네 덕분에 우리도 재판내용일부와 검사의 사이다발언을 알게 되었으니,1,70
악마보다 더한 표현이라도 할말없다~ 뉘신지는 모르것지만 한짓을 생각해보길 바라며 개인적인 생각에는 사형판결이 맞을듯!,0,3
"검사가 피고인에게 그냥 <악마>라고만 했다면 항의할 수 있지만, <피해자에겐 악마>라고 했기 때문에 항의할 명분이 없네요..",0,0
평생 감옥에서 썩게 만들어야 되는데 저런걸 사회에 나오게 한다고???판사새기들도 똑같이 당하게 해주고 저런판결 내리는지 보자,0,2
